"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Pass.Break.Up","Lined.up.in.Press.Coverage","Interception","Average.Depth.of.Tackle","Receiving.Yards.per.Coverage.Target","Drops...Off.Targets.Receptions.Forced","Average.Depth.of.Target.per.Coverage","Pass.Stop","Plays.of.15..Yards.Allowed","Missed.Tackles.on.Pass.Plays","Assist.on.Pass.Plays","Missed.Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Dropped.Int","Touchdowns.Allowed","Pass.Rush.Productivity","Hurries","Pass.Tackle.for.Loss.or.No.Gain","Run.Tackle.for.Losss.or.No.Gain","Hits","Forced.Fumble","Pursuit.Pressure","Sacks","Fumble.Recovery","Beaten.Defender","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact","Batted.Passes","Interceptions"
"JASON HARDY","MIDDLE TN",56,69.79,"B",79,79.8,63.9,NA,2,0,1,0,NA,1,0,6.8,2,24.2,1,1,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0.2,34,1,0,0,0,0.035,0,0.2,0.2,0,0,0,2,0,2,0,1
"JUAN BERCHAL","APP STATE",59,69.75,"B",70.8,71,74.9,NA,8,1,4,0,NA,0,-0.5,4.3,2,1.8,2,0,1,1,0,0,0,0,NA,0,0,2,0,0,0,0,0,0,0.111,2,2,0,1,2,1,1,4,0.667,26,0,0,0,0,0,0,0,0,0,0,0.143,9,0,6,0,0
"DONOVAN WATKINS","TOLEDO",68,69.6,"B",70.4,70.2,67.4,NA,6,2,2,1,NA,0,10.33,10.5,1,24.5,0,1,0,1,1,1,1,0,NA,0,0,0,0,0,0,0,0,0,0.143,2,0,0,2,2,1,1,1,0.5,21,1,1,0,0,0.039,0,0.5,0,0.5,0.2,0,7,0,3,0,0
"FRANKIE EDWARDS III","NEW MEXICO",46,68.92,"B",75.5,74.2,70.9,59.4,2,0,1,0,NA,1,-2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1
"ISRAEL PETITE","TOLEDO",63,68.9,"B",74.2,73,71.6,NA,7,3,1,0,NA,0,8,1,3,7.3,1,0,1,0,0,3,0,0,NA,0,0,0,0,0,0,0,0,0,0.125,0,0,0,3,2,1,2,1,0.25,4,0,0,0,0,0,0,0,0,0,0,0.333,8,0,5,0,0
"JOEL KPASSOU","MO STATE",75,68.52,"B",71.6,74.8,67.6,NA,5,1,1,1,NA,0,10,4.8,1,20,1,1,0,1,0,0,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,1,0,1,3,2,2,1,0.2,24,1,1,0,0,0.035,0,0.2,0,0.2,0,0,5,0,1,0,0
"JAION JACKSON","C MICHIGAN",59,66.86,"B",75.2,71,77.4,69.3,4,1,0,1,NA,0,9,2.7,1,17.2,0,0,0,0,0,1,0,0,12.5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0.333,16,1,2,0,3,0,0.5,0.167,0,0.333,0,0,4,0,2,0,0
"DRE WALKER","APP STATE",19,66.46,"B",86,86.1,60,59.7,2,0,1,0,NA,1,0,3,1,2.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,1,1,2,2,0.667,9,0,0,0,0,0,0,0,0.333,0,0,0.333,3,0,2,0,1
"DERRICK ROGERS","FAU",41,66.12,"B",73.6,76.5,59,59.7,2,0,2,1,NA,0,0,0,1,16.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333,2,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0.5,0.333,0,3,0,1,0,0
"DJ KELLY","JAMES MAD",55,66.12,"B",73.6,74.5,64.2,60,1,1,0,1,NA,1,0,9.8,0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0.5,39,1,1,0,0,0.045,0,0.25,0.25,0.25,0,0,1,0,0,0,1
"KIONTRE HARRIS","FRESNO ST",74,66.03,"B",72.7,72.1,67,NA,5,0,0,1,NA,1,6,16.3,2,21.8,0,3,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,4,0.667,98,3,1,0,0,0.061,0,0.5,0.167,0.167,0,0,5,0,4,0,1
"KAI RAPOLLA","WASH STATE",26,65.24,"B",71,74.4,72.9,NA,2,0,1,1,NA,0,2,2.3,1,14.3,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0.333,7,0,1,0,0,0,0,0,0,0.333,0,0,2,0,2,0,0
"TJ SMITH","TULANE",23,64.94,"B",76.3,74.9,68.3,59.7,4,0,2,1,NA,0,2,5,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,1,5,1,1,0,0,0,0,1,0,1,0,0,4,0,4,0,0
"JQ BROOKS","JVILLE ST",58,64.83,"B",68.4,71.1,66.5,NA,2,0,1,1,NA,0,30,0,1,14.5,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0
"JAMAREY SMITH","WASH STATE",27,64.38,"B",78,78.7,62,NA,2,0,2,1,NA,0,0,2.4,1,9.4,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.6,12,0,1,0,1,0,0.2,0,0,0.2,0,0,2,0,2,0,0
"DAMARIUS MCGHEE","FAU",61,64.12,"B",74.6,75,63.5,NA,2,0,0,2,NA,0,0,5.7,1,12.8,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0.5,34,1,2,0,0,0.025,0,0.167,0,0.333,0,0,2,0,2,0,0
"ERIC ADAMS","APP STATE",19,63.8,"B",79,80.2,60.8,60,NA,0,0,1,NA,0,0,0,1,17,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0.5,NA,NA,NA,0,0,0,0
"JAI-AYVIAUYNN CELESTINE","FIU",70,63.01,"B",71.6,71,67.1,NA,6,3,2,0,NA,0,0,4.6,3,6.8,2,0,1,2,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0.143,0,0,0,3,2,2,2,5,0.625,37,1,0,0,0,0,0,0.125,0,0,0,0.167,6,0,5,0,0
"YASSINE FALKE","N ILLINOIS",54,62.84,"B",68.9,68.3,65,NA,5,3,1,0,NA,1,7,5.7,1,8.5,1,0,3,3,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.375,0,0,0,3,3,3,2,4,0.667,34,0,0,0,0,0,0,0,0.167,0,0,0.429,8,0,3,0,1
"IZAIAH GUY","LIBERTY",18,62.74,"B",78.4,78.6,61.4,NA,1,0,0,1,NA,0,0,0,0,13,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"DEVIN ROBINSON","TULSA",20,62.32,"B",77.9,78.4,62.2,NA,NA,0,0,1,NA,0,0,0,2,4,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.333,NA,NA,NA,0,0,0,0
"JAMARION KOLAGBODI","DELAWARE",55,62.18,"B",63.2,61,60.8,71.7,7,0,2,1,NA,0,6.5,2.2,3,13.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,4,3,2,4,0.444,20,2,1,0,0,0,0,0.222,0,0.111,0,0,7,0,5,0,0
"JOEL BOAMAH","MO STATE",75,62.16,"B",76.1,74.2,75.8,59.1,3,0,1,0,NA,0,25,-4,1,19,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0.5,-8,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
"CJ SOLIS-LUMAR","WASH STATE",24,61.96,"B",74.5,64.1,76.9,68.8,3,1,2,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,50,1,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0
"BARRY DILLON","OHIO",68,61.56,"B",72.9,70.4,74.6,NA,6,2,1,0,NA,0,11.33,4,1,9.5,1,0,0,0,0,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0.5,8,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0
"MIKE LINDSAY","S DIEGO ST",67,61.2,"B",67.3,69.2,70.2,NA,4,2,2,0,NA,0,5,0,0,0,1,0,0,0,0,2,0,0,NA,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0
"MYLES WOODS","COAST CAR",16,60.17,"B",76.5,75.1,63.3,NA,2,1,0,1,NA,0,0,5,0,5,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0
"BRENT GORDON JR.","LA LAFAYET",60,58.99,"C",74.7,71.8,78.5,59.2,3,0,2,0,NA,0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0
"RAYQUAN ADKINS","E MICHIGAN",48,58.53,"C",74.4,76.8,51.4,73,3,1,0,0,NA,1,0,4.4,0,11,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0,0,1,1,4,3,3,3,0.6,22,0,1,0,0,0,0,0,0.2,0.2,0.5,0.333,4,0,4,0,1
"KHALIL CONLEY","APP STATE",36,58.26,"C",71.3,71.1,62.4,NA,3,0,0,0,NA,1,0,9.3,1,15.7,0,1,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,0.667,28,1,0,0,0,0.042,0,0.333,0.333,0,0,0,3,0,4,0,1
"TREZ MOORE","TEXAS ST",81,58.09,"C",63.9,61.7,73,NA,8,1,1,1,NA,1,1,8.5,2,7.1,0,4,1,0,0,1,0,0,NA,0,0,0,0,0,0,0,1,0,0.111,1,0,0,1,11,11,5,10,0.667,128,7,2,0,0,0.073,0,0.467,0.067,0.133,0,0.143,9,0,8,0,1
"CJ BLOCKER","COLO STATE",48,57.73,"C",65.4,68.4,59.5,56.4,2,0,0,0,NA,1,7,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0.5,0,0.5,0,0,0,2,0,1,0,1
"ZION FRINK","DOMINION",67,57.36,"C",60.3,54.1,72.1,NA,8,1,5,0,NA,0,6.43,11.2,3,19,0,3,0,0,0,1,0,1,NA,0,0,1,0,0,0,0,0,0,0,5,1,0,1,5,3,2,3,0.5,67,3,0,0,0,0.13,0,0.5,0,0,0,0,8,0,6,0,0
"ASHTON MCSHANE","LIBERTY",36,57.02,"C",71.4,67.5,73.2,NA,4,1,1,0,NA,0,10.33,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0
"MARION MOORE","N DAK ST",45,56.94,"C",75.2,73,65.8,68.8,5,0,2,0,NA,0,3,NA,NA,NA,1,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,0,3,0,NA
"JABARI STRAIT","TROY",37,56.91,"C",66,61.9,71.4,NA,3,1,2,0,NA,0,-3.5,0,2,8,0,0,0,1,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
"ASHTON LEVELLS-MITCHELL","E CAROLINA",56,56.48,"C",68.9,73.5,50.2,NA,1,0,0,0,NA,1,0,2,2,21.2,0,0,0,0,1,0,1,0,NA,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,2,1,3,1,0.2,10,1,2,0,0,0,0,0.2,0.2,0.4,1,0,2,0,1,0,1
"KYLE WILLIAMS","ARK STATE",31,56.48,"C",68.8,68.4,62.9,NA,1,0,0,0,NA,1,0,4.5,1,22,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,9,0,0,0,0,0,0,0,0.5,0,0,0,1,0,1,0,1
"ARMONI RUE","LA MONROE",44,56.12,"C",71.4,67,77.2,NA,4,0,3,0,NA,0,-1,3,0,3,1,0,0,0,0,0,0,1,NA,0,1,2,0,0,0,0,0,0,0,2,3,0,0,1,1,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,4,0,4,0,0
"JUSTIN COTTRELL","SM HOUSTON",16,56.05,"C",71.3,75.1,54.7,NA,1,0,1,1,NA,0,4,0,0,19,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.5,0,2,0,2,0,0
"ANGELO ROSS","E CAROLINA",53,55.8,"C",66.8,65.5,66.6,NA,1,0,0,1,NA,0,7,0,1,24,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,1,0,1,0,0
"CAESAR MAGEE","SM HOUSTON",32,55.64,"C",73.4,70.4,72.5,NA,2,1,0,0,NA,0,5,0,0,7,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0
"BOBBY MILLER","OHIO",25,55.53,"C",74,70.9,69.8,NA,4,0,2,0,NA,0,-2,2.5,0,3.8,1,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1,1,2,3,0.75,10,1,0,0,0,0,0,0.25,0,0,0,0,4,0,4,0,0
"LAWRENCE JOHNSON","FIU",23,55.27,"C",69.7,66.1,72.5,NA,4,0,1,1,NA,0,1.5,19,0,21,0,1,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0.5,38,1,1,0,0,0.067,0,0.5,0,0.5,0,0,4,0,4,0,0
"JUSTIN CONTENT","UTEP",59,55.1,"C",66.8,61.6,79.6,NA,8,1,2,1,NA,0,7,9.2,0,5.8,0,2,0,0,0,1,0,1,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,3,1,5,0.833,55,3,1,0,0,0.069,0,0.5,0,0.167,0,0,8,0,7,0,0
"ADRIAN LAING","TEMPLE",70,54.78,"C",62.7,61.5,65.9,NA,4,0,1,2,NA,0,6,7.3,3,14.1,1,2,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,6,6,4,5,0.5,73,4,2,0,0,0.044,0,0.4,0,0.2,0,0.25,5,0,6,0,0
"KAI WHEATON","OREGON ST",18,54.3,"C",63.9,68.5,48.7,NA,2,1,1,0,NA,1,0,4.8,1,12.5,1,0,1,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0.333,0,0,0,1,2,1,1,2,0.5,19,1,0,0,0,0,0,0.25,0.25,0,0,0.5,3,0,2,0,1
"MYCHAL YHARBROUGH","MIAMI OH",55,54.17,"C",67.1,71.2,45.6,NA,7,0,4,0,NA,0,4,3.7,1,5.9,2,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.125,2,0,0,0,3,1,2,4,0.571,26,1,1,0,0,0,0,0.143,0,0.143,0.333,0,7,0,5,0,0
"JAYDEN LEWIS","LA MONROE",31,53.97,"C",70.1,73.4,54.6,NA,1,0,1,1,NA,0,0,4.5,0,10.8,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,0.75,18,1,1,0,0,0,0,0.25,0,0.25,0,0,1,0,1,0,0
"EDDIE PLEASANT III","MARSHALL",69,53.75,"C",62.2,60.7,67,NA,3,0,0,0,NA,1,23,7.2,2,20,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0.4,36,1,0,0,0,0.026,0,0.2,0.2,0,0,0,3,0,3,0,1
"JOSHUA FRANKLIN","W MICHIGAN",56,53.45,"C",72.8,71.8,64.9,64.3,1,0,1,0,NA,0,0,-3,0,3,1,0,0,0,0,0,0,0,50,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0.5,-6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"MATTHEW MCKENZIE","C MICHIGAN",55,53.39,"C",76.2,74,73.5,NA,1,0,0,0,NA,0,0,0,1,26,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"WALLACE FOSTER IV","FAU",16,53.37,"C",67.1,65.2,64.3,60,2,0,1,0,NA,0,4,0,2,14.5,0,0,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"CHAUNCEY LOGAN JR.","MEMPHIS",23,53.2,"C",68.1,67,63.7,NA,4,1,1,0,NA,0,0,0,1,8,1,0,0,0,0,1,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0
"ELLIS ELLIS JR.","MEMPHIS",35,53.2,"C",73.4,71.1,70.8,NA,1,0,1,0,NA,0,2,1,1,9.3,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.333,3,0,1,0,0,0,0,0,0,0.333,0,0,1,0,1,0,0
"JONAH MARTINEZ","SO MISS",19,52.76,"C",68.7,75.6,50.1,NA,1,0,0,1,NA,0,6,0,0,30,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.5,0,2,0,1,0,0
"JAMEEL CROFT JR.","CHARLOTTE",64,51.87,"C",71.6,70.4,68.5,NA,4,0,0,0,NA,0,9,0,1,14,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0
"SHERROD SMITH","BOISE ST",53,51.65,"C",65.2,57.1,85.8,NA,4,1,3,0,NA,0,-0.33,10.2,1,23,0,1,0,0,0,1,0,1,NA,0,0,1,0,0,0,0,0,0,0,3,1,0,1,3,3,1,2,0.4,51,2,0,0,0,0.03,0,0.4,0,0,0,0,4,0,2,0,0
"DREY BRAXTON","BOWL GREEN",56,51.01,"C",71,70.4,67.1,NA,3,0,0,0,NA,1,14,5.4,1,16.9,0,0,2,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0.4,0,0,0,0,6,6,3,4,0.571,38,3,0,0,0,0,0,0.429,0.143,0,0,0.5,5,0,6,0,1
"KALEB MARTIN","MIAMI OH",28,50.92,"C",73.2,72.9,60.2,60,5,0,0,1,NA,0,0,8.3,0,11.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,0.833,50,4,2,0,0,0.056,0,0.667,0,0.333,0,0,5,0,5,0,0
"DIONTE THORNTON","SACRAMENTO",50,50.61,"C",66.8,71.2,56.2,58.3,4,0,4,0,NA,0,1.67,NA,NA,NA,1,NA,0,0,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0.333,3,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0,6,0,3,0,NA
"THERMAN WILLIAMS","WYOMING",65,49.81,"C",69.3,65.2,72.3,NA,2,0,1,0,NA,0,9.5,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"ISAIAH HOUI","OREGON ST",47,49.53,"C",70.2,74.5,53.6,60,4,1,2,0,NA,0,0,3.5,3,3.7,2,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0.429,0,1,0,1,3,1,3,3,0.5,21,1,0,0,0,0.037,0,0.167,0,0,0.667,0.25,7,0,5,0,0
"DAMILL BOSTIC JR.","COAST CAR",31,49.45,"C",70.5,69.9,63.8,NA,2,0,0,1,NA,0,0,7.5,0,9.5,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,15,1,1,0,0,0.071,0,0.5,0,0.5,0,0,2,0,3,0,0
"TAY'VION LAWSON","KENNESAW",64,49.06,"C",69.2,68.5,66.2,NA,3,0,2,0,NA,0,4,4.7,2,7.2,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,3,4,0.667,28,1,0,0,3,0,0.5,0.167,0,0,0,0,3,0,6,0,0
"KYE STOKES","UTAH ST",50,48.99,"C",60,69.6,29.8,NA,6,2,2,0,NA,0,0,6,0,5,1,0,1,2,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,0.143,1,2,0,2,4,1,1,2,1,12,1,0,0,0,0,0,0.5,0,0,0,0.167,7,0,5,0,0
