"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Season","Position","Conference","Conference_Level","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","row_id"
"AUSTIN SIMMONS","MISSOURI",69,66.26,"B",2026,"QB","SEC","P4",90.8,30,29,19,"65.50%","85.20%",292,10.1,"32.90%",3,0,0,2.4,1,1,1,"3.30%",2,"6.90%",4,133.1,12.7,"27.60%","65.50%","68.20%",14,"10.00%",26,"23.10%","26.90%","15.40%","11.50%","57.70%",56.5,8,2.7,0,0,0,0,0,-0.3,3,1,"0.00%",0,0,"0.00%",34
"MALIK WASHINGTON","MARYLAND",76,64.48,"B",2026,"QB","Big Ten","P4",84.8,47,44,34,"77.30%","77.30%",347,7.9,"62.30%",2,0,1,2.25,0,4,0,"0.00%",1,"2.30%",0,114.5,6.1,"61.40%","38.60%","37.80%",20,"38.30%",41,"17.10%","14.60%","12.20%","7.30%","73.20%",60.7,9,4.5,0,1,0,0,0,4.5,0,2,"50.00%",0,0,"0.00%",55
"SAM LEAVITT","LSU",75,63.66,"B",2026,"QB","SEC","P4",75.9,48,39,26,"66.70%","75.70%",347,8.9,"50.40%",1,3,5,3.01,1,2,1,"2.10%",2,"5.10%",2,71.2,10.1,"56.40%","38.50%","53.90%",17,"39.60%",35,"40.00%","20.00%","20.00%","11.40%","60.00%",76.1,50,8.3,3,5,0,0,4,3,4.5,4,"83.30%",0.67,2,"0.00%",33
"BYRUM BROWN","AUBURN",73,61.19,"B",2026,"QB","SEC","P4",76.5,39,30,18,"60.00%","63.30%",226,7.5,"32.70%",2,0,2,3.52,0,2,0,"0.00%",1,"3.30%",1,105.7,13,"46.70%","53.30%","69.00%",14,"35.90%",0,"0","0","0","0","0",86.1,142,11.8,0,7,0,0,6,1.9,7.3,7,"58.30%",0.5,6,"0.00%",4
"TRINIDAD CHAMBLISS","OLE MISS",44,60.59,"B",2026,"QB","SEC","P4",91,29,27,23,"85.20%","88.50%",225,8.3,"46.20%",2,0,1,2.42,0,1,0,"0.00%",0,"0.00%",0,126.1,5.5,"63.00%","33.30%","53.80%",15,"72.40%",25,"12.00%","16.00%","4.00%","8.00%","80.00%",64.9,8,4,0,1,0,0,0,-1.5,0,1,"50.00%",0,1,"0.00%",36
"BILLY EDWARDS JR.","N CAROLINA",38,60.56,"B",2026,"QB","ACC","P4",79.3,23,21,16,"76.20%","81.00%",252,12,"61.90%",2,0,1,2.97,0,1,0,"0.00%",1,"4.80%",1,147.3,10,"47.60%","52.40%","38.10%",12,"39.10%",21,"19.10%","19.10%","14.30%","0","66.70%",57.8,6,6,0,0,0,0,1,2,4,1,"0.00%",1,0,"0.00%",2
"JAYDEN MAIAVA","USC",61,57.58,"C",2026,"QB","Big Ten","P4",74.1,32,31,19,"61.30%","70.00%",261,8.4,"44.40%",5,1,0,2.6,0,4,2,"6.30%",1,"3.20%",2,114.4,8.1,"41.90%","54.80%","59.00%",16,"28.10%",0,"0","0","0","0","0",60,-1,-1,0,0,0,0,0,-1,0,0,"0.00%",0,0,"0.00%",9
"DREW MESTEMAKER","OKLA STATE",87,56.96,"C",2026,"QB","Big 12","P4",70,48,45,26,"57.80%","65.80%",317,7,"42.90%",2,2,0,3.06,1,4,2,"4.20%",2,"4.40%",1,75.9,7.9,"46.70%","44.40%","58.70%",18,"35.40%",38,"15.80%","13.20%","23.70%","18.40%","63.20%",79.4,102,11.3,1,4,0,0,0,6.9,2.8,3,"44.40%",0,3,"0.00%",51
"CUTTER BOLEY","ARIZONA ST",65,56.84,"C",2026,"QB","Big 12","P4",86.7,40,36,22,"61.10%","70.60%",268,7.4,"59.00%",2,2,1,2.57,0,2,0,"0.00%",4,"11.10%",2,79.4,7.9,"52.80%","41.70%","41.00%",10,"55.00%",0,"0","0","0","0","0",68.9,34,4.9,0,3,0,0,0,3.4,1,3,"42.90%",0,1,"0.00%",45
"BEAU PRIBULA","VIRGINIA",28,56.2,"C",2026,"QB","ACC","P4",84.3,16,14,12,"85.70%","85.70%",162,11.6,"36.40%",3,1,1,2.69,0,0,0,"0.00%",0,"0.00%",0,124.7,8.9,"57.10%","42.90%","67.90%",7,"50.00%",13,"15.40%","23.10%","7.70%","7.70%","69.20%",57.3,2,2,0,0,0,0,0,0,2,1,"0.00%",0,0,"0.00%",17
"DEVON DAMPIER","UTAH",54,53.3,"C",2026,"QB","Big 12","P4",69.3,28,26,18,"69.20%","76.00%",261,10,"62.50%",2,1,0,2.75,0,0,0,"0.00%",0,"0.00%",1,111.2,8.6,"50.00%","46.20%","37.50%",15,"10.70%",0,"0","0","0","0","0",62.3,56,5.1,2,5,1,0,2,2.5,2.5,2,"45.50%",0.18,1,"0.00%",22
"KATIN HOUSER","ILLINOIS",73,51.81,"C",2026,"QB","Big Ten","P4",75.4,42,39,24,"61.50%","67.60%",271,7,"39.90%",3,1,0,2.5,0,1,1,"2.40%",2,"5.10%",1,97.3,10,"51.30%","43.60%","65.70%",17,"30.90%",0,"0","0","0","0","0",49.6,18,4.5,0,1,0,0,1,-2.5,5.8,3,"25.00%",0.25,0,"0.00%",11
"AARON PHILO","FLORIDA",46,51.54,"C",2026,"QB","SEC","P4",66.7,24,22,16,"72.70%","72.70%",242,11,"64.90%",2,0,0,2.64,0,0,0,"0.00%",0,"0.00%",0,138.8,10.6,"50.00%","50.00%","35.10%",13,"41.70%",0,"0","0","0","0","0",62.4,18,4.5,1,1,0,0,1,0.5,2.8,2,"25.00%",0.25,0,"50.00%",37
"TY HAWKINS","SMU",23,51.2,"C",2026,"QB","ACC","P4",88.3,16,14,12,"85.70%","85.70%",109,7.8,"29.40%",2,0,0,2.91,0,0,0,"0.00%",1,"7.10%",0,138.7,6.9,"57.10%","42.90%","82.60%",8,"56.30%",0,"0","0","0","0","0",61.2,15,5,0,1,0,0,0,2,1.7,2,"33.30%",0,1,"0.00%",60
"WALKER EGET","DUKE",57,50.47,"C",2026,"QB","ACC","P4",78.7,23,21,15,"71.40%","80.00%",206,9.8,"58.30%",3,0,2,2.59,1,1,0,"0.00%",2,"9.50%",1,142.1,9.8,"52.40%","42.90%","44.20%",10,"21.70%",0,"0","0","0","0","0",60.1,-6,-3,0,0,0,0,0,-3,0,0,"0.00%",0,0,"0.00%",3
"KAMARIO TAYLOR","MISS STATE",75,50.37,"C",2026,"QB","SEC","P4",63.3,34,28,16,"57.10%","61.50%",227,8.1,"46.30%",3,0,1,2.92,0,1,1,"2.90%",1,"3.60%",0,119.2,10.3,"50.00%","42.90%","55.10%",17,"52.90%",0,"0","0","0","0","0",73.2,91,7.6,0,6,0,0,1,2,4.8,5,"50.00%",0.08,2,"0.00%",58
"BEAR BACHMEIER","BYU",60,49.45,"C",2026,"QB","Big 12","P4",63.5,28,27,17,"63.00%","73.10%",238,8.8,"48.30%",3,0,1,2.32,0,1,1,"3.60%",1,"3.70%",2,128.3,9,"51.80%","44.40%","53.40%",8,"32.10%",0,"0","0","0","0","0",84.8,48,6,1,4,0,0,3,2.1,3.9,0,"50.00%",0.38,2,"0.00%",62
"ETHAN GRUNKEMEYER","VA TECH",76,48.82,"C",2026,"QB","ACC","P4",68.6,46,43,31,"72.10%","80.00%",327,7.6,"60.90%",2,0,3,2.66,1,2,0,"0.00%",0,"0.00%",1,109.4,6.6,"58.10%","34.90%","39.10%",16,"26.10%",0,"0","0","0","0","0",69.8,3,1,1,2,0,0,1,0.3,0.7,0,"66.70%",0.33,0,"0.00%",40
"JARON-KEAWE SAGAPOLUTELE","CAL",64,48.62,"C",2026,"QB","ACC","P4",90.7,38,36,21,"58.30%","68.60%",182,5.1,"48.90%",2,0,1,2.52,1,2,0,"0.00%",5,"13.90%",3,90.3,11.1,"55.60%","41.70%","55.50%",11,"26.30%",0,"0","0","0","0","0",66.7,5,1.3,0,1,0,0,0,0.3,0.3,1,"25.00%",0,0,"0.00%",53
"JOSH HOOVER","INDIANA",38,48.59,"C",2026,"QB","Big Ten","P4",63.1,16,11,6,"54.50%","54.50%",146,13.3,"43.80%",4,0,2,3.11,0,2,1,"6.30%",0,"0.00%",0,139.2,15.5,"36.40%","63.60%","58.20%",7,"31.30%",0,"0","0","0","0","0",63.6,24,6,0,1,0,0,0,2.3,0.3,3,"25.00%",0,1,"0.00%",1
"MASON MCKENZIE","BOSTON COL",62,47.98,"C",2026,"QB","ACC","P4",66.1,39,30,19,"63.30%","71.40%",255,8.5,"56.10%",1,2,1,3.53,0,3,1,"2.60%",1,"3.30%",1,73.6,9.4,"50.00%","43.30%","43.90%",13,"25.60%",28,"14.30%","17.90%","25.00%","7.10%","57.10%",66.6,86,5.7,1,8,0,0,2,2.4,1.7,8,"53.30%",0.13,6,"0.00%",63
"STEVE ANGELI","SYRACUSE",91,47.4,"C",2026,"QB","ACC","P4",89,58,52,25,"48.10%","58.30%",312,6,"19.20%",1,4,4,2.74,0,7,3,"5.20%",8,"15.40%",3,41.5,12.7,"44.20%","48.10%","80.80%",16,"34.50%",0,"0","0","0","0","0",42.7,12,3,0,1,1,0,1,-2.3,3.8,2,"25.00%",0.25,0,"0.00%",6
"RYAN BROWNE","PURDUE",86,45.41,"C",2026,"QB","Big Ten","P4",75.5,52,45,34,"75.60%","85.40%",339,7.5,"55.80%",1,0,4,2.64,1,2,1,"1.90%",0,"0.00%",1,103.8,5,"60.00%","31.10%","45.70%",18,"26.90%",0,"0","0","0","0","0",56.6,14,4.7,0,1,0,0,1,-1.3,4,3,"33.30%",0.33,0,"0.00%",32
"GIO LOPEZ","WAKE",70,44.86,"C",2026,"QB","ACC","P4",67.4,32,28,16,"57.10%","72.00%",225,8,"39.60%",1,0,2,2.8,0,1,0,"0.00%",0,"0.00%",2,95.1,10.8,"42.90%","46.40%","60.40%",16,"31.30%",0,"0","0","0","0","0",81.4,73,5.6,2,6,1,0,3,3,2.6,2,"46.20%",0.23,1,"0.00%",25
"NATE BENNETT","BAYLOR",64,42.01,"C",2026,"QB","Big 12","P4",59.4,37,35,22,"62.90%","66.70%",294,8.4,"64.30%",2,2,1,2.65,0,2,3,"8.10%",2,"5.70%",0,84.7,11.1,"54.30%","40.00%","38.10%",14,"32.40%",5,"0","0","60.00%","0","40.00%",66.7,17,17,1,1,0,0,0,15,2,0,"100%",0,1,"0.00%",48
"NOAH FIFITA","ARIZONA",67,40.09,"C",2026,"QB","Big 12","P4",68.9,43,33,24,"72.70%","78.10%",231,7,"53.30%",1,1,4,2.98,0,1,1,"2.30%",0,"0.00%",1,89.3,8.2,"63.60%","33.30%","46.80%",12,"14.00%",0,"0","0","0","0","0",71.6,64,8,1,3,0,0,2,4.6,3.4,6,"37.50%",0.25,3,"0.00%",14
"ALESSIO MILIVOJEVIC","MICH STATE",54,38.02,"D",2026,"QB","Big Ten","P4",65,26,20,12,"60.00%","65.00%",170,8.5,"30.00%",2,0,2,3.06,0,2,0,"0.00%",1,"5.00%",1,120.8,10.3,"40.00%","60.00%","72.90%",7,"19.20%",0,"0","0","0","0","0",62.2,20,4,0,1,0,0,1,0.4,3.4,4,"20.00%",0.2,0,"0.00%",39
"JULIAN SAYIN","OHIO STATE",65,36.99,"D",2026,"QB","Big Ten","P4",66.2,38,34,17,"50.00%","56.30%",278,8.2,"40.30%",1,1,2,3.47,0,3,1,"2.60%",1,"2.90%",1,75.4,12.4,"41.20%","52.90%","61.20%",13,"31.60%",0,"0","0","0","0","0",52.9,7,3.5,0,0,0,0,1,-2.5,3.5,2,"0.00%",0.5,0,"0.00%",42
"JARED CURTIS","VANDERBILT",54,36,"D",2026,"QB","SEC","P4",64.3,25,23,14,"60.90%","77.30%",210,9.1,"29.50%",1,0,2,2.95,0,1,2,"8.00%",4,"17.40%",3,105.3,12,"47.80%","47.80%","71.40%",9,"24.00%",0,"0","0","0","0","0",52.5,18,2.3,2,2,1,0,1,0.4,1.9,0,"25.00%",0.13,0,"12.50%",65
"CONNER WEIGMAN","HOUSTON",27,35.98,"D",2026,"QB","Big 12","P4",61.2,15,14,9,"64.30%","64.30%",120,8.6,"82.50%",3,0,0,2.73,0,1,0,"0.00%",0,"0.00%",0,131,10.1,"50.00%","50.00%","17.50%",8,"26.70%",13,"15.40%","15.40%","23.10%","7.70%","61.50%",57,6,6,0,0,0,0,0,0,0,1,"0.00%",0,0,"0.00%",13
"DANTE MOORE","OREGON",61,34.98,"D",2026,"QB","Big Ten","P4",69.1,36,29,15,"51.70%","69.20%",202,7,"33.20%",2,0,4,3.09,0,4,2,"5.60%",1,"3.50%",3,97.2,9.2,"41.40%","48.30%","66.80%",7,"13.90%",25,"16.00%","20.00%","24.00%","16.00%","56.00%",48.7,15,5,0,0,0,0,0,4.3,0.7,3,"0.00%",0,0,"0.00%",29
"FAIZON BRANDON","TENNESSEE",68,33.79,"D",2026,"QB","SEC","P4",63.9,27,23,10,"43.50%","60.00%",148,6.4,"34.50%",2,0,1,2.7,2,2,0,"0.00%",1,"4.30%",2,94.1,11.3,"52.20%","34.80%","66.90%",11,"48.10%",0,"0","0","0","0","0",71.1,23,5.8,0,3,0,0,1,3.8,2,3,"75.00%",0.25,1,"0.00%",66
"ARCH MANNING","TEXAS",80,33.64,"D",2026,"QB","SEC","P4",75.5,46,39,23,"59.00%","78.40%",191,4.9,"51.80%",1,1,2,3.57,0,0,1,"2.20%",2,"5.10%",6,69.5,8.8,"56.40%","38.50%","49.70%",15,"45.60%",0,"0","0","0","0","0",62.9,38,5.4,0,1,0,0,0,2.7,2.7,5,"14.30%",0,1,"0.00%",28
"KEELON RUSSELL","ALABAMA",67,32.97,"D",2026,"QB","SEC","P4",65.5,37,31,19,"61.30%","74.10%",202,6.5,"18.30%",1,2,4,2.7,2,2,3,"8.10%",1,"3.20%",1,64.2,9.6,"38.70%","48.40%","89.60%",15,"46.00%",23,"17.40%","8.70%","13.00%","34.80%","78.30%",67.4,31,7.8,0,1,0,0,2,2.5,1.3,2,"25.00%",0.5,2,"0.00%",52
"MARCEL REED","TEXAS A&M",63,32.36,"D",2026,"QB","SEC","P4",62.7,34,28,16,"57.10%","63.00%",172,6.1,"49.40%",3,1,2,3.42,0,2,1,"2.90%",1,"3.60%",1,96.1,10.6,"35.70%","60.70%","59.30%",12,"35.30%",2,"0","0","100%","0","0",54.2,21,3,0,1,0,0,0,1.3,1.4,4,"14.30%",0,1,"0.00%",35
"DEMOND WILLIAMS JR.","WASHINGTON",75,30.77,"D",2026,"QB","Big Ten","P4",65,51,41,26,"63.40%","76.30%",249,6.1,"53.00%",0,0,2,3.05,2,0,0,"0.00%",1,"2.40%",3,80.2,8.3,"61.00%","31.70%","47.00%",15,"41.20%",0,"0","0","0","0","0",60.2,72,7.2,0,3,0,0,1,2.3,0.7,8,"30.00%",0.1,1,"50.00%",41
"BRYCE UNDERWOOD","MICHIGAN",63,29.74,"D",2026,"QB","Big Ten","P4",66.6,22,19,9,"47.40%","50.00%",111,5.8,"69.40%",0,0,2,2.68,1,4,0,"0.00%",1,"5.30%",0,65.9,10.6,"42.10%","52.60%","30.60%",8,"31.80%",0,"0","0","0","0","0",68.1,99,5.5,1,4,2,0,9,0.7,3.9,1,"22.20%",0.5,2,"17.60%",57
"MASON HEINTSCHEL","PITTSBURGH",74,29.59,"D",2026,"QB","ACC","P4",68.4,33,29,18,"62.10%","70.40%",212,7.3,"39.60%",0,0,1,2.97,0,1,0,"0.00%",1,"3.50%",1,84.3,8.3,"55.20%","37.90%","60.40%",8,"27.30%",0,"0","0","0","0","0",55.1,16,1.6,0,1,0,0,4,-0.7,2.3,3,"10.00%",0.4,0,"14.30%",59
"DRAKE LINDSEY","MINNESOTA",69,28.72,"D",2026,"QB","Big Ten","P4",67,55,53,32,"60.40%","70.00%",282,5.3,"44.00%",0,0,2,2.68,0,3,1,"1.80%",1,"1.90%",3,74.6,8.3,"56.60%","37.70%","56.00%",15,"14.50%",0,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47
"COLTON JOSEPH","WISCONSIN",48,27.59,"D",2026,"QB","Big Ten","P4",63.5,23,23,12,"52.20%","52.20%",173,7.5,"60.70%",1,0,0,2.44,0,1,1,"4.30%",1,"4.30%",0,91.4,8.9,"65.20%","34.80%","39.30%",7,"21.70%",22,"4.50%","18.20%","45.50%","4.50%","36.40%",72.6,33,8.3,0,2,0,0,0,6,2.3,0,"50.00%",0,2,"0.00%",24
"AJ SURACE","RUTGERS",70,27.52,"D",2026,"QB","Big Ten","P4",53.4,32,28,18,"64.30%","66.70%",230,8.2,"27.80%",3,4,3,2.75,1,3,4,"12.50%",1,"3.60%",0,86,10,"35.70%","60.70%","73.90%",12,"9.40%",25,"16.00%","16.00%","28.00%","12.00%","56.00%",51.8,2,0.5,0,0,0,0,0,-0.3,0.8,1,"0.00%",0,0,"0.00%",46
"HANK BROWN","IOWA",60,27.01,"D",2026,"QB","Big Ten","P4",65.5,32,30,21,"70.00%","72.40%",191,6.4,"45.00%",0,0,0,2.37,1,3,0,"0.00%",1,"3.30%",0,86.9,8.4,"60.00%","36.70%","55.00%",9,"21.90%",0,"0","0","0","0","0",58.8,22,2.8,1,1,0,0,0,0.8,2,2,"12.50%",0,0,"0.00%",26
"AVERY JOHNSON","KANSAS ST",69,26.05,"D",2026,"QB","Big 12","P4",43,39,35,22,"62.90%","71.40%",192,5.5,"74.50%",3,2,0,2.95,0,1,3,"7.70%",1,"2.90%",3,82.1,7.5,"57.10%","42.90%","26.60%",14,"30.80%",0,"0","0","0","0","0",73.2,78,9.8,0,4,0,0,0,5,4.1,4,"50.00%",0,4,"0.00%",27
"ISAIAH MARSHALL","KANSAS",70,25.62,"D",2026,"QB","Big 12","P4",55,41,33,15,"45.50%","50.00%",215,6.5,"26.50%",2,2,4,3.37,0,1,3,"7.30%",3,"9.10%",1,62.1,14.2,"27.30%","69.70%","78.60%",9,"43.90%",30,"10.00%","36.70%","36.70%","10.00%","26.70%",49.3,53,2.9,0,4,3,1,3,0.5,1.8,4,"22.20%",0.17,2,"14.30%",43
"LANORRIS SELLERS","S CAROLINA",57,25.15,"D",2026,"QB","SEC","P4",58.8,30,25,10,"40.00%","66.70%",96,3.8,"61.50%",0,1,1,2.64,0,4,0,"0.00%",0,"0.00%",6,34.8,7.5,"56.00%","40.00%","38.50%",7,"43.30%",0,"0","0","0","0","0",84.6,159,22.7,1,4,0,0,5,14.9,7.9,4,"57.10%",0.71,4,"0.00%",30
"TRAMELL JONES JR.","FLORIDA",21,23.9,"D",2026,"QB","SEC","P4",75.6,11,11,8,"72.70%","81.80%",63,5.7,"63.50%",0,1,0,2.2,0,0,0,"0.00%",0,"0.00%",1,48.7,6.9,"54.50%","45.50%","36.50%",4,"63.60%",0,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
"NICO IAMALEAVA","UCLA",65,23.79,"D",2026,"QB","Big Ten","P4",65.4,31,23,14,"60.90%","80.00%",151,6.6,"39.10%",0,1,2,3.03,2,2,1,"3.20%",1,"4.30%",2,62,10.1,"52.20%","34.80%","60.90%",8,"38.70%",20,"10.00%","45.00%","20.00%","10.00%","35.00%",63.1,68,5.7,0,4,0,0,2,1.9,3.8,6,"33.30%",0.17,2,"0.00%",31
"ALONZA BARNETT III","UCF",56,23.61,"D",2026,"QB","Big 12","P4",52.2,44,33,20,"60.60%","72.40%",186,5.6,"36.60%",1,0,3,2.86,2,3,2,"4.50%",2,"6.10%",1,86.2,7.8,"57.60%","30.30%","66.10%",9,"25.00%",0,"0","0","0","0","0",62.9,78,9.8,0,3,0,0,3,2.6,5.3,8,"37.50%",0.38,4,"0.00%",5
"WILL HAMMOND","TEXAS TECH",71,23.14,"D",2026,"QB","Big 12","P4",60.2,33,28,20,"71.40%","76.90%",189,6.8,"25.40%",1,0,4,2.82,2,4,2,"6.10%",1,"3.60%",0,101.6,8.1,"53.60%","39.30%","75.70%",13,"39.40%",25,"0","24.00%","20.00%","12.00%","56.00%",54.2,2,1,0,0,0,0,0,-2.5,3.5,1,"0.00%",0,0,"0.00%",49
"TAIT REYNOLDS","CLEMSON",67,22.01,"D",2026,"QB","ACC","P4",61.6,38,30,16,"53.30%","65.40%",178,5.9,"54.50%",0,0,3,2.73,1,1,1,"2.60%",2,"6.70%",1,71.3,10.3,"40.00%","46.70%","45.50%",12,"34.20%",0,"0","0","0","0","0",51.6,48,3.7,0,2,1,1,6,0.3,3.1,5,"15.40%",0.46,2,"0.00%",64
"JAYLEN RAYNOR","IOWA STATE",54,19,"F",2026,"QB","Big 12","P4",60.3,22,20,11,"55.00%","63.20%",117,5.8,"33.30%",1,0,0,2.8,1,0,1,"4.50%",1,"5.00%",1,89,11.8,"40.00%","55.00%","66.70%",6,"27.30%",0,"0","0","0","0","0",56.2,18,2.3,0,0,0,0,1,-1,3.3,2,"0.00%",0.13,0,"0.00%",23
"JOHN MATEER","OKLAHOMA",65,18.31,"F",2026,"QB","SEC","P4",44.2,43,34,18,"52.90%","58.10%",198,5.8,"64.10%",1,1,4,2.89,2,2,2,"4.70%",1,"2.90%",0,68,8.5,"47.10%","44.10%","35.90%",11,"16.30%",0,"0","0","0","0","0",71.2,77,7,0,4,0,0,2,2,3,5,"36.40%",0.18,3,"50.00%",12
