"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","Lined.up.in.Press.Coverage","row_id"
"Gabe Copeland","SE LA",34,68.3,"B","ED",2026,"Southland",88.4,80.7,86.9,60,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,1,2,22,"31.80%","18.20%",9.1,11,0,"0","27.30%",0,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"100%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",44,0,"100%",0,0,0,"0.00%",0,0,0,0,0,"100%",1,1,0,0,1,"FCS",258,NA,258
"Trevor Short","FURMAN",26,67.97,"B","ED",2026,"Southern",92.9,63.1,92.9,61,0,0,2,2,0,0,1,3,0,0,0,1,1,0,0,1,1,2,0,13,"7.70%","23.10%",19.2,10,0,"0","0",0,3,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",11,2,"0.00%",0,0,0,"0.00%",0,0,0,2,0,"0.00%",2,2,0,0,0,"FCS",129,NA,129
"Kelton Crisp","AUSTINPEAY",46,65.7,"B","ED",2026,"United Athletic",83.6,69.1,76.2,78.4,0,1,1,0,0,0,7,7,2,0,0,0,0,1,0,0,0,2,3,29,"31.00%","24.10%",12.1,13,-5,"23.10%","23.10%",3,4,0,"0.00%",0,0,0,0,0,0,0,0,0,"25.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",12,2,"0.00%",1,1,1,"0.00%",1,1,0,0,0,"0.00%",2,2,0,0,0,"FCS",229,NA,229
"Lorenzo Riddick","FORDHAM",43,65.29,"B","ED",2026,"Patriot",63.1,40.9,73.8,71.6,0,0,2,2,0,0,2,4,4,0,0,0,0,0,0,2,0,5,5,18,"33.30%","22.20%",16.7,19,6,"21.10%","5.30%",4,6,0,"0.00%",0,0,0,0,0,0,0,0,0,"16.70%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",46,5,"37.50%",0,0,0,"66.70%",1,0,2,2,0,"20.00%",8,8,0,2,1,"FCS",251,NA,251
"Lucas Manderbach","LEHIGH",41,64.7,"B","ED",2026,"Patriot",83.5,55.2,90.8,NA,0,0,2,0,0,1,6,7,1,0,0,0,0,0,0,0,0,1,4,27,"29.60%","25.90%",13,14,2.5,"28.60%","14.30%",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,"0.00%",0,2,0,"0.00%",2,0,0,0,0,"0.00%",2,2,0,0,0,"FCS",218,NA,218
"Myles Richardson","ALABAMA ST",34,64.11,"B","ED",2026,"SWAC",76.7,63,83.7,NA,2,0,1,0,0,1,1,2,1,0,0,0,0,1,0,0,0,2,1,15,"20.00%","13.30%",6.7,19,2.5,"5.30%","5.30%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,2,"0.00%",0,1,1,"0.00%",2,0,0,0,0,"0.00%",2,2,0,0,0,"FCS",35,NA,35
"Devyn Davis","DRAKE",15,63.16,"B","ED",2026,"Pioneer",80.4,68.7,85.4,59.5,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,5,"20.00%","20.00%",20,9,0,"0","11.10%",0,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"100%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",97,2,"0.00%",1,0,0,"0.00%",0,1,0,1,0,"0.00%",2,2,0,0,0,"FCS",298,NA,298
"Luke Teskey","IDAHO",27,62.49,"B","ED",2026,"Big Sky",91.9,77.5,60,68.3,0,0,3,0,0,0,1,1,0,0,0,1,0,3,0,0,1,2,0,13,"0","7.70%",3.9,13,0.75,"0","23.10%",0,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"100%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",99,5,"0.00%",0,3,3,"0.00%",4,0,0,0,0,"0.00%",5,5,0,1,0,"FCS",43,NA,43
"Marquese Avery","RHODE ISLD",15,62.48,"B","ED",2026,"CAA",87.9,60.8,87.8,NA,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,11,"36.40%","18.20%",9.1,4,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCS",168,NA,168
"Aidan Williams","LEHIGH",44,62.23,"B","ED",2026,"Patriot",73,65.4,73.4,62.6,1,1,1,0,0,1,4,5,1,0,0,0,0,0,0,1,2,3,0,20,"15.00%","25.00%",12.5,21,4,"0","0",0,3,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",15,3,"0.00%",1,1,0,"0.00%",1,1,0,0,0,"0.00%",3,3,0,1,0,"FCS",217,NA,217
"Isaiah Wray","S DAKOTA",42,61.96,"B","ED",2026,"Missouri Valley",71.1,67,67.7,60,1,1,2,0,0,1,6,7,0,0,0,0,0,1,0,3,0,8,1,28,"14.30%","25.00%",12.5,14,3,"7.10%","14.30%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,4,"20.00%",1,2,1,"0.00%",3,1,0,0,0,"100%",5,5,0,0,1,"FCS",269,NA,269
"Trey Woods","ELON",39,61.41,"B","ED",2026,"CAA",72.2,75.8,60.7,NA,0,0,3,0,0,1,1,2,0,0,0,0,0,3,0,0,0,3,0,20,"10.00%","10.00%",5,19,0,"0","15.80%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,3,"0.00%",0,3,3,"0.00%",3,0,0,0,0,"0.00%",3,3,0,0,0,"FCS",23,NA,23
"Michael Wells","YNGTOWN ST",48,60.22,"B","ED",2026,"Missouri Valley",74.9,59.4,86,61.9,0,0,1,1,0,0,4,5,1,0,0,0,0,0,0,0,2,2,1,16,"25.00%","25.00%",15.6,25,8,"4.00%","0",1,7,0,"0.00%",0,0,0,0,0,0,0,0,0,"14.30%",0,0,0,0,1,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",3,2,"0.00%",0,0,0,"0.00%",1,0,0,1,0,"0.00%",2,2,0,0,0,"FCS",45,NA,45
"Ibrahim Sanogo","S ILLINOIS",55,59.71,"C","ED",2026,"Missouri Valley",78.9,70.3,71.9,65.9,0,0,4,1,0,0,3,4,1,0,0,0,0,2,0,0,0,3,0,37,"13.50%","10.80%",6.8,18,-0.5,"0","5.60%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,"0.00%",0,2,1,"0.00%",2,0,0,2,1,"0.00%",4,4,0,1,0,"FCS",133,NA,133
"Chris Bacon","MAINE",47,59.09,"C","ED",2026,"CAA",66.6,70.4,65.4,NA,0,0,3,0,0,2,2,4,0,0,1,0,0,1,0,1,0,2,2,18,"16.70%","22.20%",11.1,29,1.67,"6.90%","17.20%",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,"0.00%",0,3,1,"0.00%",3,0,0,0,0,"0.00%",3,3,0,0,0,"FCS",61,NA,61
"Zac Crews","MONTANA ST",56,57.21,"C","ED",2026,"Big Sky",72.8,70.7,68.2,62.2,0,1,1,0,0,0,1,1,3,0,0,0,0,1,0,0,0,1,0,32,"12.50%","3.10%",1.6,20,0,"0","10.00%",0,4,0,"0.00%",0,0,0,0,0,0,0,0,0,"75.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",36,2,"0.00%",1,1,1,"0.00%",1,1,0,0,0,"0.00%",2,2,0,0,0,"FCS",58,NA,58
"Isaiah Washburn","BETH COOK",52,56.77,"C","ED",2026,"SWAC",56.3,40.9,69.3,66.4,0,1,2,1,0,2,3,6,1,0,0,0,0,1,0,3,0,7,5,28,"14.30%","17.90%",10.7,15,9,"20.00%","6.70%",3,9,2,"100%",7,3.5,0,0,0,0,81.3,0.78,0,"66.70%",0,0,0,1,0,"0.00%","0.00%","0.00%","0.00%",3.5,-1.5,"0.00%",0,4,"50.00%",1,0,0,"75.00%",1,0,3,2,1,"25.00%",8,8,1,1,1,"FCS",22,NA,22
"Ezra Ekuban","N COLORADO",31,56.62,"C","ED",2026,"Big Sky",51.9,41,71.1,60,0,1,3,1,0,0,1,2,0,0,0,1,0,2,0,1,1,4,5,12,"0","16.70%",12.5,18,4,"27.80%","11.10%",5,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",3,5,"16.70%",1,2,2,"20.00%",3,1,1,1,0,"0.00%",6,6,0,0,0,"FCS",16,NA,16
"Christopher Gill","STHLSK",33,56.07,"C","ED",2026,"Northeast",72.4,76.2,58,NA,0,2,3,0,0,0,1,1,0,0,0,0,0,3,0,0,0,2,1,14,"7.10%","7.10%",3.6,19,-1.33,"5.30%","21.10%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,5,"0.00%",2,3,3,"0.00%",3,2,0,0,0,"0.00%",5,5,0,0,0,"FCS",101,NA,101
"Deorious Cobbs","CENT ARK",15,55.43,"C","ED",2026,"United Athletic",79.1,38.7,93.2,60,0,0,2,1,0,0,0,1,2,0,0,1,0,0,0,0,0,4,3,10,"30.00%","10.00%",10,5,1,"60.00%","60.00%",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2,"50.00%",0,1,0,"66.70%",1,0,2,1,0,"0.00%",4,4,0,0,0,"FCS",37,NA,37
"Jaden Williams","SAN DIEGO",23,55.33,"C","ED",2026,"Pioneer",67.2,53.9,81.4,60.7,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,1,0,2,1,6,"50.00%","16.70%",16.7,15,0,"6.70%","0",1,2,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",53,1,"66.70%",0,0,0,"100%",0,0,2,1,0,"0.00%",3,3,0,0,0,"FCS",186,NA,186
"Avery Howard","N ALABAMA",44,54.4,"C","ED",2026,"United Athletic",67.7,85.7,58.2,44.9,0,0,3,0,0,1,1,2,0,0,0,0,0,2,0,1,1,5,2,18,"0","11.10%",5.6,23,0.67,"0","34.80%",0,3,1,"100%",14,14,0,1,0,0,118.8,4.67,0,"66.70%",0,0,0,1,0,"0.00%","0.00%","100%","0.00%",14,0,"0.00%",15,4,"33.30%",0,3,2,"0.00%",3,0,0,0,0,"66.70%",6,6,0,1,2,"FCS",55,NA,55
"Duncan Parham","TXAMEA",26,53.25,"C","ED",2026,"Southland",55.7,60.7,79.7,28.6,0,0,3,2,0,0,2,4,0,0,0,0,0,0,0,1,0,3,2,14,"21.40%","28.60%",21.4,10,0,"0","0",0,2,1,"100%",7,7,0,0,0,0,95.8,3.5,0,"0.00%",0,0,0,1,0,"0.00%","0.00%","0.00%","0.00%",7,1,"0.00%",6,3,"0.00%",0,0,0,"0.00%",0,0,0,3,0,"0.00%",3,3,0,1,0,"FCS",4,NA,4
"Caden Brown","FL A&M",28,53.13,"C","ED",2026,"SWAC",81.3,74.6,75.1,NA,0,1,1,0,0,1,2,3,0,0,0,0,0,0,0,1,0,3,1,13,"15.40%","23.10%",11.5,15,4,"6.70%","26.70%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3,"0.00%",1,1,0,"0.00%",2,1,0,0,0,"0.00%",3,3,0,0,0,"FCS",111,NA,111
"Kevin Nizolek","FORDHAM",27,52.26,"C","ED",2026,"Patriot",56.7,48.3,85.2,51.9,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,4,9,"44.40%","0.00%",0,16,7,"18.80%","6.30%",3,2,0,"0.00%",0,0,0,0,0,0,39.6,0,0,"0.00%",0,0,1,1,0,"0.00%","0.00%","0.00%","0.00%",0,9,"0.00%",95,2,"60.00%",0,0,0,"60.00%",2,0,3,0,0,"0.00%",5,5,0,0,0,"FCS",69,NA,69
"Ethan Aghakhan","NEW HAMP",32,52.11,"C","ED",2026,"CAA",69.5,73.3,61.1,61,0,2,2,2,0,0,0,2,0,0,0,0,0,1,0,2,0,2,0,21,"0","9.50%",9.5,8,-1,"0","25.00%",0,3,0,"0.00%",0,0,0,0,0,0,0,0,0,"33.30%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",92,5,"0.00%",2,1,1,"0.00%",1,2,0,1,0,"0.00%",5,5,0,0,0,"FCS",145,NA,145
"Marquis Williams","MERCER",17,52.07,"C","ED",2026,"Southern",77.1,71.4,69.9,NA,0,0,2,1,0,0,2,3,0,0,0,0,0,1,0,0,1,1,0,10,"20.00%","30.00%",20,7,0,"0","14.30%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2,"0.00%",0,1,1,"0.00%",1,0,0,1,0,"0.00%",2,2,0,0,0,"FCS",238,NA,238
"Nui Tovey","MONTANA",33,51.28,"C","ED",2026,"Big Sky",74.3,67.9,73.5,60,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,2,0,16,"25.00%","6.30%",3.1,16,4,"0","6.30%",0,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"100%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",59,2,"0.00%",0,1,0,"0.00%",2,0,0,0,0,"0.00%",2,2,0,0,0,"FCS",212,NA,212
"Mark Pullman","CHISTA",28,50.85,"C","ED",2026,"IND (FCS)",73.9,68,71.1,NA,0,0,3,0,0,0,4,4,0,0,0,0,0,1,0,2,0,4,2,15,"13.30%","20.00%",10,13,1.33,"15.40%","30.80%",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,3,"25.00%",0,2,1,"33.30%",2,0,1,1,0,"0.00%",4,4,0,1,0,"FCS",293,NA,293
"Teddy McDuffie Jr.","MERCYHURST",41,50.76,"C","ED",2026,"Northeast",71.8,63,78.9,61.4,0,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,11,"27.30%","9.10%",4.5,25,0,"4.00%","4.00%",1,5,0,"0.00%",0,0,0,0,0,0,39.6,0,0,"20.00%",0,1,1,0,0,"0.00%","100%","0.00%","0.00%",0,5,"0.00%",0,2,"0.00%",2,0,0,"0.00%",0,2,0,0,0,"0.00%",2,2,0,0,0,"FCS",224,NA,224
"Kobe McInnis","MERCER",54,50.7,"C","ED",2026,"Southern",67.1,65.1,63.9,61.9,0,0,3,0,0,1,1,2,1,0,0,0,0,1,0,0,0,4,1,28,"10.70%","7.10%",3.6,24,3.67,"4.20%","8.30%",1,2,0,"0.00%",0,0,0,0,0,0,0,0,0,"50.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",15,4,"0.00%",0,2,1,"0.00%",3,0,0,1,0,"0.00%",4,4,0,1,0,"FCS",200,NA,200
"Romeo Brown","NICHOLLS",44,50.07,"C","ED",2026,"Southland",70.5,65.8,68.1,NA,0,0,0,1,0,0,4,5,1,0,0,0,0,0,0,3,0,3,0,31,"9.70%","16.10%",9.7,13,3.5,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,3,"0.00%",0,0,0,"0.00%",2,0,0,0,0,"0.00%",3,3,0,0,0,"FCS",280,NA,280
"Justin Tedim","COLGATE",31,49.97,"C","ED",2026,"Patriot",72.7,65.2,66.3,61.3,0,0,4,2,0,0,1,3,0,0,0,0,0,0,0,2,0,4,1,15,"6.70%","20.00%",16.7,16,4.67,"6.30%","6.30%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,6,"0.00%",0,2,0,"0.00%",3,0,0,2,0,"0.00%",6,6,0,1,0,"FCS",67,NA,67
"Kye Pressley","MAINE",47,49.88,"C","ED",2026,"CAA",76,76,62.6,65.9,0,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,13,"15.40%","0.00%",0,32,3,"3.10%","18.80%",1,2,1,"100%",2,2,0,0,0,0,79.2,1,0,"50.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",2,2,"0.00%",11,7,"0.00%",2,2,0,"0.00%",2,2,0,2,0,"0.00%",7,7,0,3,0,"FCS",63,NA,63
"Junior Kaufusi","IDAHO ST",20,49.13,"C","ED",2026,"Big Sky",69.9,57.2,76.1,NA,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,11,"36.40%","9.10%",4.5,9,7,"11.10%","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,1,"0.00%",0,0,0,"0.00%",1,0,0,0,0,"0.00%",1,1,0,0,0,"FCS",299,NA,299
