"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Pass.Block.Efficiency","Knockdown.Percentage","Defeated.Runblock.Percentage","Pressure.allowed.Percentage","Beaten.by.Defender","Hurries.Allowed","Hits.Allowed","Sacks.Allowed"
"John Pica","S DAK ST",27,67.08,"B",63.7,79.6,0.037,0,0,0,0,0,0,0,0
"Gavin Bennett","HAMPTON",40,66.75,"B",69.7,65.6,0.075,0,0,0.105,0.048,0,1,0,0
"Jaylen Eberhardt","CHISTA",37,66.12,"B",59.8,81.4,0.027,0,0,0.048,0,0,0,0,0
"Ty Miles","NEW HAMP",55,66.04,"B",68.5,79.9,0.055,0,0,0,0.037,0,1,0,0
"Isaiah Hayes","SE LA",66,65.94,"B",58.3,74.7,0.045,0,0,0.229,0.032,0,1,0,0
"Pule Leatigaga","PORTLAND",72,65.77,"B",64.9,78.1,0.028,0,0,0.039,0,1,0,0,0
"Blaine Halley","S ILLINOIS",51,65.67,"B",53.5,87.8,0.02,0,0,0.095,0,0,0,0,0
"Alton Williams","N DAKOTA",59,65.63,"B",59,85.2,0.017,0,0,0.043,0,0,0,0,0
"Sean Broderick","LIUSHAR",62,65.52,"B",52.9,84.4,0.016,0,0,0.147,0,0,0,0,0
"Austin Buehler","MONTANA",61,65.24,"B",53,83.4,0.016,0,0,0.2,0,1,0,0,0
"Kendal Septs","TXAMEA",69,65.19,"B",65.2,56.9,0.072,0,0,0.122,0,2,0,0,0
"Daniel Cole","MURRAY ST",56,65.01,"B",54.5,79.5,0.018,0,0,0.2,0,1,0,0,0
"Jake Waltman","BRYANT",51,64.56,"B",62.8,75.9,0.02,0,0,0.083,0,1,0,0,0
"Brendon Crispe","S DAKOTA",64,64.26,"B",56.4,86.8,0.016,0,0,0.028,0,0,0,0,0
"Jayvier Frazier","SCAR STATE",48,64.23,"B",57.8,81.5,0.021,0,0,0.039,0,0,0,0,0
"Linden Clemmons","WM & MARY",74,63.67,"B",59.3,81.7,0.014,0,0,0.074,0,1,0,0,0
"Logan Brasfield","ILL STATE",66,63.41,"B",59.8,81.2,0.015,0,0,0.059,0,1,0,0,0
"Jake Utley","S DAKOTA",64,63.38,"B",56.6,79.1,0.031,0,0.036,0.083,0.036,0,0,1,0
"Spencer McClintock","STHLSK",82,63.33,"B",51.1,88.7,0.012,0,0,0.077,0,0,0,0,0
"Jacob Ziegler","CHATTNOOGA",29,63.16,"B",56.9,83.1,0,0,0,0.077,0,0,0,0,0
"Ray Marshall","DRAKE",26,63.12,"B",62.8,68.4,0.077,0,0.048,0.2,0.095,1,1,0,1
"Coleon Smith","S ILLINOIS",61,63.07,"B",54.9,84.8,0.016,0,0,0.033,0,0,0,0,0
"Ryan Cregan","VILLANOVA",58,62.9,"B",59.5,41.9,0.017,97.4,0.026,0.1,0.026,2,0,0,1
"Watts Alexander","CHATTNOOGA",60,62.75,"B",59.9,84.9,0.017,0,0.032,0.035,0.032,0,0,0,1
"Connor Cook","LNDNWD",51,62.55,"B",69,71.4,0.059,0,0,0,0.036,1,1,0,0
"Kamron Frye","WM & MARY",28,62.47,"B",70.4,51.9,0.071,0,0.063,0,0.063,1,0,1,0
"Trace Thaden","N DAKOTA",59,62.05,"B",50.6,88.6,0,0,0,0.087,0,0,0,0,0
"Oswaldo Jimenez","CHISTA",32,61.79,"B",58.2,84.4,0,0,0,0,0,0,0,0,0
"Freddie Pelling","W GEORGIA",60,61.78,"B",61.7,87.3,0.017,0,0,0,0.026,0,1,0,0
"Christian Menard","NWSTATE",41,61.41,"B",52.3,85.8,0,0,0,0.067,0,0,0,0,0
"Matthew Snarr","UTAHTC",73,61.24,"B",61.4,77.4,0.027,0,0,0.097,0.024,1,1,0,0
"Xavier Parker","TARLETON",73,61.12,"B",68.2,71.2,0.027,0,0.018,0.053,0.037,0,1,1,0
"Bleek Turner","MONMOUTH",29,61.1,"B",56.8,84.4,0,0,0,0,0,0,0,0,0
"Jaydon Harris","DUQUESNE",40,61.01,"B",57.6,82.8,0,0,0,0,0,0,0,0,0
"Ra'Qui Martin","MERRIMACK",57,60.8,"B",57.3,82,0.018,0,0.053,0.026,0.053,0,0,0,1
"Logan Brady","NWSTATE",59,60.52,"B",57.4,85.8,0.017,0,0,0.045,0.027,0,1,0,0
"Ryan Steinbrink","COLGATE",64,60.24,"B",78,55.2,0.078,0,0.081,0.111,0.108,2,1,3,0
"Eric Aschenbeck","MCNEESE",77,60.05,"B",57.9,81.4,0,0,0,0.032,0,1,0,0,0
"Lukas Donahue","MERRIMACK",36,60.03,"B",45.1,85.1,0,0,0,0.143,0,0,0,0,0
"Sean Pozniak","NEWHVN",56,60.02,"B",55.3,62.3,0.036,0,0.04,0.194,0.04,1,0,1,0
"Jacorey Wright","MERCER",75,60.02,"B",50.1,85.6,0,0,0,0.059,0,0,0,0,0
"Zion Sauvao","N COLORADO",64,59.91,"C",80.4,32.9,0.094,0,0.065,0.061,0.065,2,0,0,2
"Drew Heiss","DRAKE",75,59.75,"C",73.5,61.8,0.04,0,0,0.063,0.034,1,2,0,0
"Travis Gray","TENN MARTN",48,59.72,"C",53.4,69.3,0.021,0,0.04,0.174,0.04,0,0,0,1
"Ryan Murphy","COLGATE",64,59.7,"C",71.9,61.2,0.047,0,0.054,0,0.054,1,0,1,1
"Marcus Jean Baptiste","WAGNER",28,59.38,"C",45.4,82.5,0,0,0,0.143,0,0,0,0,0
"James Wright","SOUTHERN U",25,59.27,"C",46.7,66.3,0.04,0,0,0.375,0.059,0,1,0,0
"Johnny Holly","STF AUSTIN",66,59.2,"C",64.8,61.2,0.045,0,0.028,0.033,0.028,1,0,0,1
"Unknown LIU 67","LIUSHAR",62,59.03,"C",54.9,86.5,0.016,0,0,0.059,0.036,0,1,0,0
"Jacob Hood","NICHOLLS",35,59.01,"C",62.2,58.8,0.029,0,0,0.05,0,1,0,0,0
"Andrew Swingle","LNDNWD",55,58.95,"C",57.5,82.4,0.018,0,0,0.04,0.033,0,1,0,0
"Tyrone Julot","SCAR STATE",25,58.73,"C",55.2,79.2,0,0,0,0,0,0,0,0,0
"Esom Nnajiofor","WOFFORD",57,58.68,"C",55.2,76.5,0.018,0,0,0.105,0.026,0,1,0,0
"Mason Knoch","VALPO",62,58.59,"C",73,55.3,0.048,0,0,0.053,0.047,0,2,0,0
"Cameron Vann","ABILENE CH",64,58.56,"C",56.2,83.1,0,0,0.023,0.095,0.023,1,0,0,1
"Micah Martin","MURRAY ST",58,58.48,"C",51.4,78.9,0.017,0,0.045,0.083,0.045,0,0,0,1
"Cooper LaFond","FORDHAM",25,58.45,"C",67.4,53.4,0.08,0,0,0.077,0.083,0,1,0,0
"Success Chikezie","NEWHVN",44,58.41,"C",58.4,74.5,0,0,0,0.039,0,1,0,0,0
"Andrew Threatt","W CAROLINA",51,58.27,"C",48.8,78,0,0,0,0.25,0.029,0,1,0,0
"Wes Thompson","TXRG",82,58.15,"C",56.8,77.1,0.012,0,0,0.042,0,2,0,0,0
"Kyle Fay","VILLANOVA",58,58,"C",52.7,46.1,0.017,97.4,0,0.2,0.053,2,2,0,0
"Anfernee Crease","LAMAR",56,57.84,"C",48.7,81.7,0,0,0,0.103,0,1,0,0,0
"Parker Peterson","FURMAN",55,57.24,"C",57.3,76.2,0.018,0,0,0.043,0.031,0,1,0,0
"Marvin Lee Jr.","ALABAMA ST",44,57.24,"C",57.9,68.3,0.023,0,0.035,0.333,0.103,0,2,1,0
"Messiah Johnson","IDAHO ST",51,57.14,"C",60.9,74.8,0.02,0,0,0.1,0.032,2,1,0,0
"Joshua Schuetzmann","RHODE ISLD",72,56.95,"C",62.4,71.6,0.042,0,0.029,0.081,0.057,2,1,1,0
"Torin Jeske","MONTANA",61,56.61,"C",68.1,73.2,0.033,0,0.024,0.05,0.073,0,2,0,1
"Andrew Kocan","MAINE",65,56.39,"C",42.9,88.3,0.015,0,0,0.129,0.029,0,1,0,0
"Luke Roaten","ABILENE CH",64,56.31,"C",56.1,68.9,0.016,0,0.047,0.095,0.047,0,0,2,0
"Bennett Nunnally","HOLY CROSS",45,56.17,"C",54.3,51.3,0.022,0,0,0.235,0,2,0,0,0
"Ramier Lewis","TEXAS STHN",63,55.96,"C",57.5,75.1,0.016,0,0.033,0.091,0.067,0,1,1,0
"Connor Johnstone","SAN DIEGO",57,55.96,"C",52.8,58.3,0.035,0,0,0.31,0.036,2,1,0,0
"Jarvis Williams","ROB MORRIS",51,55.44,"C",48.3,77.1,0,0,0,0.176,0.029,0,1,0,0
"Bradford Blattner","HOLY CROSS",40,55.12,"C",79.6,34.1,0.075,0,0.083,0.125,0.125,2,1,1,1
"Zane Feltz","SAN DIEGO",57,54.83,"C",57.9,65,0.018,0,0,0.069,0,3,0,0,0
"Devan Taylor","ALBANY",64,54.36,"C",50.2,72.3,0,0,0,0.161,0.03,0,1,0,0
"Chris Leonardo","MERRIMACK",31,53.9,"C",68.3,22.9,0.065,0,0.083,0.105,0.083,2,0,1,0
"Tim Suk","SACR HEART",49,53.73,"C",57.6,78.3,0,0,0,0,0.042,0,1,0,0
"Kyron Barnes","NICHOLLS",69,53,"C",58.5,70,0.015,0,0.03,0.056,0.061,0,1,0,1
"Mason Ludwig","YNGTOWN ST",63,52.74,"C",62.4,65.6,0.032,0,0.027,0.077,0.081,0,2,1,0
"Emmitt Harris","ALBANY",64,52.54,"C",55.7,72.8,0,0,0,0.065,0.03,1,1,0,0
"Austin Lambert","VALPO",62,52.5,"C",59.9,68.1,0.016,0,0,0.105,0.047,1,2,0,0
"Gavin Allen","E WASHGTON",70,52.21,"C",52,81.2,0,0,0,0.083,0.043,0,2,0,0
"Trevanti Davis","STF AUSTIN",66,52,"C",64.5,61.9,0.03,0,0,0,0.056,0,2,0,0
"Mikale Perry","W GEORGIA",60,51.64,"C",68.9,66.9,0.05,0,0.079,0,0.132,0,2,3,0
"Ben Hollowell","BETH COOK",30,51.59,"C",49.4,59.2,0,0,0.067,0.133,0.067,0,0,0,1
"Charles Soska","LEHIGH",57,51.52,"C",52.8,77.5,0,0,0,0.073,0.063,0,1,0,0
"Gabe Snyder","STETSON",48,51.13,"C",56.6,67.2,0,0,0,0.063,0.031,1,1,0,0
"Justin Kaye","STNY BROOK",68,50.41,"C",45,69.2,0.029,0,0.021,0.25,0.063,0,2,0,1
"Gabriel Rzany","E WASHGTON",56,50.37,"C",55.4,66.2,0.018,0,0.057,0.095,0.057,2,0,0,2
"Jackson Reasoner","DRAKE",57,50.21,"C",52.1,70.9,0,0,0.045,0,0.045,0,0,2,0
"Wyatt Whalen","BRYANT",60,49.98,"C",56.1,67.9,0,0,0,0.033,0.033,1,1,0,0
"Brody Balliew","MERCER",75,49.85,"C",55.2,66.1,0.013,0,0.024,0.147,0.073,0,2,1,0
"Dontay Bishop","RHODE ISLD",72,49.84,"C",59.4,60.9,0.028,0,0.029,0.054,0.057,2,1,1,0
"Henry Fanua","UC DAVIS",25,49.8,"C",59.1,51.8,0.04,0,0,0.125,0.059,2,1,0,0
"Jaden Wedderburn","ILL STATE",66,49.67,"C",64.9,63.6,0.045,0,0.063,0.029,0.125,0,2,1,1
"Eli Brasher","FURMAN",46,49.37,"C",53.8,63.7,0.022,0,0.04,0.095,0.08,1,1,1,0
"Rashad Turner","SE MO ST",79,49.15,"C",56.3,82.3,0,0,0.02,0,0.06,0,2,0,1
"Michael Muldrow Jr.","ELON",66,48.95,"C",67.1,42.6,0.061,0,0.1,0.056,0.133,1,1,3,0
"Secrea Algie","W CAROLINA",51,48.83,"C",57.2,63.6,0,0,0,0.063,0.029,2,1,0,0
"Jelani Lomotey","STHLSK",82,48.53,"C",50.2,72.2,0,0,0,0.115,0.036,1,2,0,0
"Charlie Vliem","IDAHO",80,47.73,"C",56.9,74.1,0.013,0,0.017,0.045,0.052,2,2,1,0
"Samuel Eskridge","E KENTUCKY",53,47.69,"C",60.7,58.7,0.019,0,0,0.069,0.083,0,2,0,0
"Ronald Anderson","RICHMOND",36,47.25,"C",59.7,26.9,0,96.3,0.037,0,0.074,3,1,1,0
"Justin Frost","IDAHO ST",51,46.66,"C",50.7,59.7,0,0,0,0.25,0.032,4,1,0,0
"Calvin McMillian","PRVIEW A&M",48,46.59,"C",49,51.5,0,0,0.067,0.222,0.067,1,0,0,2
"Calvin Balentine","TEXAS STHN",63,46.5,"C",50.3,57.5,0,0,0.1,0.152,0.1,0,0,1,2
"Jaidyn Jones","TXAMEA",25,46.43,"C",66,24.7,0.08,0,0,0.071,0.091,1,1,0,0
"KJ Brooks","TOWSON",50,46.31,"C",49,61.4,0,0,0,0.133,0.029,2,1,0,0
"Matt Fries","MONMOUTH",65,46.16,"C",49.9,46.4,0.046,0,0,0.212,0.031,4,1,0,0
"Kiegan Henson","IDAHO",80,45.85,"C",66.2,67.4,0.038,0,0.017,0.091,0.103,0,5,0,1
"Zy'Terrio Lee","CAMPBELL",51,45.69,"C",46.5,52.2,0.02,0,0.028,0.267,0.056,2,1,0,1
"Cameron Pascal","PRVIEW A&M",48,45.67,"C",40.6,65,0,0,0,0.444,0.1,0,3,0,0
"Abdallah Daud","DUQUESNE",43,45.65,"C",53.4,62,0,0,0,0.091,0.048,2,1,0,0
"Grant Murin","ROB MORRIS",51,45.59,"C",66.7,48.7,0.039,0,0.029,0.118,0.118,0,3,0,1
"Sam Young III","HAMPTON",29,45.54,"C",58.9,51.1,0,0,0,0,0.048,0,1,0,0
"Leif Magnuson","CAL POLY",71,45.5,"C",52.5,68.5,0,0,0,0.167,0.064,1,3,0,0
"Jayden Simmons","N ALABAMA",65,45.43,"C",61.7,59.5,0.046,0,0,0.069,0.056,5,2,0,0
"Caleb Smith","FL A&M",32,45.38,"C",49.5,10.3,0,92.9,0.048,0.455,0.143,2,2,1,0
"Zachary Curtis","LAMAR",56,45.37,"C",54.5,55.2,0.018,0,0.039,0.172,0.115,0,2,1,0
"Anthony Iliano","MAINE",65,43.72,"C",51.3,67.9,0.015,0,0,0.097,0.088,0,3,0,0
"Josh Duran","MONMOUTH",65,43.71,"C",64.9,42,0.015,0,0.026,0,0.053,2,1,1,0
"Sean Tanner","ELON",66,43.6,"C",50.6,48.8,0,0,0.033,0.111,0.033,3,0,1,0
"AJ Hasson","UC DAVIS",37,43.48,"C",34.9,63.4,0.027,0,0.136,0.267,0.182,0,1,3,0
"Wilbert Phillips","SE MO ST",64,43.44,"C",54.8,56.8,0,0,0.029,0.035,0.057,1,1,0,1
"Trevor Newkirk","PORTLAND",72,43.03,"C",48.1,54.8,0,0,0.043,0.231,0.065,2,1,2,0
"Elijah Baker","ALABAMA ST",51,42.43,"C",58.2,63.3,0,0,0.031,0,0.094,0,2,0,1
"Jalen Cole","CHISTA",32,42.21,"C",43.7,54.6,0,0,0,0.333,0.087,1,2,0,0
"Jacob Katauskas","S ILLINOIS",28,41.78,"C",52.7,55.9,0,0,0,0.067,0.077,1,1,0,0
"Daniel McClees","CENT CT ST",26,41.28,"C",56,33.6,0,0,0.125,0,0.125,0,0,1,1
"Moses Umoren","SCAR STATE",37,41.12,"C",55.3,52.3,0,0,0,0,0.063,1,1,0,0
"Connor Van Tassell","STNY BROOK",45,40.81,"C",46.3,41.2,0,0,0,0.267,0.067,0,2,0,0
"Christian Wingfield","FL A&M",41,40.19,"C",53.1,0,0,96.2,0.039,0.267,0.115,2,2,1,0
"Titan Fleischmann","MONTANA ST",68,39.03,"D",52.1,47.2,0.015,0,0,0.216,0.097,1,3,0,0
"Brenden Jones","TXRG",82,38.16,"D",37.8,63.5,0,0,0,0.167,0.035,3,2,0,0
"Tyler Sulsberger","W ILLINOIS",62,38.01,"D",57.6,51.2,0.016,0,0,0.029,0.107,0,3,0,0
"David Porotesano","UC DAVIS",52,37.56,"D",47.3,37.3,0.039,0,0.03,0.158,0.061,4,1,1,0
"Collen Jackson","HAMPTON",69,37.35,"D",64.2,36.8,0.029,0,0.024,0.074,0.095,2,3,1,0
"Jay Wade","WEBER ST",73,37.23,"D",59,48.9,0,0,0.039,0.048,0.077,2,2,2,0
"Drew Dickerson","MOREHEAD",26,36.97,"D",59.4,44.2,0.077,0,0,0.231,0.231,1,3,0,0
"Nesta Crowell","SO UTAH",54,36.83,"D",59.8,30.9,0.018,0,0.074,0.111,0.148,0,2,2,0
"Sam Browder","E TENN ST",67,36.24,"D",46,31.2,0.015,0,0.028,0.258,0.083,1,2,1,0
"Samuel Petros","MERCYHURST",56,34.81,"D",41.5,37.1,0,0,0.091,0.174,0.091,1,0,1,2
"Luke Sampson","WEBER ST",73,34.72,"D",53.8,30.1,0.014,0,0.019,0.143,0.058,2,2,0,1
"Will Fitzpatrick","GARD-WEBB",76,34.01,"D",59.7,44.4,0.013,0,0.021,0.071,0.104,1,4,1,0
"Ty Williams","E TENN ST",53,33.43,"D",60.5,18.5,0.019,0,0.035,0.083,0.103,1,2,1,0
"La-Quann Gaddy","CENT CT ST",55,33.09,"D",50.8,43.3,0,0,0.111,0.105,0.139,1,1,3,1
"Isaac Rue","N ALABAMA",31,32.88,"D",59,0,0.032,0,0,0.333,0.091,3,2,0,0
"Trinidad Wilson","SOUTHERN U",40,32.1,"D",64,29.5,0.025,0,0,0.056,0.136,1,3,0,0
"James Durand","W ILLINOIS",64,31.88,"D",41.7,50.4,0,0,0.035,0.2,0.138,0,3,1,0
"Daved Richardson","LIUSHAR",62,31.08,"D",53.7,20.6,0.016,0,0.036,0.088,0.107,0,2,0,1
"T'Khi Alexander","TOWSON",49,30.86,"D",48.4,44.6,0,0,0.059,0.2,0.147,1,3,2,0
"Leavy Johnson","N ALABAMA",51,30.8,"D",60,22.3,0.039,0,0.039,0.208,0.154,3,3,1,0
"Zach Corrigan","SE LA",66,30.46,"D",53.5,25,0.03,0,0.032,0.257,0.129,3,3,1,0
"Sirri Kandiyeli","SO UTAH",54,29.12,"D",51.6,27.2,0.018,0,0,0.185,0.111,2,3,0,0
"Brady O'Hara","MONMOUTH",55,28.93,"D",51.1,26.4,0,0,0,0.074,0.071,2,2,0,0
"Rambo Mageo","UTAHTC",73,28.27,"D",61.7,18.5,0.055,0,0,0.161,0.071,8,3,0,0
"Tyson Miller","NORFOLK",52,27.89,"D",51.8,12.6,0.019,90.6,0.031,0.15,0.156,4,4,0,1
"James Aldrich","WAGNER",42,26.93,"D",42.1,13.5,0,0,0,0.385,0.103,1,3,0,0
"Blake Bradford","GARD-WEBB",76,26.66,"D",56,32.1,0.013,0,0.021,0.143,0.125,1,5,1,0
"Cole Greenwell","STETSON",67,24.65,"D",56.3,30.3,0,0,0.063,0.053,0.125,1,3,2,1
"Noah Juliussen","MOREHEAD",52,23.22,"D",36.6,62.6,0.019,0,0,0.222,0.176,1,6,0,0
"Abe Hilbert","MOREHEAD",50,23.11,"D",52.3,34.2,0.02,0,0.035,0.143,0.172,2,4,0,1
"Malik Wilson","WAGNER",42,23.1,"D",43.8,24.9,0,0,0,0.231,0.103,3,3,0,0
"Jaylen Ackerman","GRAMBLING",34,22.71,"D",74.3,8,0.059,0,0,0,0.217,0,5,0,0
"Zion Rogers","HOWARD",47,20.89,"D",42.2,17.9,0,0,0.074,0.35,0.185,2,3,2,0
"Wyatt Scarritt","FORDHAM",44,18.8,"F",52.9,3.4,0.023,0,0.1,0.25,0.2,5,2,1,1
"Armon Bethea","GRAMBLING",31,12.66,"F",55.6,0,0,0,0.05,0.091,0.2,2,3,1,0
"Will Smith","FORDHAM",51,10.58,"F",53.8,0,0.02,0,0,0.259,0.167,6,4,0,0
"Matt McElwain","WM & MARY",46,9.54,"F",64.3,0,0.022,0,0,0,0.194,1,6,0,0
"Charles Allen III","STNY BROOK",54,0,"F",53.4,0,0,0,0.077,0.067,0.231,1,6,2,1
