"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level"
"Adam Jones","MONTANA ST",62,65.84,"B",23,"HB",2026,"Big Sky",61.4,7,26,91,3.5,1,6,0,0,2,33,1.3,58,2.2,0,0.231,0.08,2,0.154,"MONTANA ST",23,"Big Sky",60.7,2,25,0,4,3,21,7,0,1,0,0,0,3,1,0,33,11,6,0,0.84,1.5,1,0,"100%","0.00%","25.00%",86.5,0,0.16,0,"75.00%","Big Sky","FCS"
"Kamerin McDowell-Moore","ELON",40,64.38,"B",22,"HB",2026,"CAA",77.6,15,23,117,5.1,0,6,0,0,8,57,2.5,60,2.6,0,0.261,0.35,4,0.043,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"CAA","FCS"
"Rashon Brown","BETH COOK",37,63.67,"B",7,"HB",2026,"SWAC",72.1,7,12,56,4.7,3,5,0,0,5,2,0.2,54,4.5,0,0.417,0.42,2,0.167,"BETH COOK",7,"SWAC",54.7,2,19,0,1,1,-3,-3,0,0,0,0,0,1,0,0,2,2,0,0,-0.16,-5,0,0,"100%","0.00%","0.00%",79.2,0.053,0.053,0,"100%","SWAC","FCS"
"Danny Shaban","COLGATE",60,63.17,"B",21,"HB",2026,"Patriot",61.3,11,21,87,4.1,0,4,0,1,7,30,1.4,57,2.7,0,0.191,0.33,1,0.048,"COLGATE",21,"Patriot",49.1,4,29,2,4,3,12,4,0,1,1,0,0,4,1,1,15,5,3,1,0.41,0.5,0,1,"75.00%","25.00%","25.00%",77.1,0.035,0.138,0,"75.00%","Patriot","FCS"
"Brayden Latham","E KENTUCKY",50,60.98,"B",14,"HB",2026,"United Athletic",59.4,7,21,67,3.2,1,4,0,0,3,17,0.8,50,2.4,0,0.191,0.14,0,0.048,"E KENTUCKY",14,"United Athletic",69.7,3,16,0,3,2,23,11.5,0,1,0,0,0,2,0,0,22,11,8,0,1.44,11.7,0,1,"100%","0.00%","0.00%",89.6,0.063,0.188,0.333,"66.70%","United Athletic","FCS"
"James Basinger","S DAK ST",12,60.8,"B",23,"HB",2026,"Missouri Valley",61.7,2,6,88,14.7,2,2,0,0,3,13,2.2,75,12.5,0,0.333,0.5,2,0.167,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Missouri Valley","FCS"
"Jeremiah Coney","STNY BROOK",33,59.62,"C",4,"HB",2026,"CAA",74.2,4,9,89,9.9,2,4,0,0,1,75,8.3,14,1.6,0,0.444,0.11,1,0,"STNY BROOK",4,"CAA",52.9,0,17,1,1,1,1,1,0,0,0,0,0,1,0,0,2,2,1,0,0.06,-1,0,1,"100%","0.00%","0.00%",79.2,0,0.059,0,"100%","CAA","FCS"
"Omiri Wiggins","MCNEESE",54,59.45,"C",0,"HB",2026,"Southland",74.4,10,15,81,5.4,1,6,0,0,2,36,2.4,45,3,0,0.4,0.13,2,0.067,"MCNEESE",0,"Southland",48.5,3,21,0,4,3,13,4.3,0,1,1,0,0,4,0,0,19,6.3,1,0,0.62,-1.5,0,1,"75.00%","25.00%","0.00%",78.1,0,0.191,0,"75.00%","Southland","FCS"
"Misa Paiau","CAL POLY",29,58.54,"C",0,"HB",2026,"Big Sky",85,6,8,37,4.6,1,4,0,0,4,2,0.3,35,4.4,0,0.5,0.5,1,0.125,"CAL POLY",0,"Big Sky",84.2,1,19,1,1,1,8,8,0,0,0,0,0,1,0,0,6,6,6,0,0.42,2,0,1,"100%","0.00%","0.00%",100,0.053,0.053,0,"100%","Big Sky","FCS"
"Brady Hensley","E KENTUCKY",21,58.01,"C",42,"HB",2026,"United Athletic",73.9,3,7,119,17,1,2,0,0,1,28,4,91,13,0,0.286,0.14,2,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"United Athletic","FCS"
"Jaylen Jenkins","STF AUSTIN",41,57.47,"C",6,"HB",2026,"Southland",72,7,14,97,6.9,0,4,0,0,3,43,3.1,54,3.9,0,0.286,0.21,4,0.071,"STF AUSTIN",6,"Southland",54.1,0,21,0,2,1,4,4,0,0,0,0,0,1,0,0,7,7,2,0,0.19,-0.5,0,0,"100%","0.00%","0.00%",56.3,0,0.095,0,"50.00%","Southland","FCS"
"Matt Lawson","N DAKOTA",45,57.37,"C",4,"HB",2026,"Missouri Valley",69.5,6,13,75,5.8,1,5,0,0,4,45,3.5,30,2.3,0,0.385,0.31,3,0,"N DAKOTA",4,"Missouri Valley",55.6,0,24,0,1,1,5,5,0,0,0,0,0,1,0,0,7,7,0,0,0.21,-2,0,0,"100%","0.00%","0.00%",87.5,0,0.042,0,"100%","Missouri Valley","FCS"
"CJ Hester","STNY BROOK",35,57.24,"C",33,"HB",2026,"CAA",79.7,4,10,85,8.5,0,3,0,0,4,13,1.3,72,7.2,0,0.3,0.4,3,0,"STNY BROOK",33,"CAA",44.7,1,18,0,3,2,10,5,0,0,1,0,0,3,0,0,10,5,0,0,0.56,0,0,0,"66.70%","33.30%","0.00%",71.5,0,0.167,0,"66.70%","CAA","FCS"
"Ace Chatman","UTAHTC",49,56.84,"C",0,"HB",2026,"Big Sky",72.5,12,21,95,4.5,0,5,0,0,2,38,1.8,57,2.7,0,0.238,0.1,1,0.143,"UTAHTC",0,"Big Sky",40.9,4,20,0,5,3,19,6.3,0,0,1,0,0,4,0,0,33,11,13,0,0.95,0.8,0,0,"75.00%","25.00%","0.00%",67.9,0,0.25,0.2,"60.00%","Big Sky","FCS"
"Jojo Uga","LAMAR",34,56.68,"C",0,"HB",2026,"Southland",73.4,7,15,104,6.9,0,3,0,0,6,19,1.3,85,5.7,0,0.2,0.4,3,0.133,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southland","FCS"
"Chandler Chapman","S ILLINOIS",48,56.51,"C",8,"HB",2026,"Missouri Valley",59.9,8,18,73,4.1,0,3,2,1,5,-1,-0.1,74,4.1,0,0.167,0.28,2,0.056,"S ILLINOIS",8,"Missouri Valley",60.8,5,23,0,3,2,8,4,0,0,0,0,0,2,1,0,9,4.5,1,0,0.35,2.7,0,1,"100%","0.00%","33.30%",70.1,0.043,0.13,0,"66.70%","Missouri Valley","FCS"
"Deonte Dean","ABILENE CH",44,54.89,"C",3,"HB",2026,"United Athletic",66,6,14,40,2.9,0,1,0,0,6,-16,-1.1,56,4,0,0.071,0.43,2,0.143,"ABILENE CH",3,"United Athletic",68.5,2,18,0,4,3,22,7.3,0,1,0,0,0,4,1,0,33,11,5,0,1.22,2.5,0,1,"75.00%","0.00%","25.00%",87.5,0,0.222,0.25,"75.00%","United Athletic","FCS"
"Chris Franklin","TENN MARTN",35,54.84,"C",2,"HB",2026,"Big South - OVC Football Association",67.4,6,12,85,7.1,0,5,0,0,3,53,4.4,32,2.7,0,0.417,0.25,3,0,"TENN MARTN",2,"Big South - OVC Football Association",56.9,1,15,0,1,1,4,4,0,0,0,0,0,1,0,0,5,5,1,0,0.27,-1,0,0,"100%","0.00%","0.00%",83.3,0.067,0.067,0,"100%","Big South - OVC Football Association","FCS"
"Jah'Kei Chavis","WM & MARY",20,53.82,"C",1,"HB",2026,"Patriot",77.3,6,10,51,5.1,2,6,0,0,6,10,1,41,4.1,0,0.6,0.6,1,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Patriot","FCS"
"Shaun Boykins Jr.","DELWARE ST",28,53.47,"C",9,"HB",2026,"MEAC",72.3,6,9,62,6.9,2,4,0,0,4,23,2.6,39,4.3,0,0.444,0.44,3,0.111,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"MEAC","FCS"
"Mason Pickett-Hicks","SCAR STATE",25,52.67,"C",1,"HB",2026,"MEAC",68.6,6,10,112,11.2,0,3,1,0,3,48,4.8,64,6.4,0,0.3,0.3,3,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"MEAC","FCS"
"Kenny Smith Jr.","MONMOUTH",48,50.25,"C",6,"HB",2026,"CAA",64,6,18,69,3.8,0,4,0,0,2,28,1.6,41,2.3,0,0.222,0.11,1,0.056,"MONMOUTH",6,"CAA",54.6,4,26,0,6,5,33,6.6,0,2,1,0,0,6,0,0,38,7.6,14,0,1.27,-0.8,1,0,"83.30%","16.70%","0.00%",89.6,0,0.231,0,"83.30%","CAA","FCS"
"Gerald Modest Jr.","WOFFORD",41,50.09,"C",6,"HB",2026,"Southern",65.5,6,14,56,4,1,3,0,0,3,25,1.8,31,2.2,0,0.214,0.21,2,0,"WOFFORD",6,"Southern",60,2,25,0,1,1,18,18,0,1,0,0,0,1,0,0,19,19,3,0,0.72,-1,1,0,"100%","0.00%","0.00%",118.8,0,0.04,0,"100%","Southern","FCS"
"Delon Thompson","PORTLAND",49,49.95,"C",24,"HB",2026,"Big Sky",68.1,7,14,58,4.1,0,4,0,0,4,14,1,44,3.1,0,0.286,0.29,3,0,"PORTLAND",24,"Big Sky",59,2,19,0,2,1,13,13,0,1,0,0,0,1,1,0,16,16,5,0,0.68,-3.5,0,0,"100%","0.00%","50.00%",70.8,0,0.105,0,"50.00%","Big Sky","FCS"
"Troy Flowers","STETSON",43,49.69,"C",8,"HB",2026,"Pioneer",75.4,9,12,53,4.4,1,3,0,0,4,20,1.7,33,2.8,0,0.25,0.33,1,0,"STETSON",8,"Pioneer",56.7,2,27,0,2,1,9,9,0,1,0,0,0,1,0,0,15,15,0,0,0.33,2,0,0,"100%","0.00%","0.00%",62.5,0,0.074,0,"50.00%","Pioneer","FCS"
"Justin Guin","N COLORADO",50,49.49,"C",6,"HB",2026,"Big Sky",62.2,4,17,89,5.2,0,3,0,0,1,58,3.4,31,1.8,0,0.176,0.06,2,0.235,"N COLORADO",6,"Big Sky",57.3,2,17,0,2,1,2,2,0,0,0,0,0,1,0,0,2,2,0,0,0.12,0,0,0,"100%","0.00%","0.00%",56.3,0,0.118,0,"50.00%","Big Sky","FCS"
"Shane Eason","STHLSK",41,48.96,"C",20,"HB",2026,"Northeast",59.5,2,6,20,3.3,1,2,0,0,0,10,1.7,10,1.7,0,0.333,0,0,0,"STHLSK",20,"Northeast",83.3,5,29,0,5,4,77,19.3,0,3,0,0,0,4,1,1,61,15.3,33,1,2.66,4.2,2,1,"100%","0.00%","20.00%",118.8,0.069,0.172,0.2,"80.00%","Northeast","FCS"
"Shane Lee","NICHOLLS",51,48.92,"C",4,"HB",2026,"Southland",65.4,5,12,42,3.5,0,3,0,0,3,3,0.3,39,3.3,0,0.25,0.25,1,0.083,"NICHOLLS",4,"Southland",60.3,2,26,0,1,1,10,10,1,1,0,0,0,1,0,0,11,11,7,0,0.38,-1,0,2,"100%","0.00%","0.00%",147.9,0,0.039,0,"100%","Southland","FCS"
"Elijah Jennings","MONMOUTH",37,48.67,"C",3,"HB",2026,"CAA",62.7,11,19,79,4.2,0,4,1,1,3,22,1.2,57,3,0,0.211,0.16,1,0.053,"MONMOUTH",3,"CAA",39,1,15,0,3,2,11,5.5,0,0,1,0,0,3,0,0,9,4.5,2,0,0.73,-0.3,0,0,"66.70%","33.30%","0.00%",72.9,0,0.2,0,"66.70%","CAA","FCS"
"Zay Davis","NWSTATE",31,48.27,"C",7,"HB",2026,"Southland",65.6,6,11,22,2,0,1,0,0,1,-4,-0.4,26,2.4,0,0.091,0.09,0,0.091,"NWSTATE",7,"Southland",70.8,2,18,0,3,2,67,33.5,1,2,0,0,0,2,0,0,69,34.5,1,0,3.72,11,1,0,"100%","0.00%","0.00%",149.3,0,0.167,0.333,"66.70%","Southland","FCS"
"Jaden Green","CAL POLY",43,48.03,"C",1,"HB",2026,"Big Sky",70.2,4,11,57,5.2,0,3,0,0,1,25,2.3,32,2.9,0,0.273,0.09,2,0,"CAL POLY",1,"Big Sky",59.1,2,26,0,4,3,15,5,1,2,0,0,0,3,0,0,16,5.3,2,0,0.58,-1,1,1,"100%","0.00%","0.00%",119.8,0,0.154,0,"75.00%","Big Sky","FCS"
"Tytan Mason","IDAHO ST",16,47.82,"C",20,"HB",2026,"Big Sky",74.1,5,6,60,10,1,3,0,0,2,39,6.5,21,3.5,0,0.5,0.33,3,0.167,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Big Sky","FCS"
"Adam Criter","SAN DIEGO",35,47.47,"C",4,"HB",2026,"Pioneer",66.6,6,16,61,3.8,0,3,0,0,4,13,0.8,48,3,0,0.188,0.25,1,0,"SAN DIEGO",4,"Pioneer",60.7,3,16,0,3,2,7,3.5,0,0,0,0,0,2,0,0,8,4,7,0,0.44,-1.3,0,1,"100%","0.00%","0.00%",70.1,0,0.188,0,"66.70%","Pioneer","FCS"
"Charles Kellom","E ILLINOIS",2,47.05,"C",4,"HB",2026,"Big South - OVC Football Association",54.6,0,14,106,7.6,1,5,0,0,0,-3,-0.2,109,7.8,0,0.357,0,1,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Big South - OVC Football Association","FCS"
"Jamarie Hostzclaw","ALABAMA ST",31,46.87,"C",2,"HB",2026,"SWAC",73.3,5,12,80,6.7,1,2,0,0,2,44,3.7,36,3,0,0.167,0.17,2,0.25,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"SWAC","FCS"
"Ben Croasdale","FURMAN",37,44.99,"C",25,"HB",2026,"Southern",82.3,4,6,74,12.3,1,2,0,0,1,50,8.3,24,4,0,0.333,0.17,2,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southern","FCS"
"EJ Oakmon","TXAMEA",31,44.86,"C",6,"HB",2026,"Southland",73.4,10,18,77,4.3,0,4,0,0,3,13,0.7,64,3.6,0,0.222,0.17,2,0.167,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southland","FCS"
"Hayden Drinkard","HOUCHR",NA,44.86,"C",30,"HB",2026,"Southland",0,0,12,98,8.2,3,4,0,0,0,98,8.2,0,0,0,0.333,0,4,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southland","FCS"
"Charles Langama","N DAKOTA",18,44.65,"C",6,"HB",2026,"Missouri Valley",66,4,6,83,13.8,0,3,0,0,1,66,11,17,2.8,0,0.5,0.17,3,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Missouri Valley","FCS"
"Jordon Hamilton","TXAMEA",12,44.6,"C",21,"HB",2026,"Southland",79.3,5,8,61,7.6,1,3,0,0,3,17,2.1,44,5.5,0,0.375,0.38,2,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southland","FCS"
"Ness Davis","DUQUESNE",20,44.48,"C",32,"HB",2026,"Northeast",59.8,6,11,88,8,0,2,1,0,4,31,2.8,57,5.2,0,0.182,0.36,3,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Northeast","FCS"
"Athean Renfro Jr.","TEXAS STHN",38,44.21,"C",28,"HB",2026,"SWAC",69.1,6,14,45,3.2,1,3,0,0,4,16,1.1,29,2.1,0,0.214,0.29,2,0,"TEXAS STHN",28,"SWAC",57.8,2,16,0,2,1,1,1,0,0,0,0,0,1,0,0,4,4,1,0,0.06,-2.5,0,0,"100%","0.00%","0.00%",56.3,0,0.125,0,"50.00%","SWAC","FCS"
"BJ Barrow","RHODE ISLD",39,43.96,"C",2,"HB",2026,"CAA",58.9,3,15,48,3.2,0,2,0,0,1,20,1.3,28,1.9,0,0.133,0.07,0,0.2,"RHODE ISLD",2,"CAA",64.6,2,19,0,3,3,22,7.3,0,1,0,0,0,3,0,0,19,6.3,2,0,1.16,1,0,1,"100%","0.00%","0.00%",97.2,0.053,0.158,0,"100%","CAA","FCS"
"Joey Koch","ALBANY",29,42.79,"C",22,"HB",2026,"CAA",66.5,3,10,32,3.2,0,2,0,0,0,12,1.2,20,2,0,0.2,0,0,0,"ALBANY",22,"CAA",78.2,3,18,0,5,4,43,10.8,1,3,0,0,0,4,0,0,36,9,8,0,2.39,2,1,0,"100%","0.00%","0.00%",142.1,0,0.278,0,"80.00%","CAA","FCS"
"Major McBride","TXAMEA",9,42.43,"C",23,"HB",2026,"Southland",73.5,4,6,29,4.8,2,3,0,0,3,1,0.2,28,4.7,0,0.5,0.5,1,0.167,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southland","FCS"
"Jayden Jenkins","DELWARE ST",26,42.41,"C",4,"HB",2026,"MEAC",78.6,7,9,69,7.7,0,3,0,0,1,41,4.6,28,3.1,0,0.333,0.11,1,0.333,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"MEAC","FCS"
"Trey Tremba","LEHIGH",12,42.16,"C",22,"HB",2026,"Patriot",74.8,5,10,63,6.3,0,4,0,0,3,18,1.8,45,4.5,0,0.4,0.3,4,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Patriot","FCS"
"Warrick Stephenson","RICHMOND",33,40.42,"C",36,"HB",2026,"Patriot",67.8,7,14,58,4.1,0,2,0,0,4,10,0.7,48,3.4,0,0.143,0.29,1,0.071,"RICHMOND",36,"Patriot",53.3,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Patriot","FCS"
"Julian Milligan","SCAR STATE",14,39.77,"D",21,"HB",2026,"MEAC",74.3,6,10,44,4.4,1,4,0,0,4,19,1.9,25,2.5,0,0.4,0.4,1,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"MEAC","FCS"
"Preston Alford","STF AUSTIN",25,39.32,"D",28,"HB",2026,"Southland",67.5,7,13,73,5.6,0,3,0,0,2,28,2.1,45,3.5,0,0.231,0.15,3,0.077,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southland","FCS"
"Myles Thomason","NEW HAMP",34,39.07,"D",23,"HB",2026,"CAA",55,3,15,37,2.5,0,1,0,0,4,11,0.7,26,1.7,0,0.067,0.27,1,0,"NEW HAMP",23,"CAA",62.2,1,15,0,1,1,12,12,0,1,0,0,0,1,0,0,10,10,3,0,0.8,2,0,0,"100%","0.00%","0.00%",116.7,0,0.067,0,"100%","CAA","FCS"
"Gavin Garcia","CITADEL",NA,38.7,"D",5,"HB",2026,"Southern",0,0,23,107,4.7,1,4,0,0,0,39,1.7,68,3,0,0.174,0,3,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southern","FCS"
"Khyair Spain","SE MO ST",30,38.7,"D",0,"HB",2026,"Big South - OVC Football Association",54.3,3,13,38,2.9,0,2,0,0,4,21,1.6,17,1.3,0,0.154,0.31,1,0,"SE MO ST",0,"Big South - OVC Football Association",57.9,1,17,1,2,1,13,13,0,1,0,0,0,1,0,0,14,14,1,0,0.76,-3,0,1,"100%","0.00%","0.00%",70.8,0.059,0.118,0,"50.00%","Big South - OVC Football Association","FCS"
