"Name","Team","Season","Position","Conference","Conference_Level","Offensive.Snaps","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Composite_Score","Player_Grade"
"Austyn Modrzewski","S DAKOTA",2026,"QB","Missouri Valley","FCS",59,68.5,26,25,16,"64.00%","77.30%",250,10,"40.80%",3,1,0,2.83,2,1,2,"7.70%",2,"8.00%",1,120,11.1,"44.00%","44.00%","60.40%",10,"50.00%",0,"0","0","0","0","0",70.9,15,5,0,1,1,0,1,-3.3,8.3,1,"33.30%",0.33,1,"0.00%",67.24,"B"
"Kenny Lueth","N COLORADO",2026,"QB","Big Sky","FCS",60,77.1,27,25,13,"52.00%","62.50%",202,8.1,"27.70%",1,2,2,2.57,1,0,2,"7.40%",5,"20.00%",2,59.1,13.5,"44.00%","52.00%","72.30%",9,"11.10%",1,"0","100%","0","0","0",63.1,35,5,0,2,0,0,0,2.9,2.1,0,"28.60%",0,1,"0.00%",65.83,"B"
"Braylen Ragland","SE MO ST",2026,"QB","Big South - OVC Football Association","FCS",78,61,50,45,20,"44.40%","50.00%",316,7,"45.30%",1,4,3,2.81,1,4,2,"4.00%",5,"11.10%",1,38.8,12.1,"46.70%","46.70%","54.80%",15,"12.00%",0,"0","0","0","0","0",61.4,7,1.8,0,0,0,0,0,-1.3,3,2,"0.00%",0,0,"0.00%",65.46,"B"
"Rowan Keefe","VALPO",2026,"QB","Pioneer","FCS",62,58.3,43,39,21,"53.80%","57.90%",263,6.7,"39.50%",1,2,1,2.76,0,7,2,"4.70%",3,"7.70%",1,62.2,11.6,"38.50%","59.00%","63.50%",12,"18.60%",0,"0","0","0","0","0",50.6,40,8,1,2,0,0,1,1.6,6.4,3,"40.00%",0.2,1,"0.00%",63.9,"B"
"Pat McQuaide","VILLANOVA",2026,"QB","Patriot","FCS",52,77.8,35,32,18,"56.30%","60.00%",166,5.2,"62.60%",1,0,1,1.98,2,4,0,"0.00%",3,"9.40%",0,81,7.8,"65.60%","28.10%","37.40%",10,"14.30%",28,"7.10%","17.90%","28.60%","14.30%","53.60%",52.8,8,4,0,0,0,0,0,1,3,2,"0.00%",0,0,"0.00%",63.59,"B"
"Kai Colon","ALBANY",2026,"QB","CAA","FCS",46,78,21,19,12,"63.20%","70.60%",181,9.5,"50.80%",3,0,1,3.05,1,3,1,"4.80%",1,"5.30%",0,134,11,"36.80%","52.60%","49.20%",10,"9.50%",0,"0","0","0","0","0",57,2,2,0,0,0,0,0,1,1,1,"0.00%",0,0,"0.00%",63.22,"B"
"Kaden Anderson","TARLETON",2026,"QB","United Athletic","FCS",73,81.2,54,50,29,"58.00%","66.00%",371,7.4,"27.80%",0,0,2,2.76,1,6,2,"3.70%",2,"4.00%",2,81.3,12.7,"50.00%","44.00%","74.10%",20,"51.80%",0,"0","0","0","0","0",59.7,16,5.3,1,2,0,0,0,1,0.3,2,"66.70%",0,1,"0.00%",60.71,"B"
"Gabe Downing","PORTLAND",2026,"QB","Big Sky","FCS",71,59.8,44,42,23,"54.80%","64.90%",233,5.5,"28.30%",3,0,1,2.25,0,5,2,"4.50%",1,"2.40%",1,94.6,12.7,"50.00%","38.10%","74.30%",14,"18.20%",0,"0","0","0","0","0",62.4,33,8.3,0,2,0,0,0,4.5,0.3,1,"50.00%",0,2,"0.00%",59.29,"C"
"Thomas Von Grote","STETSON",2026,"QB","Pioneer","FCS",58,60.9,42,34,17,"50.00%","53.10%",204,6,"54.40%",1,2,2,2.12,0,3,2,"4.80%",3,"8.80%",0,54,8.6,"47.10%","47.10%","45.60%",11,"14.30%",0,"0","0","0","0","0",67.3,49,9.8,0,1,0,0,1,6,3.8,5,"20.00%",0.2,2,"0.00%",58.61,"C"
"Nate Bell","E WASHGTON",2026,"QB","Big Sky","FCS",70,64.6,46,37,21,"56.80%","62.90%",219,5.9,"35.60%",2,1,6,3.28,2,2,0,"0.00%",2,"5.40%",1,80.8,10.7,"46.00%","48.60%","71.20%",11,"15.20%",0,"0","0","0","0","0",68.1,78,7.1,0,4,0,0,3,2.7,4.4,3,"36.40%",0.27,2,"0.00%",58.44,"C"
"Nate Dahle","WEBER ST",2026,"QB","Big Sky","FCS",73,60.4,52,48,20,"41.70%","50.00%",251,5.2,"37.00%",3,1,3,2.66,1,5,2,"3.90%",1,"2.10%",3,70.7,9.4,"39.60%","56.30%","66.50%",15,"7.70%",0,"0","0","0","0","0",68.2,28,9.3,0,2,0,0,1,0.7,8.7,1,"66.70%",0.33,2,"0.00%",58.38,"C"
"Jacob Tiberi","CHISTA",2026,"QB","IND (FCS)","FCS",20,91.2,14,12,10,"83.30%","91.70%",111,9.3,"49.50%",1,0,1,2.43,0,0,0,"0.00%",2,"16.70%",1,133,7.8,"75.00%","25.00%","50.40%",4,"14.30%",0,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.63,"C"
"Gavin Rutherford","STF AUSTIN",2026,"QB","Southland","FCS",66,65.4,36,33,17,"51.50%","59.40%",243,7.4,"71.60%",2,0,1,2.74,1,3,1,"2.80%",1,"3.00%",2,95.9,8.8,"48.50%","48.50%","30.90%",9,"2.80%",0,"0","0","0","0","0",67.9,47,9.4,1,2,0,0,1,8.8,0.4,2,"40.00%",0.2,2,"0.00%",55.29,"C"
"Devin Lippold","MCNEESE",2026,"QB","Southland","FCS",77,80.5,46,45,27,"60.00%","71.40%",286,6.4,"58.70%",2,0,1,2.44,1,5,0,"0.00%",0,"0.00%",3,93.4,8.6,"46.70%","46.70%","41.60%",13,"21.70%",0,"0","0","0","0","0",59.6,65,7.2,0,2,0,0,0,2.3,4.9,0,"22.20%",0,2,"0.00%",54.85,"C"
"Ean Rodrigue","NICHOLLS",2026,"QB","Southland","FCS",76,61.5,38,37,21,"56.80%","68.60%",235,6.3,"66.80%",4,1,1,2.31,0,4,1,"2.60%",0,"0.00%",3,100.6,9,"59.50%","35.10%","35.30%",15,"23.70%",0,"0","0","0","0","0",59.2,32,2.1,0,2,0,0,2,0.9,1.3,0,"13.30%",0.13,1,"0.00%",54.54,"C"
"Cameron Edge","MORGAN ST",2026,"QB","MEAC","FCS",NA,NA,20,20,17,"85.00%","89.50%",281,14.1,"58.70%",4,0,0,0,0,0,0,"0.00%",0,"0.00%",0,158.3,6.2,"60.00%","30.00%","40.90%",13,"0.00%",0,"0","0","0","0","0",NA,0,0,0,0,0,0,0,-1,1,0,"0.00%",0,0,"0.00%",53.92,"C"
"Keali'i Ah Yat","MONTANA",2026,"QB","Big Sky","FCS",61,80.3,41,38,26,"68.40%","73.70%",253,6.7,"51.80%",1,0,1,2.61,0,3,0,"0.00%",1,"2.60%",2,95.6,6.5,"60.50%","39.50%","48.20%",12,"29.30%",0,"0","0","0","0","0",67.7,16,5.3,0,1,0,0,0,-0.7,1.7,2,"33.30%",0,1,"0.00%",53.01,"C"
"Donovyn Omolo","CENT ARK",2026,"QB","United Athletic","FCS",41,65,17,15,11,"73.30%","85.70%",133,8.9,"61.70%",2,0,1,2.76,0,0,0,"0.00%",1,"6.70%",1,139.7,4.7,"66.70%","26.70%","39.90%",5,"76.50%",0,"0","0","0","0","0",72.3,39,9.8,1,3,0,0,0,5.3,4.5,1,"75.00%",0,2,"0.00%",52.55,"C"
"Keely Watson","SCAR STATE",2026,"QB","MEAC","FCS",46,68.4,21,21,15,"71.40%","76.20%",186,8.9,"49.50%",2,0,0,2.15,0,1,0,"0.00%",1,"4.80%",1,130.3,6.4,"57.10%","42.90%","50.50%",10,"28.60%",0,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.41,"C"
"Cole LaCrue","E ILLINOIS",2026,"QB","Big South - OVC Football Association","FCS",5,55.7,49,36,21,"58.30%","58.30%",296,8.2,"58.10%",3,0,3,0,0,0,0,"0.00%",0,"0.00%",0,112.7,8.4,"58.30%","41.70%","42.90%",17,"0.00%",0,"0","0","0","0","0",NA,101,9.2,1,5,0,0,0,4.9,3.1,10,"45.50%",0,5,"0.00%",49.61,"C"
"Bronson Barben","UTAHTC",2026,"QB","Big Sky","FCS",73,61.5,42,39,23,"59.00%","68.40%",318,8.2,"47.20%",1,0,3,2.41,0,2,1,"2.40%",1,"2.60%",3,93.8,10.2,"51.30%","46.20%","52.80%",13,"28.60%",0,"0","0","0","0","0",69.1,12,3,1,2,0,0,2,1.8,1.3,0,"50.00%",0.5,1,"0.00%",47.69,"C"
"Joshua Brown","MS VLY ST",2026,"QB","SWAC","FCS",NA,NA,26,23,14,"60.90%","63.60%",235,10.2,"52.30%",3,1,1,0,0,0,0,"0.00%",0,"0.00%",0,116.8,12.9,"43.50%","52.20%","47.70%",14,"0.00%",0,"0","0","0","0","0",NA,54,5.4,0,2,0,0,0,3.4,2,2,"20.00%",0,2,"0.00%",47.43,"C"
"Elijah Owens","INDIANA ST",2026,"QB","Missouri Valley","FCS",NA,NA,46,39,22,"56.40%","61.10%",288,7.4,"44.40%",3,3,3,0,1,0,0,"0.00%",0,"0.00%",0,73.5,12.1,"38.50%","53.80%","55.60%",19,"0.00%",0,"0","0","0","0","0",NA,111,6.5,2,5,0,0,0,3.6,2.9,4,"29.40%",0,3,"0.00%",47.27,"C"
"Cutter Stewart","HOUCHR",2026,"QB","Southland","FCS",NA,NA,11,11,5,"45.50%","45.50%",156,14.2,"0.00%",3,0,0,0,0,0,0,"0.00%",0,"0.00%",0,131.6,0,"0.00%","0.00%","0.00%",5,"0.00%",0,"0","0","0","0","0",NA,27,27,0,1,0,0,0,27,0,0,"100%",0,1,"0.00%",47.1,"C"
"Gage Roy","ILL STATE",2026,"QB","Missouri Valley","FCS",63,84.1,28,25,21,"84.00%","84.00%",147,5.9,"35.40%",2,0,2,2.86,0,1,1,"3.60%",0,"0.00%",0,117.8,6.8,"52.00%","48.00%","66.00%",10,"21.40%",0,"0","0","0","0","0",53.9,-8,-2,0,0,0,0,0,-2.3,0.3,1,"0.00%",0,0,"0.00%",46.45,"C"
"Kennedy McGill","W ILLINOIS",2026,"QB","Big South - OVC Football Association","FCS",60,74.6,27,23,14,"60.90%","79.00%",139,6,"65.50%",0,0,0,2.83,1,2,0,"0.00%",1,"4.30%",1,78,5.2,"47.80%","34.80%","34.50%",5,"25.90%",20,"15.00%","30.00%","20.00%","15.00%","50.00%",63.5,88,4.9,0,4,0,0,0,1.2,3.4,4,"22.20%",0,3,"0.00%",45.81,"C"
"Cornelious Brown IV","ALAB A&M",2026,"QB","SWAC","FCS",NA,NA,43,41,24,"58.50%","60.00%",326,8,"55.50%",3,1,2,0,0,0,0,"0.00%",0,"0.00%",0,98.2,8.7,"58.50%","39.00%","44.50%",13,"0.00%",0,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8,"C"
"Ui Ale","DELWARE ST",2026,"QB","MEAC","FCS",39,76,20,20,15,"75.00%","84.20%",167,8.3,"49.10%",0,1,0,2.27,0,1,1,"5.00%",1,"5.00%",1,78.5,7.6,"60.00%","35.00%","54.50%",8,"20.00%",0,"0","0","0","0","0",65.7,15,3.8,1,3,0,0,1,1.5,2.3,0,"75.00%",0.25,1,"0.00%",44.37,"C"
"Anthony Grigsby Jr.","CAL POLY",2026,"QB","Big Sky","FCS",71,63,47,41,24,"58.50%","61.00%",249,6.1,"53.80%",1,2,4,3,0,4,1,"2.10%",1,"2.40%",1,64,9.6,"53.70%","46.30%","46.20%",15,"25.50%",0,"0","0","0","0","0",60.6,23,3.8,0,1,0,0,1,1.8,0.8,2,"16.70%",0.17,0,"0.00%",43.79,"C"
"Kevin White","NC A&T",2026,"QB","CAA","FCS",NA,NA,57,47,24,"51.10%","55.80%",283,6,"31.40%",3,2,3,0,0,0,0,"0.00%",0,"0.00%",0,73.3,11.3,"40.40%","51.10%","73.50%",14,"0.00%",0,"0","0","0","0","0",NA,43,3.6,0,2,0,0,0,-1.2,2.8,7,"16.70%",0,0,"0.00%",43.11,"C"
"Tyler Budge","RHODE ISLD",2026,"QB","CAA","FCS",71,52.2,35,31,15,"48.40%","56.70%",178,5.7,"48.30%",2,1,1,2.65,0,6,3,"8.60%",1,"3.20%",2,74.4,8.1,"38.70%","58.10%","53.40%",14,"25.70%",0,"0","0","0","0","0",52.8,41,3.7,0,0,0,0,0,1.2,1.9,3,"0.00%",0,1,"0.00%",43.09,"C"
"Garrison Davis","ARKAPB",2026,"QB","SWAC","FCS",NA,NA,27,21,10,"47.60%","47.60%",140,6.7,"10.00%",3,1,3,0,0,0,0,"0.00%",0,"0.00%",0,89.3,14.3,"23.80%","33.30%","72.10%",6,"0.00%",0,"0","0","0","0","0",NA,72,9,0,5,0,0,0,8,0.3,2,"62.50%",0,3,"0.00%",42.12,"C"
"Andrew Body","ALABAMA ST",2026,"QB","SWAC","FCS",51,60.4,33,21,14,"66.70%","79.00%",100,4.8,"47.00%",1,0,4,3.39,1,2,2,"6.10%",1,"4.80%",1,93.4,5.5,"61.90%","28.60%","53.00%",8,"39.40%",0,"0","0","0","0","0",57.1,32,3.6,0,2,0,0,5,-3.1,5.3,7,"22.20%",0.56,1,"0.00%",41.84,"C"
"Andrew Indorf","TOWSON",2026,"QB","CAA","FCS",50,71.2,35,32,16,"50.00%","61.50%",171,5.3,"26.90%",1,0,3,2.62,0,1,0,"0.00%",1,"3.10%",0,76.4,10.8,"34.40%","46.90%","76.00%",9,"20.00%",0,"0","0","0","0","0",57.1,2,1,0,0,0,0,0,0,1,0,"0.00%",0,0,"0.00%",41.49,"C"
"Nick Peipert","STTHOM",2026,"QB","Pioneer","FCS",NA,NA,33,30,18,"60.00%","64.30%",280,9.3,"38.90%",2,1,1,0,0,0,0,"0.00%",0,"0.00%",0,99.3,11.6,"43.30%","50.00%","62.10%",14,"0.00%",0,"0","0","0","0","0",NA,12,2.4,1,3,0,0,0,0.2,0,2,"60.00%",0,1,"0.00%",41.15,"C"
"Jax Leatherwood","TENN TECH",2026,"QB","Southern","FCS",NA,NA,28,22,15,"68.20%","68.20%",229,10.4,"60.70%",2,0,3,0,0,0,0,"0.00%",0,"0.00%",0,132.6,7,"63.60%","36.40%","39.30%",11,"0.00%",0,"0","0","0","0","0",NA,35,11.7,0,2,0,0,0,3.3,0.7,3,"66.70%",0,3,"0.00%",39.37,"D"
"Riley Warzynski","DRAKE",2026,"QB","Pioneer","FCS",66,47.2,55,48,28,"58.30%","64.40%",237,4.9,"54.90%",2,3,4,2.78,2,2,4,"7.30%",1,"2.10%",1,59.1,6.7,"66.70%","27.10%","48.10%",14,"7.30%",0,"0","0","0","0","0",80.3,36,7.2,0,3,0,0,1,0.2,2.4,3,"60.00%",0.2,2,"0.00%",39.19,"D"
"Aiden McCown","LAMAR",2026,"QB","Southland","FCS",54,51,26,22,13,"59.10%","66.70%",159,7.2,"77.40%",1,0,2,2.57,0,1,0,"0.00%",1,"4.50%",1,96.6,6.7,"59.10%","36.40%","23.90%",6,"26.90%",0,"0","0","0","0","0",61.2,32,5.3,1,3,0,0,2,1.3,3.3,2,"50.00%",0.33,1,"0.00%",39.15,"D"
"David Parsons","MOREHEAD",2026,"QB","Pioneer","FCS",39,61.5,25,22,14,"63.60%","73.70%",129,5.9,"17.10%",1,0,1,2.46,1,0,1,"4.00%",1,"4.50%",0,94.7,10.9,"40.90%","45.50%","89.10%",7,"8.00%",0,"0","0","0","0","0",57.8,19,6.3,0,1,0,0,1,1,0,2,"33.30%",0.33,0,"0.00%",38.67,"D"
"Brennan Myer","BRYANT",2026,"QB","CAA","FCS",63,48,32,29,15,"51.70%","62.10%",216,7.5,"81.90%",2,0,1,2.26,0,1,1,"3.10%",1,"3.50%",3,99.2,8.5,"55.20%","44.80%","19.00%",10,"31.30%",0,"0","0","0","0","0",60.6,29,5.8,1,2,0,0,0,2.4,2.2,2,"40.00%",0,1,"0.00%",38.6,"D"
"Carson Haggard","ROB MORRIS",2026,"QB","Northeast","FCS",48,58.6,32,30,19,"63.30%","67.90%",179,6,"35.20%",1,0,1,2.37,1,1,2,"6.30%",2,"6.70%",0,90.8,10.8,"53.30%","40.00%","64.80%",11,"6.30%",0,"0","0","0","0","0",55.5,-2,-0.7,0,0,1,1,0,-1,0.3,1,"0.00%",0,0,"0.00%",38.28,"D"
"Mason Mims","E TENN ST",2026,"QB","Southern","FCS",66,69.8,36,32,23,"71.90%","82.80%",178,5.6,"66.30%",0,1,4,2.81,0,1,0,"0.00%",1,"3.10%",1,72.1,3.2,"75.00%","15.60%","33.70%",7,"44.40%",29,"13.80%","13.80%","13.80%","10.30%","72.40%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.18,"D"
"Gabe Passini","BUTLER",2026,"QB","Pioneer","FCS",NA,NA,25,20,14,"70.00%","70.00%",130,6.5,"51.50%",2,0,0,0,0,0,0,"0.00%",0,"0.00%",0,120.8,8.1,"60.00%","40.00%","55.40%",7,"0.00%",0,"0","0","0","0","0",NA,51,6.4,0,3,0,0,0,3.6,2.1,5,"37.50%",0,0,"0.00%",37.51,"D"
"Tyler Jefferson","BETH COOK",2026,"QB","SWAC","FCS",45,77.4,23,19,11,"57.90%","79.00%",93,4.9,"92.50%",0,0,1,2.74,0,0,0,"0.00%",2,"10.50%",4,70.7,7.8,"68.40%","31.60%","7.50%",5,"30.40%",0,"0","0","0","0","0",54.7,15,1.7,0,0,1,0,3,-1.4,3.1,3,"0.00%",0.33,0,"16.70%",36.98,"D"
"Poochie Snyder","SACR HEART",2026,"QB","CAA","FCS",40,82.7,20,19,13,"68.40%","73.70%",88,4.6,"61.40%",0,1,0,2.44,0,1,0,"0.00%",1,"5.30%",1,56.5,5.7,"79.00%","21.10%","38.60%",5,"10.00%",11,"27.30%","0","0","9.10%","100%",43.7,19,2.4,0,1,1,0,0,1.8,0.6,1,"12.50%",0,0,"0.00%",35.24,"D"
"Colton Fitzgerald","W GEORGIA",2026,"QB","United Athletic","FCS",39,52.9,28,28,15,"53.60%","63.00%",154,5.5,"57.80%",1,2,0,2.14,0,4,1,"3.60%",1,"3.60%",2,51.8,9.7,"50.00%","46.40%","42.20%",7,"25.00%",0,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.12,"D"
"Jaylon Tolbert","ALCORN ST",2026,"QB","SWAC","FCS",NA,NA,27,26,18,"69.20%","69.20%",203,7.8,"46.30%",1,0,0,0,0,0,0,"0.00%",0,"0.00%",0,105.1,10.4,"53.80%","46.20%","54.70%",11,"0.00%",0,"0","0","0","0","0",NA,33,8.3,0,3,0,0,0,6,2.3,1,"75.00%",0,1,"0.00%",35.1,"D"
"Collin Shannon","MURRAY ST",2026,"QB","Missouri Valley","FCS",46,61.9,21,18,11,"61.10%","68.80%",121,6.7,"66.10%",0,0,2,2.36,2,2,0,"0.00%",1,"5.60%",0,81,5.2,"55.60%","33.30%","33.90%",4,"52.40%",0,"0","0","0","0","0",61.3,4,2,0,1,0,0,1,-1,3,1,"50.00%",0.5,0,"0.00%",34.78,"D"
"Luca Stanzani","LIUSHAR",2026,"QB","Northeast","FCS",56,52.7,28,21,11,"52.40%","57.90%",78,3.7,"33.30%",1,0,3,3.08,1,2,1,"3.60%",0,"0.00%",0,77.1,10.9,"42.90%","47.60%","66.70%",8,"17.90%",0,"0","0","0","0","0",64,57,5.7,0,3,0,0,4,3,2.7,4,"30.00%",0.4,2,"0.00%",34.28,"D"
"Emmett Brown","INCAR WORD",2026,"QB","Southland","FCS",NA,NA,57,53,35,"66.00%","67.30%",431,8.1,"59.20%",1,2,3,0,0,0,0,"0.00%",0,"0.00%",0,81.6,6.7,"69.80%","28.30%","40.80%",20,"0.00%",0,"0","0","0","0","0",NA,11,2.2,0,1,0,0,0,0.4,1.8,1,"20.00%",0,1,"0.00%",33.95,"D"
