"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"KOBE BRANHAM","ARKANSAS",65,53.91,"C",54.1,0.031,69.9,0.25,0,0,0.02,1,1,0,0
"MCKENZIE AGNELLO","HOUSTON",78,53.36,"C",68.7,0.051,42.3,0.094,0,97.8,0.043,2,3,0,0
"CHAMP TAULEALEA","WASHINGTON",31,53.31,"C",70.2,0.065,62.3,0,0,0,0.048,1,0,0,0
"EMMANUEL KOJO POKU","S CAROLINA",86,52.68,"C",61.5,0.035,78.5,0.029,0,0,0.019,1,0,0,0
"KADE PIEPER","IOWA",38,52.65,"C",56.9,0,83.8,0.059,0,0,0,0,0,0,0
"ALANI NOA","USC",68,52.54,"C",57.9,0.029,75,0.129,0,0,0.027,1,0,0,0
"KAYLON MILLER","USC",40,52.04,"C",61.7,0.025,77.5,0,0,0,0,0,1,0,0
"OLUWAFUNTO AKINSHILO","SYRACUSE",74,51.6,"C",50.1,0.027,63.4,0.152,0,97.6,0.049,2,0,0,0
"GRANT WISE","CLEMSON",34,51.31,"C",52.4,0,69.8,0.333,0.045,0,0.091,1,0,0,1
"SEUSEU ALOFAITULI","MIAMI FL",70,51.28,"C",65,0.057,22.8,0.156,0,98.7,0.026,1,4,0,0
"JUDAH PRUITT","BOSTON COL",61,50.97,"C",53.5,0,86.5,0.067,0,0,0,0,0,0,0
"CARTER SWEAZIE","UCLA",60,49.99,"C",58.4,0.033,65.6,0.057,0,0,0,0,1,0,0
"MANUEL BEIGEL","MICHIGAN",29,49.99,"C",61.1,0.103,63,0.167,0,0,0.125,1,0,0,0
"CURTIS PEAGLER","MISSOURI",52,49.08,"C",54.2,0,85.2,0.037,0,0,0,0,0,0,0
"MICHAEL CARROLL","ALABAMA",68,49.08,"C",49.9,0.029,82.9,0.152,0,0,0.029,1,0,0,0
"JULIAN ARMELLA","UCLA",46,48.83,"C",54.3,0.022,76.5,0.174,0,0,0.043,1,0,0,0
"VAEA IKAKOULA","PENN STATE",52,48.78,"C",61.1,0.039,49,0.074,0,0,0,0,1,0,0
"ROGER ALDERMAN","UTAH",47,48.47,"C",52.9,0.021,79.4,0.158,0,0,0.036,1,0,0,0
"KEITH OLSON","UTAH",29,48.43,"C",53.7,0,79.7,0.063,0,0,0,0,0,0,0
"SOLATOA MOEA'I","UTAH",57,48.4,"C",62.1,0.035,66.6,0.091,0,0,0.029,1,1,0,0
"PAUL MUBENGA","NEBRASKA",56,47.5,"C",56.4,0.018,76.4,0.03,0,0,0,0,1,0,0
"HANK PURVIS","S CAROLINA",76,47.38,"C",56.6,0,83.3,0.035,0,0,0,0,1,0,0
"ELYJAH THURMON","CLEMSON",72,47.23,"C",57.3,0.028,55.7,0.182,0.026,0,0.051,1,0,0,1
"JORDAN LARSEN","DUKE",69,47.08,"C",54.7,0.015,74.6,0.1,0.035,0,0.035,0,1,1,0
"TROVON BAUGH","TEXAS A&M",57,46.05,"C",61.9,0.018,73.7,0.059,0.025,0,0.05,1,0,1,0
"MICAH BANUELOS","PURDUE",63,45.56,"C",60.2,0.032,57.7,0.192,0,0,0.054,2,0,0,0
"ALEX WOODS","SMU",85,44.28,"C",64.5,0.047,66.8,0.103,0,0,0.065,3,0,0,0
"RONAN O'CONNELL","CLEMSON",38,43.29,"C",59.6,0.026,27.9,0.095,0.059,0,0.059,0,0,0,1
"ZIRON BROWN","STANFORD",35,42.38,"C",58.5,0,71.2,0,0,0,0,0,1,0,0
"TYSON RUFFINS","CAL",55,41.75,"C",50.2,0,72,0.167,0,0,0.027,1,0,0,0
"NATE KIBBLE","BAYLOR",75,41.73,"C",55.7,0,71.8,0,0.029,0,0.029,0,0,0,1
"PATRICK KUTAS","OLE MISS",77,39.72,"D",62,0.013,65.8,0,0,0,0,0,3,0,0
"ROBERT SMITH IV","BOSTON COL",61,39.62,"D",55.3,0,80.9,0.033,0,0,0.032,1,0,0,0
"JAYVON MCFADDEN","COLORADO",67,38.48,"D",44.4,0,67.4,0.273,0,0,0.029,1,1,0,0
"IDRYS COTTON","NWESTERN",73,38.38,"D",47.4,0.027,70.9,0.271,0,0,0.08,2,0,0,0
"ASHER HALE","BAYLOR",75,37.5,"D",51.2,0,66.3,0.098,0.029,0,0.029,0,1,1,0
"COLIN CUBBERLY","WISCONSIN",64,37.43,"D",54.3,0.031,57.4,0.138,0.029,0,0.057,1,1,1,0
"CADE MCCONNELL","VANDERBILT",55,37.11,"D",53.7,0.018,47.8,0.267,0.025,0,0.05,1,2,1,0
"MALACHI BRELAND","ARKANSAS",65,36.9,"D",56.9,0.015,66,0.125,0,0,0.041,2,1,0,0
"AMORY HILLS","MARYLAND",30,36.28,"D",54.9,0,67.8,0.25,0,0,0.091,2,0,0,0
"ROB LAPUAHO","ARIZONA ST",51,35.5,"D",38.8,0,72.3,0.308,0,0,0.04,1,1,0,0
"CHRIS VIGNA","RUTGERS",45,34.81,"D",61.3,0.067,44.9,0.3,0,0,0.12,3,2,0,0
"MARQUES EASLEY","PURDUE",63,34.2,"D",60,0.032,57.7,0.077,0.027,0,0.081,2,0,1,0
"WILLIAM SANDERS","ALABAMA",68,33.58,"D",50.5,0,61.1,0.152,0,0,0.029,1,1,0,0
"KAMEN SMITH","NC STATE",77,33.45,"D",47.3,0,60.3,0.171,0,0,0,0,3,0,0
"JOHNNIE BROWN III","LOUISVILLE",65,32.22,"D",61.5,0.031,54.6,0.083,0,0,0.069,2,1,0,0
"SIOAPE VATIKANI","CAL",42,32.13,"D",57.2,0.024,41.7,0.143,0,0,0.036,1,2,0,0
"ANDREW THREATT","N CAROLINA",70,31.83,"D",48.7,0.014,58.8,0.353,0,0,0.083,3,1,0,0
"COOPER COUSINS","PENN STATE",43,31.34,"D",62.1,0.047,34.4,0.048,0.045,0,0.091,1,1,1,0
"SIMIONE PALE","STANFORD",43,30.84,"D",58.2,0.023,37.9,0.133,0,0,0.036,1,2,0,0
"NATE PABST","FLORIDA ST",67,29.43,"D",50.3,0.015,58.5,0.259,0,0,0.05,2,3,0,0
"TANNER MORLEY","KANSAS ST",36,26.16,"D",59.9,0.028,34.3,0,0,0,0.053,1,0,0,0
"ALIOU BAH","LSU",72,23.62,"D",59.2,0.042,47.4,0.143,0.027,0,0.108,3,2,0,1
"NICK KRAHE","W VIRGINIA",36,21.48,"D",54.6,0.028,45.3,0.191,0,0,0.133,2,0,0,0
"BRADY WAYBURN","UCF",59,20.92,"D",49.9,0,50.8,0.098,0,0,0.056,1,1,0,0
"TYLER THOMAS","TEXAS A&M",34,20.38,"D",44.5,0,56.5,0.231,0,0,0.095,2,0,0,0
"BLAKE IVY","TEXAS A&M",79,16.73,"F",55.8,0.013,38.1,0.125,0,0,0.055,3,2,0,0
"COLE SKINNER","AUBURN",69,15.43,"F",49.3,0,24.1,0.286,0.042,0,0.104,3,0,0,2
"DELANO TOWNSEND","OLE MISS",77,13.91,"F",59.4,0.013,29.3,0.091,0.018,0,0.036,1,5,1,0
"RYAN HOWERTON","MARYLAND",71,11.39,"F",48.5,0,46.7,0.15,0.02,0,0.059,2,3,1,0
"BO BORDELON","LSU",72,9.8,"F",55.8,0.042,12.6,0.171,0.027,0,0.108,3,2,0,1
"WILSON ZIERER","AUBURN",69,3.52,"F",42.4,0,52.8,0.286,0,0,0.104,5,2,0,0
"PAUL BOWLING","FLORIDA ST",67,0,"F",52.1,0.015,27.8,0.185,0,0,0.1,4,3,0,0
