"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Season","Position","Conference","Conference_Level","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","row_id"
"MALIK WASHINGTON","MARYLAND",71,74.22,"B",2026,"QB","Big Ten","P4",74.5,51,49,32,"65.30%","65.30%",375,7.7,"50.10%",3,0,2,2.55,0,3,1,"2.00%",1,"2.00%",0,108.8,9.2,"44.90%","55.10%","51.20%",19,"15.70%",0,"0","0","0","0","0",63.1,22,11,0,1,0,0,1,8.5,2.5,0,"50.00%",0.5,1,"0.00%",62
"TRINIDAD CHAMBLISS","OLE MISS",77,73.9,"B",2026,"QB","SEC","P4",90.2,55,50,33,"66.00%","70.80%",363,7.3,"47.40%",2,1,2,2.56,0,3,0,"0.00%",1,"2.00%",1,92.3,8.1,"54.00%","42.00%","54.30%",18,"38.20%",48,"18.80%","10.40%","22.90%","6.30%","66.70%",62.3,32,4,1,3,0,0,0,2.6,0.6,2,"37.50%",0,2,"0.00%",41
"NICO IAMALEAVA","UCLA",76,73.18,"B",2026,"QB","Big Ten","P4",86.6,36,33,20,"60.60%","75.90%",288,8.7,"32.30%",3,0,1,3.06,1,2,0,"0.00%",3,"9.10%",2,119.3,12.3,"45.50%","42.40%","69.10%",14,"27.80%",0,"0","0","0","0","0",66.2,64,9.1,0,3,0,0,2,4.9,4.3,2,"42.90%",0.29,2,"0.00%",36
"ASHTON DANIELS","FLORIDA ST",67,72.9,"B",2026,"QB","ACC","P4",66.8,40,30,17,"56.70%","63.00%",385,12.8,"42.30%",2,4,4,3.8,1,3,2,"5.00%",3,"10.00%",0,84,16.1,"26.70%","63.30%","62.10%",15,"30.00%",0,"0","0","0","0","0",64.3,29,2.6,2,4,0,0,2,-0.5,2.5,6,"36.40%",0.18,0,"0.00%",8
"DYLAN RAIOLA","OREGON",27,72.52,"B",2026,"QB","Big Ten","P4",91.5,13,12,12,"100%","100%",162,13.5,"51.20%",3,0,1,2.1,0,0,0,"0.00%",0,"0.00%",0,158.3,7.8,"50.00%","50.00%","57.40%",8,"69.20%",12,"8.30%","8.30%","0","0","91.70%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46
"COLTON JOSEPH","WISCONSIN",64,72.49,"B",2026,"QB","Big Ten","P4",67.7,35,34,23,"67.70%","75.80%",362,10.7,"49.20%",3,1,0,2.62,1,1,3,"8.60%",1,"2.90%",2,120,11.6,"55.90%","41.20%","52.20%",16,"48.60%",0,"0","0","0","0","0",70.3,46,5.1,1,4,1,0,0,3.4,1.7,1,"44.40%",0,2,"0.00%",26
"AIDAN CHILES","NWESTERN",67,71.6,"B",2026,"QB","Big Ten","P4",83.9,25,23,17,"73.90%","77.30%",241,10.5,"50.60%",3,0,1,3.16,1,0,1,"4.00%",1,"4.30%",0,146.9,8.4,"47.80%","47.80%","49.40%",11,"32.00%",0,"0","0","0","0","0",63.1,8,0.7,2,4,1,0,1,-0.3,1,1,"36.40%",0.09,0,"0.00%",33
"ETHAN GRUNKEMEYER","VA TECH",82,69.27,"B",2026,"QB","ACC","P4",76.3,46,45,34,"75.60%","77.80%",323,7.2,"63.20%",3,0,1,2.54,0,0,0,"0.00%",0,"0.00%",1,117.2,6.5,"55.60%","44.40%","40.30%",18,"34.80%",0,"0","0","0","0","0",76.8,14,2.3,1,2,0,0,1,-1.7,4,0,"33.30%",0.17,1,"0.00%",47
"KATIN HOUSER","ILLINOIS",53,68.88,"B",2026,"QB","Big Ten","P4",83.1,34,31,25,"80.70%","83.30%",327,10.6,"24.80%",2,1,2,2.3,0,0,1,"2.90%",4,"12.90%",0,118.7,10.7,"45.20%","51.60%","75.80%",14,"41.20%",0,"0","0","0","0","0",64.3,9,9,0,0,0,0,0,0,0,1,"0.00%",0,0,"0.00%",12
"BYRUM BROWN","AUBURN",69,68.48,"B",2026,"QB","SEC","P4",78.9,48,38,21,"55.30%","61.10%",274,7.2,"25.20%",3,1,7,3.39,1,3,1,"2.10%",2,"5.30%",1,93.5,13.4,"39.50%","55.30%","79.60%",18,"22.90%",33,"27.30%","3.00%","27.30%","15.20%","69.70%",82.4,97,8.1,1,4,0,0,9,2.2,5.9,3,"33.30%",0.75,4,"11.10%",5
"JOSH HOOVER","INDIANA",53,67.91,"B",2026,"QB","Big Ten","P4",74.1,27,24,18,"75.00%","75.00%",273,11.4,"45.80%",2,0,1,2.42,0,1,0,"0.00%",0,"0.00%",0,139.8,9.5,"50.00%","50.00%","54.20%",12,"37.00%",0,"0","0","0","0","0",68.9,57,28.5,0,0,0,0,0,26,2.5,2,"0.00%",0,1,"0.00%",2
"RYAN BROWNE","PURDUE",63,66.22,"B",2026,"QB","Big Ten","P4",53.9,37,36,20,"55.60%","66.70%",384,10.7,"55.50%",3,1,1,2.74,0,0,2,"5.40%",1,"2.80%",2,109,12.4,"36.10%","55.60%","46.90%",18,"16.20%",0,"0","0","0","0","0",71.7,19,6.3,0,2,0,0,0,5.3,1,0,"66.70%",0,1,"0.00%",37
"ROCCO BECHT","PENN STATE",43,64.91,"B",2026,"QB","Big Ten","P4",90.3,22,21,13,"61.90%","70.00%",225,10.7,"32.00%",2,0,1,2.54,0,2,0,"0.00%",3,"14.30%",1,130.1,11.6,"42.90%","52.40%","70.70%",10,"36.40%",18,"38.90%","5.60%","11.10%","16.70%","83.30%",42.4,-5,-2.5,0,0,1,0,0,-3.5,1,0,"0.00%",0,0,"0.00%",9
"GIO LOPEZ","WAKE",68,64.73,"B",2026,"QB","ACC","P4",74.6,56,51,32,"62.70%","76.10%",348,6.8,"42.20%",3,1,3,2.96,0,0,1,"1.80%",3,"5.90%",3,94.2,7.6,"54.90%","35.30%","61.20%",16,"30.40%",42,"21.40%","14.30%","16.70%","21.40%","69.00%",70,17,3.4,0,2,0,0,0,0.4,1.8,2,"40.00%",0,0,"0.00%",27
"HANK BROWN","IOWA",24,64.5,"B",2026,"QB","Big Ten","P4",90.9,13,13,12,"92.30%","92.30%",153,11.8,"76.50%",2,0,0,2.85,0,0,0,"0.00%",1,"7.70%",0,155.3,5.5,"69.20%","30.80%","26.80%",9,"76.90%",0,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"JC FRENCH IV","CINCINNATI",77,64.11,"B",2026,"QB","Big 12","P4",72.9,52,43,31,"72.10%","80.50%",307,7.1,"47.20%",2,0,3,2.75,0,3,0,"0.00%",2,"4.70%",2,107.4,7.9,"55.80%","39.50%","55.40%",17,"32.70%",0,"0","0","0","0","0",65.7,52,3.7,1,6,0,0,2,0.2,3.5,6,"42.90%",0.14,3,"0.00%",17
"DEVON DAMPIER","UTAH",59,63.64,"B",2026,"QB","Big 12","P4",92.3,37,34,23,"67.70%","83.30%",261,7.7,"42.10%",2,0,1,2.56,2,1,0,"0.00%",5,"14.70%",2,110,11.4,"44.10%","44.10%","59.40%",13,"37.80%",0,"0","0","0","0","0",59.2,39,4.3,0,3,1,1,1,1.3,3,2,"33.30%",0.11,2,"14.30%",24
"JULIAN SAYIN","OHIO STATE",48,63.5,"B",2026,"QB","Big Ten","P4",84.9,24,22,18,"81.80%","86.40%",241,10.9,"36.10%",2,0,1,2.63,0,0,0,"0.00%",1,"4.50%",1,142.6,9.7,"54.50%","45.50%","65.10%",13,"33.30%",0,"0","0","0","0","0",57.3,1,1,0,0,0,0,0,-1,2,1,"0.00%",0,0,"0.00%",49
"GUNNER STOCKTON","GEORGIA",56,62.27,"B",2026,"QB","SEC","P4",87.7,23,16,11,"68.80%","80.00%",164,10.3,"48.20%",1,0,3,3,0,1,0,"0.00%",1,"6.30%",1,122.9,9.3,"43.80%","50.00%","51.80%",9,"43.50%",13,"15.40%","23.10%","7.70%","23.10%","69.20%",91.1,139,23.2,0,4,0,0,1,17.3,0.5,4,"66.70%",0.17,5,"0.00%",7
"KAMARIO TAYLOR","MISS STATE",69,62.2,"B",2026,"QB","SEC","P4",61.4,36,30,19,"63.30%","67.90%",269,9,"55.80%",4,1,2,2.69,0,3,2,"5.60%",1,"3.30%",0,117.9,9.8,"60.00%","33.30%","46.10%",14,"50.00%",0,"0","0","0","0","0",90.7,41,4.1,0,2,0,0,3,-1.2,4.6,4,"20.00%",0.3,2,"0.00%",65
"CONNER WEIGMAN","HOUSTON",78,61.72,"B",2026,"QB","Big 12","P4",67.3,46,39,28,"71.80%","71.80%",297,7.6,"47.80%",3,0,3,2.77,0,3,1,"2.20%",2,"5.10%",0,119.3,7.2,"64.10%","35.90%","54.50%",15,"13.00%",38,"7.90%","23.70%","23.70%","2.60%","52.60%",65,58,4.8,0,4,0,0,2,0.4,4,4,"33.30%",0.17,2,"0.00%",14
"JAYDEN MAIAVA","USC",68,61.49,"B",2026,"QB","Big Ten","P4",80.6,37,35,22,"62.90%","69.70%",302,8.6,"44.70%",2,0,1,2.7,0,1,1,"2.70%",2,"5.70%",1,109.5,11.8,"45.70%","48.60%","58.00%",14,"43.20%",31,"16.10%","12.90%","29.00%","12.90%","58.10%",48.7,6,2,0,1,1,0,0,-2,0,1,"33.30%",0,1,"0.00%",10
"ALBERTO MENDOZA","GA TECH",56,61,"B",2026,"QB","ACC","P4",64.1,24,22,15,"68.20%","71.40%",249,11.3,"45.40%",3,0,1,2.67,0,2,1,"4.20%",1,"4.50%",0,145.6,11,"36.40%","59.10%","54.60%",11,"33.30%",0,"0","0","0","0","0",63.1,6,6,0,0,0,0,0,0,0,1,"0.00%",0,0,"0.00%",57
"WILL HAMMOND","TEXAS TECH",62,57.83,"C",2026,"QB","Big 12","P4",89.7,31,28,17,"60.70%","70.40%",257,9.2,"37.40%",1,1,1,2.78,1,3,0,"0.00%",1,"3.60%",2,87.9,12.1,"42.90%","53.60%","63.80%",13,"29.00%",23,"0","17.40%","8.70%","21.70%","73.90%",52.2,31,5.2,0,2,0,0,0,3,1.3,2,"33.30%",0,1,"0.00%",56
"ANTHONY COLANDREA","NEBRASKA",56,56.87,"C",2026,"QB","Big Ten","P4",88.7,23,21,15,"71.40%","85.00%",195,9.3,"62.10%",1,0,1,2.26,1,1,0,"0.00%",2,"9.50%",2,116.2,7.5,"57.10%","38.10%","42.00%",10,"39.10%",0,"0","0","0","0","0",65.5,21,7,1,2,0,0,1,6,1,1,"66.70%",0.33,1,"0.00%",20
"JARED CURTIS","VANDERBILT",65,54.58,"C",2026,"QB","SEC","P4",60.7,48,37,20,"54.00%","59.50%",277,7.5,"34.70%",3,2,0,3.17,0,5,3,"6.30%",3,"8.10%",2,82.8,13.4,"54.00%","46.00%","67.90%",15,"18.80%",0,"0","0","0","0","0",52.2,88,5.9,0,5,2,1,8,-0.4,4.9,11,"33.30%",0.53,3,"50.00%",70
"DARIAN MENSAH","MIAMI FL",70,52.56,"C",2026,"QB","ACC","P4",72.8,37,35,30,"85.70%","90.90%",220,6.3,"58.20%",3,0,1,2.42,0,1,0,"0.00%",0,"0.00%",0,121.4,4.7,"68.60%","25.70%","47.70%",14,"32.40%",32,"18.80%","21.90%","6.30%","9.40%","71.90%",57.2,4,1,0,0,0,0,0,0.8,0.3,1,"0.00%",0,0,"0.00%",19
"AVERY JOHNSON","KANSAS ST",65,52.4,"C",2026,"QB","Big 12","P4",76.4,32,28,21,"75.00%","78.60%",227,8.1,"44.50%",0,0,0,2.67,0,1,0,"0.00%",0,"0.00%",1,98.4,8.3,"53.60%","46.40%","55.50%",13,"18.80%",0,"0","0","0","0","0",69.6,146,9.7,2,6,0,0,0,6.7,2.2,4,"40.00%",0,4,"9.10%",30
"BRYCE UNDERWOOD","MICHIGAN",62,51.19,"C",2026,"QB","Big Ten","P4",70,30,28,19,"67.90%","74.10%",223,8,"46.20%",2,0,1,2.38,0,1,1,"3.30%",0,"0.00%",1,115.6,10.1,"28.60%","67.90%","53.80%",16,"33.30%",0,"0","0","0","0","0",65.8,25,5,0,2,0,0,0,1.2,3.8,1,"40.00%",0,1,"0.00%",64
"CJ BAILEY","NC STATE",71,48.07,"C",2026,"QB","ACC","P4",57.7,42,38,25,"65.80%","65.80%",275,7.2,"36.70%",3,1,1,2.52,0,3,3,"7.10%",1,"2.60%",0,102.4,10.7,"44.70%","55.30%","66.50%",16,"26.20%",27,"18.50%","18.50%","29.60%","0","51.80%",41,40,4.4,0,2,1,1,1,0,3.7,3,"22.20%",0.11,1,"0.00%",43
"ISAIAH MARSHALL","KANSAS",76,48.04,"C",2026,"QB","Big 12","P4",66.7,36,34,18,"52.90%","60.00%",269,7.9,"32.30%",1,1,1,3.18,0,5,1,"2.80%",2,"5.90%",0,76.7,13.7,"29.40%","58.80%","67.70%",11,"30.60%",0,"0","0","0","0","0",59.6,58,4.8,0,3,1,0,4,2.3,2.5,1,"25.00%",0.33,2,"0.00%",50
"DYLAN LONERGAN","RUTGERS",72,47.58,"C",2026,"QB","Big Ten","P4",66.8,44,38,19,"50.00%","60.00%",263,6.9,"37.30%",3,2,2,2.99,1,4,2,"4.50%",0,"0.00%",2,77,11.6,"36.80%","55.30%","63.90%",15,"9.10%",32,"21.90%","15.60%","34.40%","18.80%","50.00%",58.3,23,3.8,0,1,0,0,1,0.8,0.7,4,"16.70%",0.17,1,"0.00%",28
"LINCOLN KIENHOLZ","LOUISVILLE",65,46.59,"C",2026,"QB","ACC","P4",77.4,29,26,14,"53.80%","66.70%",177,6.8,"33.90%",2,0,1,3.17,1,1,0,"0.00%",2,"7.70%",2,101,11.3,"42.30%","50.00%","69.50%",12,"51.70%",0,"0","0","0","0","0",61.3,38,2.4,1,4,1,0,0,1.2,0.9,2,"25.00%",0,1,"0.00%",21
"JOHN MATEER","OKLAHOMA",59,46.34,"C",2026,"QB","SEC","P4",65.6,29,26,19,"73.10%","76.00%",238,9.2,"51.70%",2,2,1,2.54,0,1,2,"6.90%",1,"3.90%",0,94.7,7.7,"57.70%","38.50%","48.30%",9,"24.10%",0,"0","0","0","0","0",65,27,2.3,0,3,0,0,4,0.3,2,2,"25.00%",0.33,0,"0.00%",13
"AARON PHILO","FLORIDA",81,44.9,"C",2026,"QB","SEC","P4",69.3,29,26,17,"65.40%","72.00%",225,8.7,"47.60%",1,1,2,2.8,0,0,0,"0.00%",0,"0.00%",1,89.4,10.2,"53.80%","42.30%","57.80%",10,"51.70%",24,"25.00%","4.20%","25.00%","8.30%","70.80%",69,27,3.4,0,4,0,0,1,1,2.4,1,"50.00%",0.13,1,"0.00%",42
"DRAKE LINDSEY","MINNESOTA",55,43.74,"C",2026,"QB","Big Ten","P4",69.6,32,32,17,"53.10%","71.40%",204,6.4,"42.20%",3,1,0,2.64,2,1,0,"0.00%",0,"0.00%",3,91.1,8.7,"46.90%","40.60%","64.20%",10,"34.40%",26,"19.20%","15.40%","23.10%","23.10%","61.50%",64.1,2,1,0,1,0,0,0,0,1,0,"50.00%",0,0,"0.00%",54
"BEAR BACHMEIER","BYU",47,42.29,"C",2026,"QB","Big 12","P4",69.2,16,16,12,"75.00%","81.30%",227,14.2,"58.60%",0,1,0,2.24,0,0,2,"12.50%",1,"6.30%",1,90.6,9,"56.30%","43.80%","41.40%",8,"31.30%",15,"13.30%","0","20.00%","6.70%","80.00%",58,-5,-1.7,0,0,0,0,1,-2.3,0.7,0,"0.00%",0.33,0,"0.00%",67
"KJ JACKSON","ARKANSAS",43,41.67,"C",2026,"QB","SEC","P4",69.1,31,29,20,"69.00%","84.00%",212,7.3,"44.80%",1,0,1,2.59,1,2,1,"3.20%",1,"3.50%",1,101.5,7.6,"48.30%","37.90%","55.20%",12,"12.90%",23,"21.70%","30.40%","13.00%","26.10%","56.50%",58.1,10,3.3,0,0,0,0,1,-0.7,4,1,"0.00%",0.33,0,"0.00%",51
"WALKER EGET","DUKE",67,36.7,"D",2026,"QB","ACC","P4",73.2,28,25,14,"56.00%","66.70%",202,8.1,"38.10%",1,1,0,2.91,1,2,1,"3.60%",1,"4.00%",2,79.1,11.6,"44.00%","52.00%","61.90%",10,"42.90%",24,"33.30%","20.80%","33.30%","4.20%","45.80%",49.7,8,2.7,0,0,0,0,0,-0.3,2.3,3,"0.00%",0,0,"0.00%",4
"SAM LEAVITT","LSU",70,35.75,"D",2026,"QB","SEC","P4",70.8,39,28,16,"57.10%","74.10%",158,5.6,"59.50%",1,1,2,3.25,1,1,0,"0.00%",1,"3.60%",4,70.2,7.1,"57.10%","39.30%","43.70%",12,"51.30%",24,"12.50%","4.20%","25.00%","8.30%","70.80%",57.5,71,4.7,1,5,0,0,6,1.6,2.5,9,"33.30%",0.4,2,"33.30%",38
"FAIZON BRANDON","TENNESSEE",65,34.65,"D",2026,"QB","SEC","P4",53.3,36,26,18,"69.20%","76.00%",178,6.8,"65.20%",1,0,2,3.28,1,0,2,"5.60%",0,"0.00%",1,101.1,10.3,"57.70%","38.50%","34.80%",14,"47.20%",23,"4.30%","13.00%","13.00%","13.00%","73.90%",58.2,55,5.5,1,4,1,0,1,0.5,4.5,8,"40.00%",0.1,3,"0.00%",71
"TAIT REYNOLDS","CLEMSON",72,34.54,"D",2026,"QB","ACC","P4",68.1,38,31,20,"64.50%","77.80%",213,6.9,"54.00%",1,2,4,2.77,2,1,1,"2.60%",0,"0.00%",1,68.3,8.2,"58.10%","29.00%","46.00%",9,"31.60%",0,"0","0","0","0","0",69.4,47,4.3,0,4,0,0,2,0.9,2.6,2,"36.40%",0.18,1,"11.10%",69
"LANORRIS SELLERS","S CAROLINA",86,34.05,"D",2026,"QB","SEC","P4",40.3,52,43,26,"60.50%","70.00%",283,6.6,"61.10%",2,3,3,3.1,1,4,5,"9.60%",1,"2.30%",2,66.3,7.6,"60.50%","32.60%","39.90%",17,"36.50%",0,"0","0","0","0","0",70.7,70,5,0,3,1,0,5,1.2,3,6,"21.40%",0.36,2,"0.00%",35
"BEAU PRIBULA","VIRGINIA",75,33.6,"D",2026,"QB","ACC","P4",64,43,38,21,"55.30%","66.70%",197,5.2,"65.50%",2,0,3,2.63,0,2,1,"2.30%",1,"2.60%",3,87.3,7.3,"47.40%","47.40%","38.60%",14,"16.30%",6,"0","16.70%","33.30%","0","50.00%",56.6,25,5,0,1,0,0,2,0.4,4.6,2,"20.00%",0.4,1,"0.00%",18
"KEVIN JENNINGS","SMU",85,33.23,"D",2026,"QB","ACC","P4",70.4,45,38,24,"63.20%","73.50%",222,5.8,"45.50%",1,2,2,3.21,1,2,3,"6.70%",2,"5.30%",1,65.9,9.7,"52.60%","36.80%","54.50%",11,"35.60%",0,"0","0","0","0","0",51.1,51,6.4,0,0,1,1,1,0.5,4.4,5,"0.00%",0.13,1,"0.00%",11
"ARCH MANNING","TEXAS",75,31.88,"D",2026,"QB","SEC","P4",58.7,43,34,16,"47.10%","58.60%",161,4.7,"65.20%",2,0,1,3.01,1,1,1,"2.30%",0,"0.00%",1,80.6,9.6,"35.30%","50.00%","39.80%",14,"41.90%",0,"0","0","0","0","0",70.1,66,7.3,0,3,1,0,2,2.9,1.9,8,"33.30%",0.22,2,"0.00%",31
"MARCEL REED","TEXAS A&M",85,30.24,"D",2026,"QB","SEC","P4",55.8,58,50,26,"52.00%","57.50%",236,4.7,"38.10%",1,2,0,3.21,3,4,3,"5.20%",1,"2.00%",1,55.1,9.6,"50.00%","44.00%","65.70%",18,"17.20%",46,"8.70%","6.50%","41.30%","8.70%","52.20%",59.7,80,8,1,3,0,0,1,5.9,1.8,8,"30.00%",0.1,2,"0.00%",40
"MASON MCKENZIE","BOSTON COL",60,29.02,"D",2026,"QB","ACC","P4",69.2,30,22,14,"63.60%","77.30%",173,7.9,"44.50%",1,2,1,3.12,0,1,2,"6.70%",1,"4.50%",3,65.2,9.1,"54.50%","45.50%","59.50%",9,"30.00%",11,"0","45.50%","18.20%","0","36.40%",62.5,59,3.5,0,3,1,0,3,0.5,1.9,7,"17.60%",0.18,2,"0.00%",68
"JEREMY HECKLINSKI","IOWA",29,26.28,"D",2026,"QB","Big Ten","P4",73.5,13,12,7,"58.30%","72.70%",103,8.6,"63.10%",0,0,1,2.52,0,1,0,"0.00%",0,"0.00%",1,86.5,5.5,"66.70%","25.00%","36.90%",4,"38.50%",0,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
"JAYLEN RAYNOR","IOWA STATE",44,25.72,"D",2026,"QB","Big 12","P4",52.9,19,17,11,"64.70%","76.50%",133,7.8,"79.00%",1,1,1,2.28,0,1,1,"5.30%",0,"0.00%",2,83.7,6.2,"64.70%","35.30%","21.10%",7,"36.80%",0,"0","0","0","0","0",74.5,73,14.6,0,3,0,0,1,11.4,3.2,1,"60.00%",0.2,2,"0.00%",25
"DAVIS WARREN","STANFORD",55,23.21,"D",2026,"QB","ACC","P4",67.3,39,35,19,"54.30%","83.90%",157,4.5,"69.40%",1,0,4,2.67,2,1,0,"0.00%",0,"0.00%",7,75.5,6.2,"54.30%","34.30%","33.80%",11,"17.90%",29,"6.90%","44.80%","20.70%","20.70%","34.50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
