"Name","Team","Season","Position","Conference","Conference_Level","Offensive.Snaps","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Composite_Score","Player_Grade"
"Keali'i Ah Yat","MONTANA",2026,"QB","Big Sky","FCS",67,84.4,41,40,27,"67.50%","79.00%",215,5.4,"39.50%",2,0,1,2.23,0,2,0,"0.00%",2,"5.00%",3,97.4,8.5,"57.50%","37.50%","60.50%",13,"26.80%",0,"0","0","0","0","0",60,-2,-2,0,0,0,0,0,-2,0,0,"0.00%",0,0,"0.00%",47.81,"C"
"Frankie Weaver","MONMOUTH",2026,"QB","CAA","FCS",53,79.5,15,15,11,"73.30%","73.30%",205,13.7,"41.90%",2,2,0,1.95,0,0,1,"6.70%",2,"13.30%",0,115.3,10.1,"46.70%","53.30%","58.10%",5,"40.00%",0,"0","0","0","0","0",60.1,-4,-2,0,0,0,0,0,-2,0,0,"0.00%",0,0,"0.00%",47.39,"C"
"Cameron Edge","MORGAN ST",2026,"QB","MEAC","FCS",55,62.7,28,26,15,"57.70%","68.20%",238,9.2,"45.80%",2,0,1,2.79,2,2,0,"0.00%",2,"7.70%",0,113.9,10.1,"50.00%","34.60%","55.90%",9,"21.40%",0,"0","0","0","0","0",69.2,18,6,0,1,0,0,0,5,1,1,"33.30%",0,1,"0.00%",47,"C"
"Jaylon Tolbert","ALCORN ST",2026,"QB","SWAC","FCS",85,71.4,50,47,22,"46.80%","55.80%",270,5.7,"38.10%",1,1,2,2.57,2,8,0,"0.00%",2,"4.30%",2,63.3,9.8,"51.10%","40.40%","61.90%",15,"42.00%",0,"0","0","0","0","0",70.9,24,3.4,0,2,0,0,0,0.9,1.9,1,"28.60%",0,0,"0.00%",45.42,"C"
"Quinn Boyd","STNY BROOK",2026,"QB","CAA","FCS",80,72.8,27,24,17,"70.80%","77.30%",198,8.3,"50.50%",1,0,1,2.44,0,2,0,"0.00%",1,"4.20%",0,109.4,6.9,"54.20%","37.50%","49.50%",9,"18.50%",0,"0","0","0","0","0",69.1,150,10,0,6,0,0,0,8.3,1.3,2,"40.00%",0,5,"0.00%",45.34,"C"
"Ashton Pannell","CHISTA",2026,"QB","IND (FCS)","FCS",60,75.3,38,28,17,"60.70%","70.40%",183,6.5,"65.00%",2,0,2,2.83,1,2,0,"0.00%",1,"3.60%",2,103.7,6,"71.40%","25.00%","44.30%",8,"13.20%",0,"0","0","0","0","0",62.1,46,3.5,0,4,0,0,2,0.1,2.2,8,"30.80%",0.15,1,"0.00%",44.57,"C"
"Gabe Passini","BUTLER",2026,"QB","Pioneer","FCS",60,72.6,26,23,12,"52.20%","73.70%",109,4.7,"54.10%",3,0,2,2.33,0,1,0,"0.00%",1,"4.30%",2,104.9,4.5,"60.90%","21.70%","50.50%",4,"19.20%",0,"0","0","0","0","0",59.7,43,3.6,1,3,2,0,2,0.9,3.4,1,"25.00%",0.17,2,"9.10%",44.34,"C"
"Gavin Rutherford","STF AUSTIN",2026,"QB","Southland","FCS",52,79.6,28,26,17,"65.40%","92.30%",213,8.2,"51.60%",3,1,2,2.87,0,0,2,"7.10%",1,"3.90%",7,113.1,9,"50.00%","50.00%","52.60%",8,"17.90%",0,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.37,"C"
"Jake Stearney","COLGATE",2026,"QB","Patriot","FCS",54,80.8,21,19,12,"63.20%","75.00%",175,9.2,"29.70%",1,1,2,2.86,0,0,0,"0.00%",1,"5.30%",0,88.7,9.7,"52.60%","31.60%","70.30%",5,"66.70%",0,"0","0","0","0","0",60.6,33,16.5,0,1,0,0,0,14.5,2,0,"50.00%",0,1,"0.00%",42.45,"C"
"Kai Colon","ALBANY",2026,"QB","CAA","FCS",51,79,26,20,11,"55.00%","68.80%",163,8.2,"42.30%",1,2,5,3.26,0,1,1,"3.90%",2,"10.00%",0,59,11.3,"35.00%","45.00%","60.70%",8,"26.90%",0,"0","0","0","0","0",59.9,12,6,0,0,0,0,1,1,5,1,"0.00%",0.5,0,"0.00%",41.84,"C"
"Cornelious Brown IV","ALAB A&M",2026,"QB","SWAC","FCS",NA,NA,35,35,26,"74.30%","76.50%",382,10.9,"57.30%",2,0,0,0,0,0,0,"0.00%",0,"0.00%",0,128.5,8.9,"54.30%","42.90%","43.50%",18,"0.00%",0,"0","0","0","0","0",NA,2,2,1,1,0,0,0,2,0,0,"100%",0,0,"0.00%",41.58,"C"
"Zach Wilcke","NWSTATE",2026,"QB","Southland","FCS",NA,NA,58,53,26,"49.10%","53.10%",291,5.5,"12.40%",3,0,3,0,0,0,0,"0.00%",0,"0.00%",0,84.7,12.8,"9.40%","15.10%","25.10%",15,"0.00%",0,"0","0","0","0","0",NA,68,4.9,0,2,0,0,0,4.3,0.6,2,"14.30%",0,0,"0.00%",40.93,"C"
"Wyatt Becker","PRINCETON",2026,"QB","Ivy","FCS",64,63.1,34,32,17,"53.10%","58.10%",209,6.5,"46.90%",1,2,1,2.31,1,3,1,"2.90%",2,"6.30%",1,57.9,9.7,"53.10%","43.80%","56.50%",9,"23.50%",0,"0","0","0","0","0",64,29,9.7,0,2,0,0,2,4.7,5,1,"66.70%",0.67,2,"0.00%",40.91,"C"
"Colton Fitzgerald","W GEORGIA",2026,"QB","United Athletic","FCS",NA,NA,57,54,28,"51.80%","56.00%",330,6.1,"46.10%",3,1,1,0,1,0,0,"0.00%",0,"0.00%",0,81.6,9.8,"40.70%","51.80%","55.80%",18,"0.00%",0,"0","0","0","0","0",NA,17,5.7,0,0,0,0,0,3.7,2,1,"0.00%",0,0,"0.00%",40.82,"C"
"Brady Allen","INDIANA ST",2026,"QB","Missouri Valley","FCS",32,82.2,17,15,10,"66.70%","84.60%",98,6.5,"31.60%",1,1,2,2.91,0,0,1,"5.90%",2,"13.30%",1,79.3,13.3,"40.00%","46.70%","72.50%",7,"64.70%",0,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.16,"C"
"Maddox Kopp","HOUCHR",2026,"QB","Southland","FCS",23,69.3,17,17,9,"52.90%","52.90%",166,9.8,"51.20%",1,0,0,2.2,0,2,0,"0.00%",2,"11.80%",0,106.5,12.2,"41.20%","58.80%","48.80%",5,"47.10%",0,"0","0","0","0","0",60,-4,-4,0,0,0,0,0,-4,0,0,"0.00%",0,0,"0.00%",39.62,"D"
"Grayson Saunier","DARTMOUTH",2026,"QB","Ivy","FCS",64,80.7,36,32,17,"53.10%","67.90%",262,8.2,"27.90%",1,1,2,2.75,2,2,1,"2.80%",1,"3.10%",2,77.9,12.9,"40.60%","46.90%","72.10%",13,"13.90%",0,"0","0","0","0","0",54.1,25,3.1,0,3,0,0,1,0.6,2.5,2,"37.50%",0.13,1,"0.00%",39.14,"D"
"Elijah Owens","INDIANA ST",2026,"QB","Missouri Valley","FCS",31,52.6,21,15,7,"46.70%","46.70%",115,7.7,"73.00%",1,0,0,3.35,0,3,1,"4.80%",1,"6.70%",0,95.1,8.9,"46.70%","53.30%","29.60%",7,"33.30%",0,"0","0","0","0","0",72.3,66,6.6,0,4,0,0,4,0.8,5.8,6,"40.00%",0.4,2,"0.00%",39.03,"D"
"Chase Goodwin","COLUMBIA",2026,"QB","Ivy","FCS",NA,NA,47,44,27,"61.40%","67.50%",380,8.6,"16.30%",2,0,2,0,0,0,0,"0.00%",0,"0.00%",0,104.4,13.7,"38.60%","52.30%","85.00%",19,"0.00%",0,"0","0","0","0","0",NA,3,3,0,0,0,0,0,2,1,1,"0.00%",0,0,"0.00%",38.55,"D"
"Casey Bullock","DAVIDSON",2026,"QB","Pioneer","FCS",NA,NA,41,33,20,"60.60%","64.50%",288,8.7,"47.90%",2,0,3,0,1,0,0,"0.00%",0,"0.00%",0,109.2,9.8,"45.50%","48.50%","54.20%",13,"0.00%",0,"0","0","0","0","0",NA,103,4.5,1,7,0,0,0,1.7,2.7,5,"30.40%",0,3,"0.00%",38.41,"D"
"Ashten Snelsire","RICHMOND",2026,"QB","Patriot","FCS",80,66,58,52,30,"57.70%","63.30%",334,6.4,"42.50%",1,0,1,2.55,1,2,0,"0.00%",1,"1.90%",1,83.3,9.2,"48.10%","46.20%","57.50%",24,"31.00%",0,"0","0","0","0","0",58.6,21,7,0,1,0,0,0,0.7,1,3,"33.30%",0,1,"0.00%",38.07,"D"
"Beckham Pellant","ILL STATE",2026,"QB","Missouri Valley","FCS",29,86.9,14,12,9,"75.00%","81.80%",116,9.7,"55.20%",1,0,0,2.66,0,1,0,"0.00%",0,"0.00%",0,132.6,6.8,"41.70%","50.00%","44.80%",6,"7.10%",0,"0","0","0","0","0",51.3,6,2,0,0,0,0,0,1.3,0.7,2,"0.00%",0,0,"0.00%",37.78,"D"
"Thomas Von Grote","STETSON",2026,"QB","Pioneer","FCS",63,73.9,44,40,22,"55.00%","67.60%",219,5.5,"44.80%",1,0,1,2.17,2,4,2,"4.50%",2,"5.00%",3,79.1,8.4,"50.00%","42.50%","55.30%",13,"50.00%",0,"0","0","0","0","0",57.4,38,5.4,0,1,1,1,0,3.7,1.7,3,"14.30%",0,2,"0.00%",37.7,"D"
"Chase Mason","S DAK ST",2026,"QB","Missouri Valley","FCS",39,74.5,19,16,9,"56.30%","60.00%",137,8.6,"32.90%",0,0,0,2.77,0,2,0,"0.00%",0,"0.00%",0,84.6,14.2,"31.30%","62.50%","67.20%",10,"31.60%",0,"0","0","0","0","0",59,45,7.5,1,2,0,0,2,-1.3,8,3,"33.30%",0.33,2,"0.00%",36.92,"D"
"Elijah Guttman","ELON",2026,"QB","CAA","FCS",45,64.4,21,21,12,"57.10%","57.10%",138,6.6,"51.40%",1,0,0,2.41,0,1,0,"0.00%",1,"4.80%",0,93,13,"52.40%","47.60%","48.50%",9,"47.60%",0,"0","0","0","0","0",61.4,19,4.8,2,2,0,0,0,2.3,2.5,0,"50.00%",0,1,"0.00%",36.89,"D"
"Tate Surber","TENN MARTN",2026,"QB","Big South - OVC Football Association","FCS",58,59.8,31,29,17,"58.60%","76.00%",177,6.1,"8.50%",2,0,0,2.75,3,2,2,"6.50%",1,"3.50%",2,99.4,9.5,"44.80%","41.40%","98.30%",10,"32.30%",0,"0","0","0","0","0",67.8,14,3.5,0,1,0,0,0,-3,6.5,2,"25.00%",0,0,"0.00%",36.08,"D"
"Eddie Buehler","MAINE",2026,"QB","CAA","FCS",69,48.6,39,36,23,"63.90%","70.60%",232,6.4,"41.40%",2,2,3,2.52,1,1,3,"7.70%",3,"8.30%",1,77.5,6.1,"66.70%","27.80%","58.60%",13,"30.80%",33,"9.10%","15.20%","27.30%","9.10%","57.60%",57.1,8,2.7,0,0,0,0,0,2,0.7,0,"0.00%",0,0,"0.00%",35.38,"D"
"Armond Parker","FL A&M",2026,"QB","SWAC","FCS",NA,NA,25,24,14,"58.30%","60.90%",267,11.1,"0.00%",2,0,1,0,0,0,0,"0.00%",0,"0.00%",0,124.8,0,"0.00%","0.00%","0.00%",7,"0.00%",0,"0","0","0","0","0",NA,15,7.5,0,1,0,0,0,7.5,0,0,"50.00%",0,1,"0.00%",34.57,"D"
"Alex Gevaudan","MERCYHURST",2026,"QB","Northeast","FCS",55,55,29,26,11,"42.30%","47.80%",190,7.3,"51.60%",2,2,2,2.5,1,1,1,"3.50%",2,"7.70%",0,61.4,11.2,"38.50%","50.00%","48.40%",8,"24.10%",0,"0","0","0","0","0",57.3,3,3,0,0,0,0,0,0,0,1,"0.00%",0,0,"0.00%",33.28,"D"
"Nate Dahle","WEBER ST",2026,"QB","Big Sky","FCS",NA,NA,26,25,14,"56.00%","56.00%",178,7.1,"0.00%",2,1,1,0,0,0,0,"0.00%",0,"0.00%",0,88.4,16.3,"4.00%","8.00%","6.70%",11,"0.00%",0,"0","0","0","0","0",NA,26,6.5,0,2,0,0,0,6.5,0,0,"50.00%",0,1,"0.00%",33.05,"D"
"Jordyn Potts","E KENTUCKY",2026,"QB","United Athletic","FCS",NA,NA,42,37,23,"62.20%","67.70%",273,7.4,"36.60%",1,0,1,0,1,0,0,"0.00%",0,"0.00%",0,93.6,10,"51.30%","40.50%","63.40%",14,"0.00%",0,"0","0","0","0","0",NA,62,7.8,0,2,0,1,0,-1.5,9.3,4,"25.00%",0,4,"0.00%",32.1,"D"
"Benjamin Newman","WAGNER",2026,"QB","Northeast","FCS",45,59.2,32,31,15,"48.40%","60.00%",86,2.8,"48.80%",1,1,0,2.75,0,3,0,"0.00%",0,"0.00%",0,52.2,6.4,"58.10%","22.60%","51.20%",7,"9.40%",24,"0","20.80%","33.30%","29.20%","45.80%",64.9,23,23,0,1,0,0,0,21,2,1,"100%",0,1,"0.00%",31.45,"D"
"Nelson Layne","NC CENT",2026,"QB","MEAC","FCS",47,66.3,26,16,10,"62.50%","71.40%",150,9.4,"29.30%",0,1,5,3.64,0,0,1,"3.90%",3,"18.80%",0,67.2,11.4,"43.80%","43.80%","70.70%",6,"23.10%",0,"0","0","0","0","0",48.8,29,4.8,0,0,0,0,2,1.5,0.7,5,"0.00%",0.33,0,"0.00%",31.29,"D"
"Kyle Lowe","SE LA",2026,"QB","Southland","FCS",55,57.6,26,25,18,"72.00%","82.60%",155,6.2,"52.30%",2,0,1,2.52,0,1,1,"3.90%",1,"4.00%",1,114.6,7,"64.00%","28.00%","49.70%",9,"23.10%",0,"0","0","0","0","0",54,-10,-3.3,0,0,0,0,0,-3.3,0,0,"0.00%",0,0,"0.00%",31.07,"D"
"TJ Crews IV","ELON",2026,"QB","CAA","FCS",23,75.8,12,11,7,"63.60%","63.60%",108,9.8,"39.80%",0,0,0,2.47,0,0,0,"0.00%",1,"9.10%",0,96,12.6,"45.50%","54.50%","60.20%",4,"50.00%",0,"0","0","0","0","0",57.9,15,3,0,0,0,0,0,2.6,0.4,1,"0.00%",0,1,"0.00%",31.03,"D"
"Pat McQuaide","VILLANOVA",2026,"QB","Patriot","FCS",60,59.1,30,27,19,"70.40%","80.00%",220,8.2,"43.20%",1,1,1,2.52,0,1,1,"3.30%",0,"0.00%",1,91.6,8.3,"51.80%","40.70%","56.80%",12,"26.70%",0,"0","0","0","0","0",66.6,31,6.2,0,1,0,0,1,4.4,0.4,2,"20.00%",0.2,2,"0.00%",30.2,"D"
"David Lynch","HOLY CROSS",2026,"QB","Patriot","FCS",71,42.2,42,39,15,"38.50%","45.70%",142,3.6,"73.20%",2,1,2,2.42,0,3,2,"4.80%",2,"5.10%",1,55.7,10.9,"41.00%","48.70%","26.80%",8,"0.00%",0,"0","0","0","0","0",61.8,6,3,1,1,0,0,0,3,0,0,"50.00%",0,0,"0.00%",30.09,"D"
"Daniel Lipovski","LAFAYETTE",2026,"QB","Patriot","FCS",NA,NA,33,32,13,"40.60%","46.40%",127,4,"13.40%",2,2,1,0,1,0,0,"0.00%",0,"0.00%",0,47.3,12.7,"37.50%","50.00%","90.50%",10,"0.00%",0,"0","0","0","0","0",NA,28,7,0,2,0,0,0,1,6,0,"50.00%",0,1,"0.00%",28.91,"D"
