"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Lined.up.in.Press.Coverage","Passer.Rating.Allowed","Pass.Break.Up","Average.Depth.of.Target.per.Coverage","Receiving.Yards.Allowed.per.Snap","Yards.per.Reception.Allowed","Average.Depth.of.Tackle","Interceptions","Pass.Stop","Missed.Tackles.on.Pass.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Touchdowns.Allowed","Run.Tackle.for.Losss.or.No.Gain","Open.Targets","Pass.Tackle.for.Loss.or.No.Gain","Dropped.Int","Hurries","Hits","Fumble.Recovery","Forced.Fumble","Sacks","Pursuit.Pressure","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","First.Contact","Batted.Passes","Interception","Drops...Off.Targets.Receptions.Forced","Pass.Rush.Productivity","Unblocked.Pass.Rush","Beaten.Defender","Plays.of.15..Yards.Allowed"
"Julian Sampson","STETSON",28,87.68,"A",82.9,82.8,64.7,NA,5,1,0,NA,79.9,2,11,2.89,17.3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"0.00%",0,0,0,1,2,2,5,3,"50.00%",52,1,3,"5.60%","0.00%","16.70%","0.00%","50.00%","0.00%","0.00%",3,0,0,0,NA,0,0,1
"Brock Owen","BROWN",37,87.62,"A",74.3,72.5,72.3,56.2,6,3,3,NA,56.3,0,4.2,0.75,5,3,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,"0.00%",2,0,0,3,0,0,1,3,"50.00%",15,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",3,0,0,2,0,0,0,0
"Rome Jeffers","INCAR WORD",50,87,"A",72.3,66.6,80.9,60,4,2,1,NA,0,0,0,0,0,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,2,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,0,0,0,0
"Drew Cofield","UC DAVIS",58,86.97,"A",73.2,72.6,65.6,NA,3,1,2,NA,39.6,1,9.5,0.26,5,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,1,2,2,3,2,"20.00%",10,0,3,"0.00%","0.00%","0.00%","0.00%","30.00%","0.00%","0.00%",3,0,0,4,NA,0,0,0
"Trey Lubin","RHODE ISLD",78,86.36,"A",74.9,70,81,NA,6,2,1,NA,70.1,1,6.7,0.33,4.5,11.67,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,2,1,1,1,2,"66.70%",9,1,1,"0.00%","0.00%","33.30%","0.00%","33.30%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"Ty Richardson","UC DAVIS",58,85.69,"A",72.3,70.3,73.2,NA,5,0,3,NA,56.3,1,7,0.1,4,4.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,1,1,2,1,"50.00%",4,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%","0.00%","0.00%",3,0,0,0,NA,0,0,0
"Camryn Williams-Dalton","BROWN",77,84.97,"A",70.7,70.3,66.5,60,6,2,2,NA,58.8,1,10.4,0.52,5.6,8,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,"14.30%",1,0,0,2,4,4,3,5,"55.60%",28,3,1,"0.00%","0.00%","33.30%","11.10%","11.10%","0.00%","16.70%",5,0,1,2,0,0,0,0
"Chris Johnson II","MONTANA",38,84.75,"A",83.8,87.7,58.4,NA,3,0,1,NA,56.3,1,7,0.1,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.00%",0,0,0,0,2,1,2,1,"50.00%",2,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%","0.00%","0.00%",4,0,0,0,NA,0,0,0
"Richard McKneely","SE LA",60,84.46,"A",80.5,78.8,75.1,NA,5,2,1,NA,59.4,0,3.9,0.86,7.5,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,2,2,2,3,4,"50.00%",30,0,0,"2.90%","0.00%","0.00%","12.50%","0.00%","0.00%","0.00%",2,0,1,3,NA,0,0,1
"Devin Malloy","PENN",36,84.18,"A",68.6,66.4,69.3,NA,1,0,1,NA,39.6,2,14.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,2,2,2,0,"0.00%",0,0,2,"0.00%","0.00%","0.00%","0.00%","22.20%","0.00%","0.00%",0,0,0,4,NA,0,0,0
"D'Arius Carmouche","INCAR WORD",40,83.19,"A",84.4,84.5,64.3,NA,1,0,0,NA,39.6,1,12.8,0.32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,4,1,"20.00%",7,0,1,"0.00%","0.00%","0.00%","0.00%","20.00%","0.00%","0.00%",1,0,0,3,NA,0,0,0
"Drew Faulkner","UC DAVIS",26,82.85,"A",78.5,78.4,63.9,60,2,0,0,NA,39.6,1,20.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,2,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%","0.00%","0.00%",2,0,0,1,0,0,0,0
"Kaden Edwards","CHATTNOOGA",18,82.01,"A",76.9,76.2,64.9,NA,1,0,0,NA,39.6,1,8,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","100%","0.00%","0.00%",0,0,0,0,NA,0,0,0
"J'vion Luster","WOFFORD",35,80.98,"A",73.8,74.6,63.8,NA,NA,0,0,NA,39.6,1,31,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","100%",NA,NA,1,0,0,0,NA,0,0,0
"David Jones","SE MO ST",62,80.86,"A",79.1,83.3,56.3,NA,2,1,1,NA,25,1,14.6,0.35,3.7,4,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"60.00%",1,0,0,1,3,2,3,3,"60.00%",11,0,1,"0.00%","0.00%","0.00%","20.00%","20.00%","33.30%","100%",5,0,1,0,NA,0,0,0
"Noah Taylor","PRESBYTERN",84,80.51,"A",65,61,80.3,52.1,8,1,1,NA,72.1,1,13,0.63,8,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"0.00%",1,0,1,1,3,3,1,3,"60.00%",24,1,1,"2.60%","0.00%","20.00%","0.00%","20.00%","0.00%","0.00%",6,0,0,1,16.7,1,0,1
"Trevon Cannon","WM & MARY",67,80.37,"A",66.4,68.9,53.7,71.1,6,1,1,NA,39.6,1,14,0,0,26.5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,"25.00%",0,0,1,1,3,1,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%","16.70%","50.00%",3,0,0,0,100,0,0,0
"Tymir Wynn","COLGATE",59,80.15,"A",75,75.8,66.4,54.9,2,1,0,NA,45.8,1,12.5,0.5,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,1,1,3,3,"37.50%",19,0,3,"0.00%","0.00%","0.00%","0.00%","37.50%","0.00%","0.00%",1,0,0,2,0,0,0,0
"Jordan Taylor","VILLANOVA",62,79.6,"B",65.2,62.6,69.2,NA,5,2,1,NA,42.4,1,14.7,0.42,5.5,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,"16.70%",1,0,1,2,4,3,2,2,"33.30%",11,2,2,"0.00%","0.00%","33.30%","0.00%","33.30%","33.30%","0.00%",3,0,0,0,NA,0,0,0
"RJ Pooler","PRESBYTERN",43,79.47,"B",71.2,69.2,70.8,NA,5,0,3,NA,56.3,0,3.5,0.22,2.5,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0.00%",1,1,0,0,1,1,1,2,"50.00%",5,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",6,0,0,1,NA,0,0,0
"Jadyn Marshall","CAL POLY",63,79.23,"B",73.4,72.9,67.9,NA,8,2,3,NA,85.4,0,4.3,0.74,6.7,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,2,2,3,3,"75.00%",20,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",6,0,0,1,NA,0,0,0
"Ezra Fearon","PENN",19,79.16,"B",73.2,71,68.5,NA,5,2,1,NA,0,0,0,0,0,8,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,0,0,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"Drew Minich","FORDHAM",53,78.62,"B",71.4,58.1,88.7,67.9,6,0,2,NA,62.5,0,12,0.33,9,4.67,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"25.00%",1,0,2,0,3,2,1,1,"50.00%",9,1,0,"0.00%","0.00%","50.00%","0.00%","0.00%","0.00%","40.00%",5,0,0,1,16.7,1,0,0
"D.J. Adams","CHATTNOOGA",44,78.48,"B",71,69.1,70.5,NA,3,1,1,NA,39.6,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,1,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"Dray Duncan","NC A&T",55,78.44,"B",72.7,68.9,79.9,NA,6,1,2,NA,101,0,7.8,1.06,8.3,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,1,2,2,2,4,"100%",33,2,0,"0.00%","0.00%","50.00%","0.00%","0.00%","0.00%","0.00%",5,0,0,0,NA,0,0,0
"Jaiden Allos","MERCYHURST",51,78.09,"B",63.8,57.6,80,55.6,6,2,2,NA,67.4,1,9.4,1.91,15.3,3.33,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,"14.30%",2,0,1,2,4,4,2,4,"44.40%",61,3,2,"6.30%","0.00%","33.30%","0.00%","22.20%","0.00%","33.30%",4,0,0,2,0,1,0,2
"Tywan Royal","AUSTINPEAY",34,77.89,"B",72.4,71,67.8,NA,2,0,1,NA,39.6,0,31,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,0,0,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,1,NA,0,0,0
"Nyair Domnie","NEW HAMP",23,77.84,"B",76.4,76.4,62,NA,1,0,1,NA,56.3,1,18,0.57,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,1,1,"50.00%",4,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"Aj Lopez","HARVARD",15,77.79,"B",74.5,73.7,60,NA,NA,0,0,NA,39.6,1,31,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%",NA,NA,0,0,0,0,NA,0,0,0
"Jackson Dowd","LEHIGH",57,77.77,"B",66.9,56.1,83.9,69.3,8,3,1,NA,108.3,0,13.8,1.4,14,-2,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,"0.00%",1,1,1,3,3,3,0,3,"75.00%",42,2,0,"3.30%","0.00%","50.00%","0.00%","0.00%","0.00%","0.00%",7,0,0,1,12.5,0,0,1
"Deandre Creary","AUSTINPEAY",39,77.37,"B",69.3,67.1,72.5,58.1,2,0,1,NA,42.4,0,22,0.32,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,0,0,0,0,1,"33.30%",6,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,1,0,0,0,0
"Adonis Marshall","MERCYHURST",52,76.72,"B",71.2,70.5,63.6,NA,4,1,1,NA,39.6,0,7.5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"0.00%",0,1,0,1,1,1,2,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",3,0,0,2,NA,0,0,0
"Tareq Council","CHISTA",65,76.26,"B",66.3,67.5,60.7,NA,6,3,1,NA,39.6,0,7,0,0,30,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,"14.30%",0,0,0,3,2,1,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","20.00%","0.00%",2,0,0,2,NA,0,0,0
"Adrian Patterson","SE MO ST",51,75.14,"B",70.6,72.2,60.2,60,4,1,1,NA,42.4,0,16.7,0.33,8,-5,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"20.00%",1,1,0,1,1,0,1,1,"33.30%",8,0,1,"0.00%","0.00%","0.00%","0.00%","33.30%","50.00%","0.00%",5,0,0,1,0,0,0,0
"Omaris McMiller Jr.","BRYANT",63,74.94,"B",68.5,71.5,64.2,NA,4,1,2,NA,87.5,1,19,1.94,33,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"20.00%",0,0,0,1,3,2,4,2,"40.00%",66,2,1,"2.90%","0.00%","40.00%","20.00%","20.00%","0.00%","20.00%",4,0,1,1,NA,0,0,1
"Tristan Johnson","BUTLER",59,74.19,"B",74.5,74.4,63.4,NA,2,1,1,NA,39.6,0,5.7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,1,1,3,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,3,NA,0,0,0
"Anthony Young","N ALABAMA",72,74.18,"B",69.3,66.7,74.7,NA,4,1,1,NA,107.8,2,11.4,1.12,11.8,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"20.00%",1,0,0,1,4,4,2,4,"50.00%",47,2,2,"2.40%","0.00%","25.00%","0.00%","25.00%","0.00%","33.30%",5,0,0,2,NA,0,0,1
"England Allen","BUCKNELL",55,74.01,"B",72.2,67.4,71.5,61.6,5,0,1,NA,56.3,0,6.5,0.36,5,6.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0.00%",0,0,1,1,1,1,1,2,"50.00%",10,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",4,0,0,2,50,1,0,0
"Josh Wiggins","HOUCHR",85,73.88,"B",71.1,71.6,64.8,57.1,9,1,4,NA,95.2,0,6.7,1.07,8,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,3,3,4,6,"85.70%",48,2,0,"2.20%","0.00%","28.60%","0.00%","0.00%","0.00%","0.00%",6,0,0,0,0,0,0,1
"Brandon Webster","YALE",72,73.84,"B",70.9,74.7,52.9,59.1,0,0,0,NA,39.6,2,23.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"100%",0,0,0,0,2,1,3,0,"0.00%",0,0,3,"0.00%","0.00%","0.00%","0.00%","75.00%","100%","0.00%",2,0,0,0,0,0,0,0
"Olatunde Mkparu","BRYANT",65,73.77,"B",69.2,65.6,77.1,NA,5,2,0,NA,50.3,0,20.7,1.15,19.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,2,2,2,2,"28.60%",39,1,2,"2.90%","0.00%","14.30%","0.00%","28.60%","0.00%","0.00%",2,0,0,3,NA,0,0,1
"Amari Gardner","HOLY CROSS",57,73.71,"B",77,77,63,NA,2,0,1,NA,71.5,1,7,0.56,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,2,4,"66.70%",20,1,1,"0.00%","0.00%","16.70%","0.00%","16.70%","0.00%","0.00%",2,0,0,1,NA,0,0,0
"Michael Bonsu","GEORGETOWN",38,73.61,"B",73.4,73.2,61.5,NA,2,0,1,NA,39.6,0,17.8,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"33.30%",0,1,0,0,1,1,2,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","25.00%","0.00%","33.30%",1,0,0,2,NA,0,0,0
"Ignatious Williams","LEHIGH",64,73.57,"B",67.6,67,64.8,NA,2,1,1,NA,47.9,1,10,0.39,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,2,2,2,2,"40.00%",14,1,1,"0.00%","0.00%","20.00%","0.00%","20.00%","0.00%","0.00%",1,0,0,2,NA,0,0,0
"Gavin Hagan","INDIANA ST",22,73.3,"B",75.3,72.2,63.2,70.8,3,1,1,NA,95.8,0,5,0.93,7,5,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,"0.00%",0,0,2,1,0,0,1,2,"100%",14,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,50,1,0,0
"Jaiydyn Johnson","STF AUSTIN",54,73.26,"B",72.1,72.1,64.1,NA,1,0,0,NA,42.4,1,14,0.3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,1,1,2,1,"33.30%",9,0,2,"0.00%","0.00%","0.00%","0.00%","66.70%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"Nate Olson","BUCKNELL",29,73.25,"B",77.3,78.9,62.5,58.5,2,1,0,NA,56.3,0,20,1.56,25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,1,1,1,1,"50.00%",25,1,0,"6.30%","0.00%","50.00%","50.00%","0.00%","0.00%","0.00%",0,0,1,1,0,0,0,1
"Cam Vandible","STF AUSTIN",30,73.24,"B",71.1,73.4,61.4,58.6,2,1,0,NA,39.6,1,9,0.71,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,2,1,2,1,"25.00%",10,1,2,"0.00%","0.00%","25.00%","0.00%","50.00%","0.00%","0.00%",1,0,0,1,0,0,0,0
"Torian Roberts","PRINCETON",49,73.14,"B",70.2,67.1,72.3,NA,4,0,2,NA,83.3,0,-1,0.22,4,5,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"20.00%",1,2,0,0,1,1,1,1,"100%",4,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","33.30%",3,0,0,0,NA,0,0,0
"Makai Frisby","STF AUSTIN",37,73.06,"B",67.6,61.7,79.8,NA,3,2,1,NA,53.5,0,19.7,0.85,17,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,2,1,1,1,1,"33.30%",17,1,0,"5.00%","0.00%","33.30%","0.00%","0.00%","0.00%","0.00%",0,0,0,2,NA,0,0,1
