"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Passer.Rating.Allowed","Interceptions","Average.Depth.of.Tackle","Yards.per.Reception.Allowed","Average.Depth.of.Target.per.Coverage","Receiving.Yards.Allowed.per.Snap","Assist.on.Pass.Plays","Drops...Off.Targets.Receptions.Forced","Missed.Tackles.on.Run.Plays","Lined.up.in.Press.Coverage","Missed.Tackles.on.Pass.Plays","Pass.Break.Up","Plays.of.15..Yards.Allowed","Pass.Rush.Productivity","Run.Tackle.for.Losss.or.No.Gain","Open.Targets","Pass.Tackle.for.Loss.or.No.Gain","Touchdowns.Allowed","Hurries","Dropped.Int","Forced.Fumble","Beaten.Defender","Hits","Pursuit.Pressure","Fumble.Recovery","Sacks","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Unblocked.Pass.Rush","Batted.Passes.at.the.Line","Interception"
"Luca Moore","IDAHO",45,77.27,"B",73.2,67.5,79.3,59,6,2,2,0,0,9,0,0,0,1,0,0,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,"0.00%",1,1,1,2,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Elijah Hughes","TXAMEA",51,76.54,"B",74.1,70.2,77.3,60,6,2,0,39.6,0,13.75,0,43,0,0,0,0,NA,1,1,0,50,0,0,0,0,1,0,0,0,0,0,0,0,"14.30%",0,0,1,2,1,1,1,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","0.00%","100%",1,NA,0
"Jamel Acosta-Lewis","STF AUSTIN",35,75.65,"B",83.4,85.8,65.7,NA,4,1,1,39.6,0,0,0,17.5,0,0,0,0,NA,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,3,0,"0.00%",0,0,2,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","0.00%","0.00%",0,NA,0
"Buddha Garrett","INCAR WORD",32,74.72,"B",84,88.4,65.7,60,4,0,4,39.6,0,3.67,0,13,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"20.00%",3,0,0,0,1,0,3,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","25.00%","0.00%",0,NA,0
"Ruben Lopez","SAN DIEGO",52,74.04,"B",76.9,81.4,62.2,59.4,8,4,1,39.6,0,18,0,-7,0,1,0,1,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"20.00%",0,0,0,4,2,1,2,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","20.00%","20.00%",0,NA,0
"Harrison Keith","DARTMOUTH",59,73.59,"B",76.3,66.3,82.1,NA,9,3,1,0,0,9.2,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,3,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Jamie Tyson","VILLANOVA",62,73.5,"B",70.5,68.4,70.9,58,6,2,2,72.9,1,14.5,11,9,0.58,1,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",2,1,0,2,2,1,1,1,"100%",11,0,0,0,"0.00%","0.00%","0.00%","100%",11,"0.00%","0.00%","0.00%",0,NA,1
"Cam Smith","YNGTOWN ST",57,73.18,"B",73.1,77.1,64.9,NA,12,1,2,39.6,0,12.7,0,27,0,0,1,1,NA,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"7.70%",2,0,0,1,2,0,1,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"50.00%","8.30%","0.00%",0,NA,0
"Myles Johnson","TOWSON",39,73.09,"B",88,88.7,61.2,NA,3,1,0,42.4,0,0,7,16.7,0.26,1,1,0,NA,0,1,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,"0.00%",0,0,0,1,1,1,2,1,"33.30%",7,0,1,0,"0.00%","0.00%","0.00%","0.00%",2.3,"33.30%","0.00%","0.00%",0,NA,0
"Cohen Cook","NEW HAMP",69,73.07,"B",74.1,68.3,77.6,NA,12,4,3,0,0,3.83,0,0,0,0,0,1,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"7.70%",3,0,0,4,2,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","9.10%","0.00%",0,NA,0
"Kamrin Canterbury","PRVIEW A&M",59,72.55,"B",73.9,74.8,68.8,59.2,7,5,1,39.6,0,4.5,0,7,0,1,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12.50%",1,0,0,5,2,0,1,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","14.30%","0.00%",0,NA,0
"Pig Cage","INCAR WORD",41,72.48,"B",75.2,75.1,70.1,NA,6,0,2,0,0,2,0,0,0,0,0,1,NA,0,0,0,NA,2,0,0,0,0,0,0,0,0,0,1,0,"14.30%",2,2,0,0,1,0,1,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","25.00%","0.00%",0,NA,0
"Mason Strader","BUTLER",17,72.2,"B",75.9,64.7,91.9,NA,2,1,1,0,0,1,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,"0.00%",1,0,0,1,1,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"DeAngelo Ponder","ABILENE CH",57,71.94,"B",70.5,69.6,68.4,60,6,4,0,39.6,0,13,0,25,0,2,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,4,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Jordan Coleman","ILL STATE",40,71.44,"B",75.2,75.1,69,58.9,3,0,1,39.6,0,9,-6,17.5,-0.25,0,1,0,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",0,1,0,0,1,1,2,1,"25.00%",-6,0,1,0,"0.00%","0.00%","0.00%","0.00%",-1.5,"25.00%","0.00%","0.00%",0,NA,0
"Brenden Bradshaw","HOUCHR",69,70.83,"B",77.1,74,79.5,57.5,6,0,1,39.6,0,5.75,0,6,0,0,1,1,NA,0,0,0,16.7,0,0,0,0,1,0,0,0,0,0,0,0,"14.30%",1,0,1,0,1,0,1,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"50.00%","20.00%","0.00%",1,NA,0
"Nassor Ashenafi","W CAROLINA",27,70.58,"B",76.5,71.7,70.2,71.8,4,0,2,39.6,0,-5,0,10,0,0,0,0,NA,0,1,0,NA,1,0,0,0,0,1,0,0,0,0,0,1,"0.00%",1,1,1,0,0,0,2,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","0.00%","0.00%",0,NA,0
"Brayden Rosa","UC DAVIS",65,69.98,"B",67.4,59.8,86.2,NA,7,5,2,50.7,0,1.5,15,10.7,0.33,3,1,0,NA,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",2,1,0,5,2,2,0,1,"33.30%",15,1,0,0,"2.20%","0.00%","33.30%","0.00%",5,"0.00%","0.00%","0.00%",0,NA,0
"Ryan Barrett","STNY BROOK",50,69.76,"B",74.6,77.9,57.7,59.2,6,2,2,47.9,0,9,3.5,9.2,0.21,2,2,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,2,3,1,3,2,"40.00%",7,0,1,0,"0.00%","0.00%","0.00%","0.00%",1.4,"20.00%","0.00%","0.00%",0,NA,0
"Eric Miles","STHLSK",31,69.19,"B",73,71.7,68.2,NA,3,1,0,39.6,0,14,0,17,0,1,1,0,NA,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,1,1,1,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"50.00%","0.00%","0.00%",0,NA,0
"Debo Hall","PRESBYTERN",59,69.16,"B",73.4,72.1,71,NA,5,1,1,39.6,0,7.5,9,9.3,0.27,0,2,0,NA,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,1,3,2,2,1,"25.00%",9,1,2,0,"0.00%","0.00%","25.00%","0.00%",2.3,"50.00%","0.00%","0.00%",0,NA,0
"Andre DePina-Gray","RHODE ISLD",53,68.88,"B",72.6,66.1,76.3,59.6,9,1,2,0,0,9.86,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",2,0,0,1,1,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Noah Thompson","S DAK ST",28,68.86,"B",66.7,58.9,80,NA,6,2,2,39.6,0,5.67,0,14,0,1,2,0,NA,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,2,1,1,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Zach Wusstig","IDAHO",62,68.8,"B",68.5,56.3,75,79.4,11,2,4,0,0,5.2,0,0,0,0,0,1,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,"15.40%",2,1,1,2,3,2,2,0,"0.00%",0,0,0,1,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","12.50%","20.00%",0,NA,0
"Ezra Carter","BRYANT",63,68.46,"B",64.3,69.7,60.9,NA,6,2,2,50,1,4.67,5.5,-4,0.32,1,0,1,NA,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,"14.30%",2,1,0,2,4,2,1,2,"100%",11,0,0,0,"0.00%","0.00%","0.00%","50.00%",5.5,"0.00%","20.00%","0.00%",0,NA,1
"Stephan French","W GEORGIA",34,68.41,"B",72.1,69.1,72.5,NA,7,1,3,0,0,6.33,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,1,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Tyree Myrick","WOFFORD",37,68.13,"B",71.4,65,72.9,NA,7,1,1,0,0,23.8,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,1,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Lucas Theriaque","NEWHVN",73,68.13,"B",74.4,72.7,68.8,68.3,10,3,2,78.1,0,7.5,4.3,7.5,0.3,2,1,0,NA,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,"0.00%",1,0,1,3,2,1,2,3,"75.00%",13,1,0,0,"0.00%","0.00%","25.00%","0.00%",3.3,"0.00%","0.00%","0.00%",0,NA,0
"Myles Hansford","NEWHVN",57,67.6,"B",65.2,63.4,68.9,59.6,6,2,1,51.7,1,0,15.7,11,1.15,2,2,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,3,3,1,3,"60.00%",47,3,0,0,"2.40%","0.00%","60.00%","20.00%",9.4,"0.00%","0.00%","0.00%",0,NA,1
"Arison Walker","INDIANA ST",28,67.57,"B",74.8,75.7,60,NA,1,0,1,37.5,1,0,3.7,4.8,0.46,0,1,0,NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"50.00%",0,0,0,0,1,1,2,3,"75.00%",11,0,0,0,"0.00%","0.00%","0.00%","25.00%",2.8,"0.00%","0.00%","50.00%",0,NA,1
"Xaden Benson","HARVARD",49,67.56,"B",54.3,53.2,58,59.1,3,0,1,0,1,6,0,26,0,0,2,1,NA,0,0,0,12.5,0,0,0,0,1,0,0,0,0,1,0,0,"25.00%",1,0,1,0,4,2,1,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","33.30%",0,"0.00%","33.30%","0.00%",0,NA,1
"Dallas Harper","DUQUESNE",60,66.98,"B",67.2,66,67.1,NA,4,0,1,31.3,1,4,13,22.5,0.43,0,0,0,NA,1,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,"20.00%",0,0,0,0,2,2,1,1,"50.00%",13,1,0,0,"0.00%","50.00%","50.00%","50.00%",6.5,"0.00%","0.00%","25.00%",0,NA,1
"JP Schmidt","YALE",17,66.68,"B",71.2,65.2,72.2,60,6,3,1,0,0,8,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,3,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Mekhi Hicks","HARVARD",37,66.68,"B",79.4,80.3,61.8,NA,2,0,0,39.6,0,0,0,6.5,0,0,0,0,NA,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,2,0,"0.00%",0,0,2,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","0.00%","0.00%",0,NA,0
"Ant Fisher","TENN MARTN",19,66.3,"B",75.8,75.1,64.6,NA,1,0,0,39.6,0,13,0,28,0,0,0,0,NA,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,1,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","0.00%","0.00%",0,NA,0
"Shahid Wilson","N ARIZONA",45,66.3,"B",69.9,66.1,72.6,59.2,5,2,1,0,0,11,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,2,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Bryant Meredith","MONTANA ST",39,65.88,"B",68.5,66.6,67.4,NA,5,3,1,0,0,4.5,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,3,1,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Jamarion Ravenell","GARD-WEBB",39,65.77,"B",66.7,65.2,66.4,NA,1,0,0,0,0,51,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Kam Baah-Slay","CHATTNOOGA",43,65.39,"B",60.2,54.9,72.3,NA,5,2,0,39.6,1,5,17,19.5,0.63,1,1,0,NA,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,2,2,1,1,"50.00%",17,1,0,0,"3.70%","0.00%","50.00%","50.00%",8.5,"0.00%","0.00%","0.00%",0,NA,1
"Dillon Williams","ABILENE CH",71,65.37,"B",72.5,64.1,77.7,73.4,8,0,5,96.9,0,0,10.3,7.9,1.77,0,1,0,NA,0,1,2,21.4,2,0,1,0,3,0,0,0,1,0,0,0,"0.00%",3,3,4,0,3,3,3,6,"75.00%",62,3,1,0,"5.70%","0.00%","37.50%","0.00%",7.8,"12.50%","0.00%","0.00%",3,NA,0
"Trevor Hardy","AUSTINPEAY",52,65.24,"B",77.4,73.4,77.9,NA,6,3,1,95.8,0,28,7,7,0.23,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,"0.00%",0,0,0,3,0,0,1,1,"100%",7,0,0,0,"0.00%","0.00%","0.00%","0.00%",7,"0.00%","0.00%","0.00%",0,NA,0
"Phillip Harris","NEW HAMP",60,65.22,"B",70.9,69.9,68.6,58.9,9,5,3,56.3,0,7.33,3.5,4.5,0.27,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",2,0,0,5,4,1,2,2,"50.00%",7,0,0,0,"0.00%","0.00%","0.00%","0.00%",1.8,"0.00%","0.00%","0.00%",0,NA,0
"Jayden Joselin","W CAROLINA",16,64.96,"B",71.6,65.2,72.6,NA,4,2,0,0,0,9,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Tyson Grimm","RHODE ISLD",36,64.78,"B",70.5,66.9,71.6,NA,2,1,0,0,0,5,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"DaMario Crawford","STNY BROOK",58,64.54,"B",70.1,67.6,74.3,57.1,1,0,1,0,0,1,0,0,0,0,0,0,NA,0,0,0,16.7,0,0,0,0,0,0,0,0,1,0,0,0,"0.00%",1,0,1,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",1,NA,0
"Mason Taylor","NEWHVN",48,64.17,"B",67.1,59.1,72.8,66.8,5,2,0,0,0,3.67,0,0,0,0,0,0,NA,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,"0.00%",0,0,1,2,1,1,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",1,NA,0
"Damani Maxson","PRVIEW A&M",54,63.82,"B",78.8,80.1,69.9,NA,8,1,5,79.2,0,3.67,2.3,0,0.26,0,0,1,NA,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,"11.10%",2,1,0,1,1,0,3,3,"100%",7,0,0,0,"0.00%","0.00%","0.00%","0.00%",2.3,"0.00%","20.00%","0.00%",0,NA,0
"Chris Jean","CENT CT ST",38,63.42,"B",75.3,83,49.7,NA,6,1,1,56.3,0,9.5,3,15.5,0.17,0,0,0,NA,0,1,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,"0.00%",0,0,0,1,2,0,2,1,"50.00%",3,0,1,0,"0.00%","0.00%","0.00%","0.00%",1.5,"50.00%","0.00%","0.00%",0,NA,0
"Colter Petre","MONTANA ST",67,63.35,"B",66.6,66.9,65.3,56.9,8,2,3,0,0,4.2,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",3,0,0,2,2,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Brock Cornell","PENN",25,63.23,"B",69.5,66.4,68.6,NA,2,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",0,1,0,1,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Dontay Johnson","S DAK ST",49,63.19,"B",72.6,66.7,82.6,NA,11,3,2,84.4,0,3.67,6.3,13.3,0.61,0,1,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,3,1,1,0,3,"75.00%",19,0,0,0,"0.00%","0.00%","0.00%","0.00%",4.8,"0.00%","0.00%","0.00%",0,NA,0
