"Name","Team","SNAPS","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"KRIS MANU","MIAMI OH",52,55.61,"C",50.7,0.019,83.9,0.357,0,0,0,0,0,0,0
"TYLER CAPPI","TROY",68,54.08,"C",56.9,0.044,75.5,0.205,0,0,0,0,1,0,0
"PHILLIP GRAY","MEMPHIS",64,53.06,"C",55.7,0.031,79.8,0.178,0,0,0,0,0,0,0
"VAN WELLS","OREGON ST",78,52.99,"C",67.2,0.039,70,0.1,0,0,0,0,2,0,0
"SEAN DUGERY","LA MONROE",63,52.39,"C",62.5,0.063,53.8,0.167,0,0,0,0,1,0,0
"PHILLIP OCON","COLO STATE",70,51.41,"C",65.2,0.043,78.8,0.031,0,0,0.026,1,0,0,0
"CHANTZ CHARGUALAF","UTAH ST",36,49.95,"C",55.6,0,83.3,0.25,0,0,0,0,0,0,0
"OSCAR WEIGEL","FRESNO ST",46,49.89,"C",62.7,0.065,46.5,0.13,0,97.8,0.043,1,0,0,0
"ISAAC LUCAS","S DIEGO ST",50,49.79,"C",63.4,0.02,66.8,0,0.042,97.9,0.042,0,0,1,0
"NATE BLEDSOE","RICE",52,49.1,"C",61.7,0.019,78.3,0.051,0,0,0,0,0,0,0
"BRADEN CUNNINGHAM","FAU",90,48.6,"C",59.1,0.011,86.1,0.063,0,0,0,0,0,0,0
"JOHN STONE","TEMPLE",56,44.5,"C",56.5,0,84.1,0.121,0,0,0,0,0,0,0
"JACOB NORCROSS","NEVADA",55,42.44,"C",58.3,0.018,74.1,0.108,0,0,0,0,1,0,0
"TY FURNISH","GA SOUTHRN",55,41.33,"C",59.7,0,83.3,0,0,0,0,0,0,0,0
"MALACHI PRECIADO","TULSA",61,41.22,"C",65.1,0.049,72.3,0.065,0,0,0.067,2,0,0,0
"KHALIL COLLINS","USF",56,40.08,"C",50.4,0.018,74.2,0.176,0,0,0,0,0,0,0
"NICHOLAS GALLEGOS","E MICHIGAN",69,39.44,"D",57.7,0.043,55.9,0.13,0,100,0.043,2,0,0,0
"ADAM LEPKOWSKI","UAB",82,38.49,"D",59.2,0.049,61,0.15,0,98.8,0.071,3,0,0,0
"BROCK STUKES","SM HOUSTON",72,37.69,"D",58.2,0.028,68.9,0.2,0,0,0,0,4,0,0
"ROY BRACKINS III","LA TECH",33,37.42,"D",55,0,61.6,0.118,0,100,0,0,1,0,0
"JOB MAVRICK","OHIO",42,37.15,"D",58.3,0,76.8,0.125,0.039,0,0.039,0,0,0,1
"MASON MYERS","ARK STATE",59,36.48,"D",61.2,0.034,54.1,0.077,0,100,0.03,1,2,0,0
"JASON MACIEJCZAK","WYOMING",55,35.56,"D",58.8,0.018,76.4,0.069,0,0,0.039,1,0,0,0
"BRIAN WILLIAMS JR.","UTEP",46,35.17,"D",65.4,0.087,28.7,0.16,0.095,88.1,0.143,1,2,1,1
"SPENCER BECKEMAN","W MICHIGAN",69,34.33,"D",52.4,0.029,68.8,0.195,0,0,0.036,1,0,0,0
"NOAH DUNHAM","WASH STATE",58,31.9,"D",53.9,0,73.4,0.154,0.063,0,0.063,0,0,2,0
"GRANT HAWORTH","BALL ST",63,31.17,"D",53.3,0.016,70.3,0.25,0.023,0,0.047,1,1,1,0
"STEWART TAUFA","BOISE ST",68,27.74,"D",52.9,0,71.8,0.188,0,97.2,0.056,2,1,0,0
"GAVIN MARKS","TULANE",60,23.4,"D",59,0.017,54.9,0.136,0.026,0,0.053,1,1,1,0
"ALEC JOHNSON","W KENTUCKY",83,21.53,"D",62.7,0.024,50.8,0.063,0.02,0,0.039,1,2,1,0
"BRANDON BEST","E CAROLINA",42,21.25,"D",50.7,0,65.5,0.2,0,0,0.045,1,0,0,0
"COOPER FORDHAM","LA LAFAYET",48,19.8,"F",61.6,0.021,63.1,0.04,0,0,0.087,2,0,0,0
"CHANDLER STRONG","N TEXAS",71,18.57,"F",54,0.014,54.2,0.189,0,0,0.029,1,2,0,0
"LANDON HRON","N ILLINOIS",57,17.81,"F",58.7,0.018,65.2,0.105,0,0,0.079,3,0,0,0
"LUKE RECTOR","TOLEDO",45,13.61,"F",48.7,0,35.9,0.235,0.071,96.4,0.071,0,2,2,0
"BEN MIDEA","KENT STATE",45,13.22,"F",46.3,0,52,0.263,0,0,0.039,1,0,0,0
"ETHAN SPENCER","HAWAII",77,12.56,"F",59.9,0.013,48.9,0.039,0,0,0.02,1,3,0,0
"BRAYDEN WALKER","DOMINION",57,12.5,"F",62.6,0.035,37,0.054,0.05,0,0.1,1,1,0,1
"LOSINI MAKA","C MICHIGAN",46,12.18,"F",60.3,0,44,0,0.045,0,0.045,0,2,1,0
"KAIN MCDONALD","COAST CAR",69,9.11,"F",60.8,0.015,49.2,0.118,0.019,0,0.039,1,4,0,1
"DAVEION HARLEY","FIU",78,0.42,"F",53.8,0.013,42.7,0.182,0,0,0.071,4,0,0,0
"ANDREW DUDLEY","MARSHALL",51,0,"F",50.7,0,45.1,0.191,0.033,0,0.1,2,0,1,0
