"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Season","Position","Conference","Conference_Level","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","row_id"
"ROMAN GAGLIANO","MIDDLE TN",51,67.33,"B",2026,"QB","C-USA","G5",70.8,28,27,21,"77.80%","80.80%",197,7.3,"71.10%",2,0,0,2.21,0,1,0,"0.00%",0,"0.00%",0,121.8,6.3,"63.00%","33.30%","32.50%",9,"28.60%",25,"16.00%","12.00%","16.00%","8.00%","72.00%",57,33,11,1,1,0,0,0,8,0.3,1,"33.30%",0,1,"0.00%",38
"OWEN MCCOWN","UTSA",52,66.97,"B",2026,"QB","The American","G5",76.5,32,29,22,"75.90%","78.60%",275,9.5,"52.40%",3,0,1,2.34,0,1,1,"3.10%",1,"3.50%",0,139.3,10,"51.70%","44.80%","50.90%",12,"31.30%",28,"17.90%","14.30%","17.90%","7.10%","67.90%",57.3,5,5,0,0,0,0,1,-6,11,1,"0.00%",1,0,"0.00%",11
"GOOSE CROWDER","TROY",68,66.05,"B",2026,"QB","Sun Belt","G5",81,30,25,12,"48.00%","72.70%",165,6.6,"23.00%",3,0,4,2.75,1,4,1,"3.30%",2,"8.00%",4,109.2,16.4,"32.00%","56.00%","83.00%",10,"50.00%",21,"9.50%","14.30%","28.60%","19.10%","57.10%",60.2,63,9,0,3,0,0,3,0.3,8.7,1,"42.90%",0.43,3,"0.00%",4
"TREY OWENS","ARK STATE",63,63.07,"B",2026,"QB","Sun Belt","G5",72.5,37,32,21,"65.60%","80.00%",325,10.2,"42.80%",1,4,3,2.99,0,1,2,"5.40%",2,"6.30%",3,69.9,9.2,"43.80%","46.90%","57.20%",16,"32.40%",29,"10.30%","20.70%","17.20%","10.30%","62.10%",78.6,59,9.8,0,2,0,0,2,2.7,7.2,2,"33.30%",0.33,2,"25.00%",42
"JACKSON ARNOLD","UNLV",65,62.82,"B",2026,"QB","MWC","G5",64,27,20,8,"40.00%","70.60%",116,5.8,"25.90%",0,0,1,3.14,3,2,1,"3.70%",0,"0.00%",4,59.6,10.4,"35.00%","50.00%","74.10%",9,"29.60%",15,"6.70%","20.00%","20.00%","33.30%","60.00%",71.5,105,6.2,2,7,0,0,5,2.6,2.6,6,"41.20%",0.29,3,"0.00%",26
"CAMERAN BROWN","GA STATE",42,62.35,"B",2026,"QB","Sun Belt","G5",90.4,21,21,16,"76.20%","76.20%",206,9.8,"47.60%",2,0,0,2.2,0,1,0,"0.00%",2,"9.50%",0,138.2,8.3,"52.40%","47.60%","52.40%",10,"28.60%",21,"14.30%","33.30%","19.10%","0","47.60%",57.5,15,5,0,0,0,0,0,2,3,0,"0.00%",0,0,"0.00%",45
"NICK POULOS","OHIO",59,62.17,"B",2026,"QB","MAC","G5",59.5,40,33,15,"45.50%","55.20%",167,5.1,"52.10%",1,0,1,2.88,1,5,1,"2.50%",1,"3.00%",1,71.1,14.4,"21.20%","66.70%","55.70%",12,"30.00%",29,"24.10%","17.20%","37.90%","13.80%","44.80%",69.6,72,8,1,5,0,0,3,4,4,6,"55.60%",0.33,4,"0.00%",48
"LUKE WEAVER","S JOSE ST",78,61.87,"B",2026,"QB","MWC","G5",80.4,44,40,23,"57.50%","82.90%",316,7.9,"31.30%",3,1,1,2.55,1,4,3,"6.80%",3,"7.50%",6,97.5,9.7,"52.50%","35.00%","70.30%",13,"29.50%",36,"8.30%","30.60%","16.70%","8.30%","52.80%",52.4,25,2.1,0,1,0,0,1,-0.5,1.9,3,"8.30%",0.08,1,"0.00%",53
"BRADEN ATKINSON","OREGON ST",78,61.06,"B",2026,"QB","Pac-12","G5",57,58,52,30,"57.70%","71.40%",388,7.5,"50.30%",1,0,4,2.57,1,7,2,"3.50%",0,"0.00%",5,87.7,11.7,"46.20%","48.10%","49.70%",19,"22.40%",47,"19.10%","14.90%","23.40%","10.60%","61.70%",58.7,8,2.7,1,1,0,0,0,0,0,2,"33.30%",0,0,"0.00%",61
"BISHOP DAVENPORT","S ALABAMA",81,58.95,"C",2026,"QB","Sun Belt","G5",72.5,34,30,19,"63.30%","65.50%",165,5.5,"51.50%",1,0,1,2.74,1,5,0,"0.00%",0,"0.00%",0,88.9,7.9,"46.70%","50.00%","48.50%",13,"44.10%",27,"18.50%","25.90%","25.90%","11.10%","48.10%",53.6,46,4.6,1,3,1,0,0,2.6,2,3,"30.00%",0,2,"28.60%",16
"MARCUS STOKES","MEMPHIS",60,58.7,"C",2026,"QB","The American","G5",62.5,19,16,12,"75.00%","80.00%",221,13.8,"49.80%",2,2,1,3.09,0,0,2,"10.50%",0,"0.00%",0,116.7,12.7,"43.80%","50.00%","53.40%",10,"47.40%",14,"14.30%","14.30%","14.30%","14.30%","71.40%",62.3,28,4.7,0,2,0,0,0,-0.2,2.7,2,"33.30%",0,1,"0.00%",36
"TREY HEDDEN","NEW MEX ST",55,58.58,"C",2026,"QB","C-USA","G5",77.9,23,22,11,"50.00%","54.50%",253,11.5,"52.60%",2,0,1,2.57,0,4,0,"0.00%",3,"13.60%",1,122,17.3,"31.80%","68.20%","47.40%",9,"30.40%",22,"18.20%","9.10%","50.00%","0","40.90%",59.1,2,1,0,0,0,0,0,1,0,0,"0.00%",0,0,"0.00%",47
"MADDUX MADSEN","BOISE ST",68,56.29,"C",2026,"QB","Pac-12","G5",78.2,36,31,15,"48.40%","51.70%",181,5.8,"47.00%",3,1,3,2.7,0,4,0,"0.00%",2,"6.50%",0,85.6,9.9,"45.20%","48.40%","59.10%",10,"22.20%",27,"18.50%","18.50%","37.00%","14.80%","44.40%",56.1,19,3.8,0,2,0,0,0,0,1.4,2,"40.00%",0,0,"0.00%",15
"CARTER JONES","NEVADA",55,55.31,"C",2026,"QB","MWC","G5",56.9,17,15,9,"60.00%","60.00%",164,10.9,"51.80%",2,1,0,3.19,0,0,1,"5.90%",1,"6.70%",0,109.4,10.8,"40.00%","60.00%","48.20%",6,"23.50%",13,"15.40%","0","30.80%","15.40%","69.20%",70.5,64,9.1,0,3,0,0,0,6.3,2.9,2,"42.90%",0,2,"0.00%",56
"RYDER BURTON","UAB",82,54.79,"C",2026,"QB","The American","G5",55.5,42,33,18,"54.50%","63.30%",219,6.6,"41.50%",1,1,1,3.25,0,4,2,"4.80%",1,"3.00%",1,72.7,10.1,"54.50%","36.40%","58.50%",13,"38.10%",29,"13.80%","17.20%","31.00%","13.80%","51.70%",58.9,48,4.4,1,3,0,0,2,-2,4.8,8,"27.30%",0.18,1,"0.00%",30
"CADEN VELTKAMP","FAU",90,53.79,"C",2026,"QB","The American","G5",65,57,53,34,"64.10%","74.50%",276,5.2,"40.60%",1,2,2,2.37,4,5,4,"7.00%",3,"5.70%",1,67.8,8.3,"47.20%","41.50%","60.10%",18,"21.10%",46,"6.50%","26.10%","19.60%","15.20%","54.40%",47.6,5,1.3,1,2,1,1,1,1.3,-0.3,2,"50.00%",0.25,0,"0.00%",8
"ELIJAH HOLMES","BUFFALO",84,53.55,"C",2026,"QB","MAC","G5",81.6,56,50,27,"54.00%","68.10%",198,4,"30.80%",3,0,1,2.35,1,3,0,"0.00%",1,"2.00%",5,83.6,9.3,"42.00%","52.00%","76.80%",15,"25.00%",46,"17.40%","34.80%","17.40%","8.70%","47.80%",52.2,24,2.4,0,1,0,0,1,0.9,1.3,5,"10.00%",0.1,1,"0.00%",62
"BAYLOR HAYES","TULSA",61,53.36,"C",2026,"QB","The American","G5",71.1,31,27,19,"70.40%","80.80%",295,10.9,"61.00%",1,1,0,2.44,1,0,1,"3.20%",1,"3.70%",2,103.2,9.2,"59.30%","37.00%","39.00%",11,"38.70%",24,"12.50%","25.00%","12.50%","12.50%","62.50%",54.3,26,3.7,0,1,0,0,0,0.9,1.6,4,"14.30%",0,0,"0.00%",52
"CADEN PINNICK","WASH STATE",58,53.22,"C",2026,"QB","Pac-12","G5",72.8,34,26,17,"65.40%","79.20%",152,5.8,"53.90%",0,2,3,3.01,1,2,1,"2.90%",0,"0.00%",2,48.9,4.3,"65.40%","26.90%","46.10%",12,"35.30%",23,"13.00%","26.10%","17.40%","13.00%","56.50%",65,87,7.3,1,4,1,1,6,2.4,3,5,"33.30%",0.5,4,"0.00%",46
"LANDYN LOCKE","SM HOUSTON",72,52.01,"C",2026,"QB","C-USA","G5",67.2,53,50,31,"62.00%","79.50%",340,6.8,"37.90%",3,1,2,2.18,0,1,2,"3.80%",3,"6.00%",4,93.8,9.1,"52.00%","34.00%","62.60%",17,"22.60%",43,"7.00%","16.30%","18.60%","16.30%","65.10%",53.4,-4,-2,0,0,0,0,0,-2,0,1,"0.00%",0,0,"0.00%",59
"JAYDEN DENEGAL","S DIEGO ST",49,51.81,"C",2026,"QB","Pac-12","G5",64.1,24,21,13,"61.90%","65.00%",145,6.9,"42.80%",2,2,0,2.82,0,1,1,"4.20%",2,"9.50%",0,74.6,11.8,"42.90%","52.40%","57.20%",10,"58.30%",19,"5.30%","10.50%","31.60%","10.50%","57.90%",66.7,22,7.3,0,2,0,0,0,1.3,1.7,3,"66.70%",0,1,"0.00%",12
"JJ KOHL","FIU",78,51.64,"C",2026,"QB","C-USA","G5",69.2,56,52,32,"61.50%","71.40%",320,6.2,"47.20%",1,2,1,2.57,0,2,2,"3.60%",0,"0.00%",3,69.4,7.4,"55.80%","38.50%","52.80%",15,"17.90%",45,"4.40%","31.10%","20.00%","15.60%","48.90%",71.1,42,7,0,2,1,1,2,1.7,4.3,3,"33.30%",0.33,2,"0.00%",28
"DESHAWN PURDIE","LIBERTY",67,51.3,"C",2026,"QB","C-USA","G5",77.7,34,32,18,"56.30%","62.10%",264,8.3,"27.30%",1,0,0,2.92,0,2,1,"2.90%",3,"9.40%",0,93.8,13.7,"40.60%","50.00%","73.90%",13,"32.40%",26,"15.40%","26.90%","34.60%","23.10%","38.50%",42.7,14,2,0,0,1,0,5,0,2,2,"0.00%",0.71,0,"20.00%",40
"TYLER HUGHES","WYOMING",55,46.61,"C",2026,"QB","MWC","G5",59.6,26,20,13,"65.00%","77.80%",151,7.5,"60.90%",0,3,2,3.03,1,0,1,"3.90%",1,"5.00%",1,48.1,6.8,"55.00%","35.00%","39.10%",7,"11.50%",16,"6.30%","18.80%","12.50%","25.00%","68.80%",59.8,63,7,1,4,0,0,0,3.2,2.1,4,"44.40%",0,3,"0.00%",13
"MAX JOHNSON","GA SOUTHRN",59,46.22,"C",2026,"QB","Sun Belt","G5",68.3,43,40,29,"72.50%","79.00%",289,7.2,"68.20%",1,0,1,2.38,0,4,1,"2.30%",0,"0.00%",1,100.9,6.7,"57.50%","37.50%","31.80%",15,"30.20%",36,"2.80%","22.20%","16.70%","11.10%","61.10%",57.3,1,1,0,0,0,0,0,0,0,1,"0.00%",0,0,"0.00%",2
"TAYVEN JACKSON","N TEXAS",58,43.69,"C",2026,"QB","The American","G5",74.7,31,29,22,"75.90%","84.60%",192,6.6,"55.70%",0,1,1,2.5,0,1,1,"3.20%",1,"3.50%",0,78.5,4.4,"62.10%","27.60%","44.30%",12,"29.00%",24,"8.30%","20.80%","8.30%","20.80%","70.80%",56.5,30,6,0,1,0,0,1,-1.4,7.4,1,"20.00%",0.2,1,"0.00%",10
"ETHAN HAMPTON","SO MISS",64,41.77,"C",2026,"QB","Sun Belt","G5",68.2,27,26,13,"50.00%","61.50%",180,6.9,"56.70%",1,1,0,2.23,0,3,0,"0.00%",0,"0.00%",3,69.4,9.2,"50.00%","50.00%","43.30%",12,"44.40%",22,"4.50%","40.90%","22.70%","18.20%","36.40%",53,9,4.5,0,1,0,0,1,2,2.5,1,"50.00%",0.5,0,"0.00%",5
"JAY KASTANTIN","BOWL GREEN",69,40.67,"C",2026,"QB","MAC","G5",68,33,31,24,"77.40%","86.70%",264,8.5,"54.50%",0,0,0,3.08,0,2,2,"6.10%",1,"3.20%",2,102.1,6.8,"54.80%","41.90%","45.50%",16,"21.20%",30,"3.30%","46.70%","13.30%","3.30%","40.00%",50.6,15,1.7,0,0,0,0,0,-1.4,3.1,2,"0.00%",0,0,"14.30%",63
"JOHN ALAN RICHTER","TOLEDO",45,40.54,"C",2026,"QB","MAC","G5",67.5,28,26,13,"50.00%","60.90%",206,7.9,"35.40%",2,2,1,2.85,1,3,2,"7.10%",2,"7.70%",1,70.4,11,"46.20%","42.30%","67.00%",8,"17.90%",22,"4.50%","13.60%","27.30%","18.20%","59.10%",55.6,-1,-0.5,0,0,0,0,0,-2.5,2,1,"0.00%",0,0,"0.00%",9
"BRAD JACKSON","TEXAS ST",46,39.91,"D",2026,"QB","Pac-12","G5",65.7,26,24,15,"62.50%","71.40%",150,6.3,"62.00%",0,1,1,2.4,1,3,2,"7.70%",1,"4.20%",0,62.8,8.1,"41.70%","45.80%","38.00%",10,"19.20%",21,"4.80%","19.10%","23.80%","14.30%","57.10%",63.8,30,15,0,1,0,0,0,13,2,1,"50.00%",0,1,"0.00%",41
"LUKE MOGA","NEW MEXICO",32,37.91,"D",2026,"QB","MWC","G5",72.4,21,19,13,"68.40%","72.20%",116,6.1,"36.20%",1,0,0,2.62,0,0,0,"0.00%",0,"0.00%",0,102.1,8,"47.40%","47.40%","66.40%",10,"33.30%",17,"17.60%","5.90%","23.50%","11.80%","70.60%",52.7,5,2.5,0,0,0,0,0,0,0,2,"0.00%",0,0,"0.00%",44
"TOA FA'AVAE","NEW MEXICO",33,36.85,"D",2026,"QB","MWC","G5",66,18,13,6,"46.20%","50.00%",74,5.7,"27.00%",0,0,1,3.21,0,2,0,"0.00%",1,"7.70%",0,64.3,11.4,"46.20%","46.20%","81.10%",8,"16.70%",12,"8.30%","16.70%","50.00%","8.30%","33.30%",72.1,54,9,0,2,0,0,4,2,7,4,"33.30%",0.67,2,"0.00%",60
"AUSTIN CARLISLE","LA MONROE",29,36.75,"D",2026,"QB","Sun Belt","G5",51.4,13,11,6,"54.50%","77.80%",73,6.6,"68.50%",1,0,0,2.82,1,1,0,"0.00%",0,"0.00%",1,105.5,2.6,"63.60%","18.20%","31.50%",6,"23.10%",0,"0","0","0","0","0",74.8,50,7.1,0,3,0,0,4,2.7,4.4,2,"42.90%",0.57,2,"20.00%",58
"MCCAE HILLSTEAD","UTAH ST",68,34.32,"D",2026,"QB","Pac-12","G5",39.7,42,35,15,"42.90%","48.40%",178,5.1,"36.50%",2,3,2,2.88,0,0,3,"7.10%",0,"0.00%",0,42.3,12.6,"34.30%","54.30%","71.90%",18,"16.70%",27,"3.70%","11.10%","44.40%","25.90%","44.40%",71.1,51,7.3,0,3,0,0,1,4.4,1.7,5,"42.90%",0.14,2,"0.00%",29
"MICHAEL VAN BUREN JR.","USF",56,34.13,"D",2026,"QB","The American","G5",80.9,22,18,11,"61.10%","66.70%",100,5.6,"33.00%",0,0,1,2.63,0,3,0,"0.00%",0,"0.00%",1,76.2,10.7,"50.00%","50.00%","67.00%",7,"40.90%",18,"16.70%","16.70%","11.10%","0","72.20%",47.7,11,1.8,0,0,0,0,0,-2.3,4.2,3,"0.00%",0,0,"0.00%",43
"DAVID MCCOMB","MIAMI OH",48,32.76,"D",2026,"QB","MAC","G5",55.9,36,35,16,"45.70%","56.70%",241,6.9,"39.00%",1,0,1,2.18,1,0,2,"5.60%",2,"5.70%",1,78.4,12.5,"37.10%","48.60%","61.00%",10,"27.80%",28,"17.90%","7.10%","42.90%","25.00%","50.00%",59.7,1,1,0,0,0,0,0,0,1,0,"0.00%",0,0,"0.00%",54
"DRU DESHIELDS","KENT STATE",39,31.22,"D",2026,"QB","MAC","G5",56.1,23,21,12,"57.10%","71.40%",63,3,"66.70%",0,0,1,2.45,0,1,0,"0.00%",0,"0.00%",3,62.2,2.7,"81.00%","19.10%","33.30%",6,"21.70%",20,"15.00%","30.00%","25.00%","5.00%","45.00%",62.4,33,16.5,0,2,0,0,1,10.5,6,1,"100%",0.5,1,"0.00%",33
"CIBASTIAN BROUGHTON","AKRON",57,31.2,"D",2026,"QB","MAC","G5",46,35,26,21,"80.80%","88.00%",111,4.3,"99.10%",0,0,2,2.83,0,1,1,"2.90%",0,"0.00%",1,84.5,0.8,"80.80%","15.40%","0.90%",7,"22.90%",25,"0","20.00%","12.00%","4.00%","68.00%",63.1,92,7.1,0,5,0,0,3,4.5,2.1,7,"38.50%",0.23,4,"16.70%",57
"KADIN SEMONZA","TULANE",40,27.09,"D",2026,"QB","The American","G5",62.8,29,25,13,"52.00%","66.70%",149,6,"50.30%",0,0,3,3.19,0,2,0,"0.00%",1,"4.00%",1,70.3,8.2,"52.00%","32.00%","49.70%",5,"6.90%",19,"15.80%","10.50%","15.80%","31.60%","73.70%",51.2,10,3.3,0,0,0,0,0,2,1.3,1,"0.00%",0,0,"0.00%",27
"MICAH ALEJADO","HAWAII",75,26.47,"D",2026,"QB","MWC","G5",61.4,50,42,17,"40.50%","60.00%",176,4.2,"51.70%",0,1,5,3.2,2,1,2,"4.00%",0,"0.00%",4,43.4,8.5,"45.20%","38.10%","48.30%",11,"10.00%",34,"5.90%","26.50%","32.40%","23.50%","41.20%",65.4,34,8.5,0,1,0,0,1,1.5,5.5,3,"25.00%",0.25,2,"0.00%",39
"CARLOS DEL RIO-WILSON","MARSHALL",48,24.13,"D",2026,"QB","Sun Belt","G5",66.2,29,26,17,"65.40%","73.90%",102,3.9,"64.70%",0,0,2,2.51,0,1,0,"0.00%",0,"0.00%",0,72.9,4.7,"69.20%","19.20%","35.30%",8,"20.70%",23,"4.30%","21.70%","17.40%","13.00%","60.90%",56.7,32,2.9,0,0,1,0,2,-1.4,4.3,1,"0.00%",0.18,1,"0.00%",6
"RODNEY TISDALE JR.","W KENTUCKY",80,20.73,"D",2026,"QB","C-USA","G5",42.7,51,40,24,"60.00%","67.60%",203,5.1,"49.80%",0,0,4,2.65,0,1,1,"2.00%",0,"0.00%",1,73.2,7.4,"57.50%","35.00%","50.20%",11,"19.60%",37,"13.50%","2.70%","32.40%","10.80%","64.90%",45.4,45,5.6,0,0,0,0,0,2.6,3,6,"0.00%",0,1,"0.00%",49
"KELDRIC LUSTER","BALL ST",55,20.4,"D",2026,"QB","MAC","G5",54.6,39,34,18,"52.90%","56.30%",89,2.6,"77.50%",0,1,2,2.95,0,4,1,"2.60%",0,"0.00%",0,46.4,7.3,"64.70%","29.40%","22.50%",9,"20.50%",28,"10.70%","0","35.70%","21.40%","64.30%",56.7,11,1.2,0,1,0,0,4,-1.4,2.7,3,"11.10%",0.44,0,"33.30%",31
"BROC LOWRY","W MICHIGAN",69,18.84,"F",2026,"QB","MAC","G5",53,28,22,15,"68.20%","80.00%",89,4,"67.40%",0,1,2,2.73,0,0,0,"0.00%",0,"0.00%",1,56.8,3.5,"81.80%","9.10%","32.60%",5,"46.40%",20,"0","20.00%","20.00%","15.00%","60.00%",55.8,53,3.8,0,2,0,0,1,0.9,2.6,3,"14.30%",0.07,0,"0.00%",23
"MITCH GRIFFIS","E CAROLINA",34,17.67,"F",2026,"QB","The American","G5",36.7,18,16,10,"62.50%","66.70%",137,8.6,"51.10%",1,1,2,2.39,0,0,2,"11.10%",0,"0.00%",0,84.6,5.4,"68.80%","25.00%","53.30%",4,"16.70%",14,"0","14.30%","28.60%","14.30%","57.10%",66.4,5,1,0,0,0,0,1,-0.4,1.4,0,"0.00%",0.2,0,"0.00%",1
"AIDAN ARMENTA","LA MONROE",34,17.63,"F",2026,"QB","Sun Belt","G5",59,20,16,10,"62.50%","81.30%",67,4.2,"88.10%",0,0,1,2.68,0,1,0,"0.00%",0,"0.00%",3,71.6,3.6,"81.30%","18.80%","11.90%",3,"15.00%",0,"0","0","0","0","0",70.7,19,3.2,0,0,1,0,1,0.8,1,3,"0.00%",0.17,1,"0.00%",32
"EJ COLSON JR.","UTEP",40,13.42,"F",2026,"QB","MWC","G5",42.2,18,12,6,"50.00%","58.30%",52,4.3,"48.10%",0,0,2,3.07,0,3,2,"11.10%",0,"0.00%",1,61.8,10.6,"58.30%","41.70%","51.90%",3,"38.90%",12,"16.70%","16.70%","41.70%","0","41.70%",62.7,39,2.8,0,1,0,0,5,-0.1,2.8,4,"7.10%",0.36,1,"10.00%",51
"NOAH KIM","E MICHIGAN",69,13.15,"F",2026,"QB","MAC","G5",31.3,46,44,24,"54.50%","60.00%",174,4,"69.00%",1,1,1,2.5,1,5,5,"10.90%",0,"0.00%",0,62.1,7,"54.50%","36.40%","35.60%",7,"10.90%",39,"5.10%","15.40%","35.90%","12.80%","48.70%",53.1,10,3.3,0,0,0,0,0,0,1,1,"0.00%",0,0,"0.00%",3
"TARON DICKENS","N ILLINOIS",30,12.46,"F",2026,"QB","MWC","G5",59.1,21,15,9,"60.00%","60.00%",96,6.4,"46.90%",0,1,4,2.87,0,1,1,"4.80%",0,"0.00%",0,51,14.9,"40.00%","60.00%","53.10%",6,"23.80%",0,"0","0","0","0","0",33.7,2,1,0,0,1,1,0,0,1,2,"0.00%",0,0,"0.00%",35
