"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Season","Position","Conference","Conference_Level","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","row_id"
"ARCH MANNING","TEXAS",52,76.37,"B",2026,"QB","SEC","P4",90.7,30,27,20,"74.10%","85.20%",305,11.3,"44.60%",4,1,1,2.88,0,2,1,"3.30%",3,"11.10%",3,135,8.6,"55.60%","44.40%","58.00%",16,"30.00%",27,"11.10%","25.90%","14.80%","0","59.30%",53.4,16,8,0,0,0,0,0,4.5,3.5,2,"0.00%",0,1,"0.00%",30
"AARON PHILO","FLORIDA",49,75.56,"B",2026,"QB","SEC","P4",81.9,26,22,16,"72.70%","81.00%",279,12.7,"57.00%",3,1,0,2.65,1,0,1,"3.90%",4,"18.20%",1,135.4,10.5,"54.50%","40.90%","43.00%",12,"46.20%",20,"15.00%","25.00%","15.00%","10.00%","60.00%",70.8,20,3.3,1,2,0,0,1,-0.3,3.2,4,"33.30%",0.17,0,"0.00%",40
"RYAN BROWNE","PURDUE",57,75.15,"B",2026,"QB","Big Ten","P4",90.6,33,30,23,"76.70%","79.30%",316,10.5,"47.50%",3,0,1,2.51,1,2,0,"0.00%",1,"3.30%",0,143.2,10.4,"40.00%","56.70%","55.70%",18,"36.40%",28,"17.90%","50.00%","14.30%","7.10%","35.70%",50.4,12,4,0,0,0,0,1,-1.7,5.7,2,"0.00%",0.33,0,"0.00%",35
"ROCCO BECHT","PENN STATE",38,74.98,"B",2026,"QB","Big Ten","P4",81,20,18,13,"72.20%","76.50%",271,15.1,"63.80%",4,0,1,2.52,1,0,0,"0.00%",0,"0.00%",0,153.9,11.8,"33.30%","61.10%","39.10%",12,"35.00%",16,"0","18.80%","18.80%","12.50%","62.50%",57.3,0,0,0,0,0,0,0,0,0,1,"0.00%",0,0,"0.00%",9
"ISAIAH MARSHALL","KANSAS",59,74.84,"B",2026,"QB","Big 12","P4",84,22,19,14,"73.70%","73.70%",246,12.9,"35.40%",2,0,0,3.12,0,2,1,"4.50%",4,"21.10%",0,150.7,11.9,"42.10%","57.90%","70.70%",14,"45.50%",19,"10.50%","15.80%","31.60%","0","52.60%",65.5,57,6.3,0,3,0,0,2,1.8,4.6,3,"33.30%",0.22,3,"0.00%",46
"BEAR BACHMEIER","BYU",45,72.81,"B",2026,"QB","Big 12","P4",72.1,23,20,16,"80.00%","84.20%",198,9.9,"61.60%",3,0,1,2.82,1,1,0,"0.00%",0,"0.00%",0,147.5,7.8,"55.00%","40.00%","38.40%",11,"52.20%",18,"22.20%","5.60%","5.60%","11.10%","88.90%",78.1,35,11.7,1,2,0,0,4,-2,13.7,2,"66.70%",1.33,2,"0.00%",65
"ANTHONY COLANDREA","NEBRASKA",74,72.02,"B",2026,"QB","Big Ten","P4",75.9,36,33,18,"54.50%","77.80%",315,9.6,"67.30%",3,0,2,2.56,4,2,0,"0.00%",2,"6.10%",3,117.6,7.6,"54.50%","27.30%","35.20%",15,"30.60%",27,"22.20%","0","22.20%","22.20%","77.80%",78.8,48,6.9,1,5,1,0,4,0.1,6.7,1,"71.40%",0.57,3,"16.70%",19
"AVERY JOHNSON","KANSAS ST",46,71.71,"B",2026,"QB","Big 12","P4",82.6,24,21,15,"71.40%","80.00%",199,9.5,"38.20%",3,0,0,3.1,0,1,0,"0.00%",0,"0.00%",1,140.7,14.3,"23.80%","71.40%","66.30%",14,"41.70%",20,"25.00%","5.00%","15.00%","5.00%","80.00%",57.7,23,5.8,1,1,0,0,2,1.8,0.8,3,"25.00%",0.5,1,"0.00%",29
"DEVON DAMPIER","UTAH",45,71.49,"B",2026,"QB","Big 12","P4",86.4,21,18,13,"72.20%","72.20%",176,9.8,"36.40%",3,0,0,2.6,0,2,0,"0.00%",2,"11.10%",0,142.6,14.3,"38.90%","61.10%","63.60%",14,"33.30%",18,"22.20%","22.20%","16.70%","0","61.10%",65.4,30,4.3,0,2,0,0,1,2.6,1.7,3,"28.60%",0.14,1,"50.00%",23
"GUNNER STOCKTON","GEORGIA",25,69.97,"B",2026,"QB","SEC","P4",83.2,17,17,16,"94.10%","94.10%",207,12.2,"79.20%",3,0,0,2.03,0,1,0,"0.00%",0,"0.00%",0,157,3.4,"70.60%","29.40%","20.80%",11,"41.20%",17,"5.90%","11.80%","5.90%","0","82.30%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"JOHN MATEER","OKLAHOMA",42,66.38,"B",2026,"QB","SEC","P4",79.1,19,18,12,"66.70%","66.70%",225,12.5,"48.00%",3,0,0,2.65,0,0,0,"0.00%",1,"5.60%",0,149.3,11.6,"33.30%","66.70%","52.00%",10,"57.90%",17,"0","29.40%","23.50%","5.90%","47.10%",58.5,7,2.3,0,1,0,0,0,0.7,1.7,1,"33.30%",0,0,"0.00%",13
"KENNY MINCHEY","KENTUCKY",58,65.02,"B",2026,"QB","SEC","P4",62.9,29,28,18,"64.30%","69.20%",301,10.8,"81.70%",4,0,0,2.48,1,4,0,"0.00%",0,"0.00%",0,140,8,"57.10%","35.70%","18.30%",15,"48.30%",25,"12.00%","4.00%","20.00%","12.00%","76.00%",57.6,16,8,0,0,0,0,0,6,2,1,"0.00%",0,1,"0.00%",22
"KATIN HOUSER","ILLINOIS",44,64.75,"B",2026,"QB","Big Ten","P4",77.4,22,19,13,"68.40%","88.20%",182,9.6,"31.30%",3,0,0,2.78,0,0,0,"0.00%",0,"0.00%",2,138.6,11,"47.40%","42.10%","71.40%",13,"22.70%",16,"0","12.50%","12.50%","18.80%","75.00%",66.7,29,9.7,1,2,0,0,0,-3.7,13.3,3,"66.70%",0,1,"0.00%",12
"SAM LEAVITT","LSU",69,64.46,"B",2026,"QB","SEC","P4",76.9,37,29,17,"58.60%","77.80%",236,8.1,"54.70%",1,1,1,2.81,2,3,0,"0.00%",1,"3.50%",4,82,9.4,"51.70%","41.40%","45.30%",15,"48.60%",17,"5.90%","29.40%","17.60%","17.60%","52.90%",82,113,9.4,2,7,0,0,5,1.4,7.1,7,"58.30%",0.42,7,"0.00%",36
"TRINIDAD CHAMBLISS","OLE MISS",81,64.35,"B",2026,"QB","SEC","P4",72.2,43,37,21,"56.80%","66.70%",344,9.3,"45.60%",3,1,0,2.76,1,4,2,"4.70%",3,"8.10%",1,103.9,9.3,"48.60%","40.50%","54.40%",13,"32.60%",34,"11.80%","14.70%","35.30%","8.80%","50.00%",54,60,5.5,1,4,2,1,3,0.7,1.9,5,"36.40%",0.27,2,"0.00%",39
"MARCEL REED","TEXAS A&M",73,63.28,"B",2026,"QB","SEC","P4",78.6,40,34,23,"67.70%","75.00%",267,7.8,"49.80%",2,0,2,2.94,1,1,0,"0.00%",3,"8.80%",1,110.8,10,"41.20%","52.90%","50.20%",18,"35.00%",31,"9.70%","16.10%","22.60%","9.70%","61.30%",66.8,36,7.2,0,2,0,0,3,2.8,4.2,4,"40.00%",0.6,2,"0.00%",38
"KEVIN JENNINGS","SMU",69,61.06,"B",2026,"QB","ACC","P4",59.6,40,37,26,"70.30%","74.30%",430,11.6,"70.50%",3,2,0,2.86,0,2,4,"10.00%",0,"0.00%",0,113.6,7.4,"54.00%","40.50%","31.20%",16,"45.00%",27,"3.70%","11.10%","25.90%","7.40%","63.00%",59.9,33,6.6,0,1,1,0,0,3.8,0.2,3,"20.00%",0,1,"0.00%",11
"GIO LOPEZ","WAKE",62,60.91,"B",2026,"QB","ACC","P4",66,37,34,20,"58.80%","65.60%",348,10.2,"62.40%",3,0,0,3.08,0,0,0,"0.00%",0,"0.00%",1,123.2,10.7,"50.00%","44.10%","37.60%",10,"37.80%",30,"6.70%","30.00%","26.70%","13.30%","43.30%",64,39,5.6,0,1,0,0,1,3.7,1.9,3,"14.30%",0.14,1,"0.00%",26
"ALESSIO MILIVOJEVIC","MICH STATE",87,59.79,"C",2026,"QB","Big Ten","P4",91.8,42,35,27,"77.10%","82.30%",250,7.1,"22.80%",1,0,3,2.78,0,4,0,"0.00%",3,"8.60%",1,105.7,8.6,"51.40%","45.70%","83.60%",15,"4.80%",34,"11.80%","29.40%","8.80%","2.90%","61.80%",56.6,28,3.5,0,1,0,0,0,0,0.5,4,"12.50%",0,1,"0.00%",42
"CONNER WEIGMAN","HOUSTON",75,59.33,"C",2026,"QB","Big 12","P4",73.2,36,33,21,"63.60%","75.80%",307,9.3,"47.60%",1,2,1,2.5,0,3,0,"0.00%",1,"3.00%",4,78.7,10.4,"45.50%","54.50%","55.70%",15,"30.60%",30,"16.70%","13.30%","20.00%","10.00%","66.70%",78.9,35,3.9,1,3,0,0,6,-1.3,5.2,2,"33.30%",0.67,1,"0.00%",14
"DRAKE LINDSEY","MINNESOTA",49,59.22,"C",2026,"QB","Big Ten","P4",81.2,25,24,19,"79.20%","87.00%",258,10.8,"50.40%",1,0,0,2.47,0,0,0,"0.00%",0,"0.00%",1,125.3,7.7,"45.80%","50.00%","49.60%",11,"40.00%",23,"13.00%","30.40%","13.00%","4.30%","56.50%",62.3,6,3,0,1,0,0,0,0,1,1,"50.00%",0,0,"0.00%",52
"STEVE ANGELI","SYRACUSE",65,58.98,"C",2026,"QB","ACC","P4",81.6,34,32,20,"62.50%","73.30%",263,8.2,"30.80%",3,0,2,2.54,0,2,0,"0.00%",2,"6.30%",2,119.7,11.1,"40.60%","53.10%","70.70%",14,"47.10%",28,"14.30%","32.10%","21.40%","14.30%","46.40%",60,-2,-2,0,0,0,0,0,-2,0,0,"0.00%",0,0,"0.00%",6
"DANTE MOORE","OREGON",64,58.54,"C",2026,"QB","Big Ten","P4",73.9,39,37,27,"73.00%","79.40%",351,9.5,"60.10%",2,1,1,2.27,0,1,0,"0.00%",1,"2.70%",0,109.2,7.3,"64.90%","27.00%","39.90%",12,"35.90%",33,"15.20%","15.20%","18.20%","12.10%","66.70%",57.8,2,2,0,0,0,0,0,0,0,1,"0.00%",0,0,"0.00%",32
"JAYLEN RAYNOR","IOWA STATE",49,58.32,"C",2026,"QB","Big 12","P4",60.1,22,19,8,"42.10%","50.00%",184,9.7,"33.70%",2,0,1,3.45,1,5,1,"4.50%",2,"10.50%",0,112.6,19.6,"15.80%","68.40%","66.30%",11,"59.10%",16,"25.00%","6.30%","50.00%","18.80%","43.80%",74,34,5.7,2,4,0,0,1,1.7,0.5,2,"66.70%",0.17,1,"25.00%",24
"KEELON RUSSELL","ALABAMA",76,56.01,"C",2026,"QB","SEC","P4",72.8,39,31,18,"58.10%","74.10%",256,8.3,"53.10%",0,1,0,3.47,1,0,0,"0.00%",0,"0.00%",2,71.4,9.5,"45.20%","41.90%","46.90%",17,"46.20%",24,"8.30%","25.00%","20.80%","29.20%","54.20%",70.5,91,7,1,7,1,1,3,0.7,6.2,8,"53.80%",0.23,4,"0.00%",56
"ETHAN GRUNKEMEYER","VA TECH",38,55.84,"C",2026,"QB","ACC","P4",69.4,20,20,17,"85.00%","90.00%",224,11.2,"73.20%",2,0,0,2.32,0,0,0,"0.00%",0,"0.00%",1,146.7,7.8,"70.00%","30.00%","26.80%",7,"15.00%",20,"5.00%","10.00%","10.00%","0","80.00%",71.5,6,3,0,2,0,0,0,1.5,1.5,0,"100%",0,0,"0.00%",43
"MICHAEL HAWKINS JR.","W VIRGINIA",76,55.61,"C",2026,"QB","Big 12","P4",74.7,16,14,11,"78.60%","78.60%",132,9.4,"32.60%",1,0,1,2.36,0,1,1,"6.30%",1,"7.10%",0,129.8,12.5,"35.70%","64.30%","67.40%",6,"31.30%",15,"13.30%","20.00%","20.00%","0","60.00%",70.2,110,5.2,1,6,1,1,6,2.5,2.7,0,"28.60%",0.29,4,"14.30%",50
"AIDAN CHILES","NWESTERN",56,55.24,"C",2026,"QB","Big Ten","P4",66.7,29,24,14,"58.30%","69.60%",273,11.4,"49.10%",1,0,2,3.34,0,1,0,"0.00%",0,"0.00%",2,112,11,"41.70%","54.20%","50.90%",12,"37.90%",23,"17.40%","34.80%","30.40%","4.30%","34.80%",63.7,38,5.4,1,3,0,0,1,0.4,4.6,3,"42.90%",0.14,1,"0.00%",31
"DEMOND WILLIAMS JR.","WASHINGTON",68,54.26,"C",2026,"QB","Big Ten","P4",69.1,43,38,24,"63.20%","73.50%",268,7,"51.50%",1,0,0,2.93,1,1,1,"2.30%",0,"0.00%",1,92.9,9.4,"50.00%","39.50%","48.50%",17,"44.20%",32,"12.50%","15.60%","28.10%","18.80%","56.30%",69.8,54,5.4,1,3,1,0,5,-0.7,5.4,5,"30.00%",0.5,2,"20.00%",44
"LINCOLN KIENHOLZ","LOUISVILLE",70,54.06,"C",2026,"QB","ACC","P4",49.9,36,31,19,"61.30%","65.50%",310,10,"58.70%",2,0,3,3.05,1,1,2,"5.60%",2,"6.50%",0,116.3,11,"51.60%","41.90%","41.30%",10,"41.70%",15,"13.30%","13.30%","33.30%","33.30%","53.30%",73.5,88,8,1,4,0,0,2,3.3,4.7,2,"36.40%",0.18,1,"11.10%",20
"NOAH FIFITA","ARIZONA",53,53.78,"C",2026,"QB","Big 12","P4",63.7,33,29,22,"75.90%","79.30%",262,9,"61.50%",2,0,1,2.76,0,0,0,"0.00%",1,"3.50%",1,125.9,6.5,"58.60%","41.40%","45.00%",15,"42.40%",30,"10.00%","10.00%","20.00%","0","70.00%",69.4,31,7.8,0,2,0,0,0,1.5,3.5,2,"50.00%",0,2,"0.00%",15
"BRYCE BAKER","VA TECH",39,52.97,"C",2026,"QB","ACC","P4",80,14,13,11,"84.60%","100%",162,12.5,"63.60%",1,0,0,2.33,0,0,0,"0.00%",1,"7.70%",2,144.2,5.7,"76.90%","23.10%","40.10%",5,"35.70%",13,"15.40%","46.20%","0","0","53.80%",61.3,3,1.5,0,0,0,0,0,0.5,0,1,"0.00%",0,0,"0.00%",64
"ALBERTO MENDOZA","GA TECH",57,50.76,"C",2026,"QB","ACC","P4",86.9,29,26,17,"65.40%","76.00%",237,9.1,"40.50%",0,0,3,2.85,0,0,0,"0.00%",2,"7.70%",2,94.6,9.1,"50.00%","46.20%","59.50%",12,"20.70%",24,"12.50%","12.50%","16.70%","4.20%","70.80%",60,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,"0.00%",54
"DJ LAGWAY","BAYLOR",102,50.56,"C",2026,"QB","Big 12","P4",80.7,59,57,28,"49.10%","53.70%",335,5.9,"27.50%",2,1,2,2.19,2,7,1,"1.70%",6,"10.50%",1,71.9,11,"43.90%","50.90%","72.50%",20,"27.10%",50,"20.00%","12.00%","38.00%","14.00%","50.00%",25.3,-2,-1,0,0,2,1,0,-1,0,0,"0.00%",0,0,"0.00%",48
"KJ JACKSON","ARKANSAS",88,48.5,"C",2026,"QB","SEC","P4",61,46,39,25,"64.10%","75.70%",294,7.5,"72.10%",3,1,3,2.81,1,1,2,"4.30%",1,"2.60%",3,101.9,6.1,"56.40%","38.50%","27.90%",18,"15.20%",37,"10.80%","18.90%","21.60%","5.40%","59.50%",70.9,47,5.2,0,2,0,0,0,2.8,1.1,4,"22.20%",0,1,"20.00%",47
"RYAN PUGLISI","GEORGIA",23,47.83,"C",2026,"QB","SEC","P4",76.7,13,13,7,"53.80%","69.20%",143,11,"48.90%",1,0,0,2.41,0,2,1,"7.70%",0,"0.00%",2,118.4,13.5,"38.50%","61.50%","51.00%",5,"38.50%",13,"23.10%","30.80%","30.80%","0","38.50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
"WILL HAMMOND","TEXAS TECH",72,47.34,"C",2026,"QB","Big 12","P4",64.8,38,35,27,"77.10%","80.00%",313,8.9,"63.60%",1,1,0,2.51,0,2,1,"2.60%",1,"2.90%",1,101.3,7.3,"60.00%","40.00%","36.40%",15,"18.40%",37,"5.40%","8.10%","21.60%","0","70.30%",57.8,11,5.5,0,0,0,0,0,3.5,2,1,"0.00%",0,0,"0.00%",53
"JC FRENCH IV","CINCINNATI",60,46.12,"C",2026,"QB","Big 12","P4",71,19,15,10,"66.70%","80.00%",77,5.1,"46.80%",1,0,1,3.29,0,0,0,"0.00%",1,"6.70%",2,101.3,6.5,"66.70%","33.30%","59.70%",6,"31.60%",15,"13.30%","6.70%","20.00%","0","73.30%",66.4,55,5,3,6,0,0,2,2.4,2.6,3,"54.50%",0.18,2,"0.00%",16
"MALIK WASHINGTON","MARYLAND",55,43.56,"C",2026,"QB","Big Ten","P4",79.4,35,32,20,"62.50%","77.40%",186,5.8,"73.70%",1,0,1,3.04,0,1,0,"0.00%",0,"0.00%",4,88.8,7,"62.50%","34.40%","31.20%",10,"20.00%",29,"3.50%","20.70%","17.20%","10.30%","62.10%",58.9,14,4.7,0,1,0,0,1,0.7,3,2,"33.30%",0.33,0,"0.00%",59
"JARON-KEAWE SAGAPOLUTELE","CAL",84,43.34,"C",2026,"QB","ACC","P4",68.7,49,45,25,"55.60%","66.70%",283,6.3,"41.70%",2,2,3,2.84,1,6,3,"6.10%",4,"8.90%",3,70.9,9.1,"42.20%","51.10%","59.70%",17,"16.30%",36,"13.90%","22.20%","19.40%","25.00%","58.30%",59.6,-4,-1.3,0,0,1,0,0,-1.3,0,1,"0.00%",0,0,"0.00%",57
"DAVIS WARREN","STANFORD",66,41.57,"C",2026,"QB","ACC","P4",76.2,47,46,23,"50.00%","64.30%",246,5.3,"24.80%",0,0,1,2.62,1,3,0,"0.00%",1,"2.20%",4,66,11.5,"39.10%","52.20%","75.20%",12,"23.40%",38,"15.80%","13.20%","26.30%","21.10%","60.50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"BYRUM BROWN","AUBURN",76,39.53,"D",2026,"QB","SEC","P4",66.8,43,35,26,"74.30%","79.40%",259,7.4,"44.80%",0,3,7,3,1,1,2,"4.70%",1,"2.90%",1,59.1,7.9,"54.30%","42.90%","55.20%",14,"37.20%",33,"6.10%","21.20%","18.20%","6.10%","60.60%",58.3,42,2.6,1,3,0,1,1,-0.5,3.1,1,"18.80%",0.06,2,"6.70%",4
"ALONZA BARNETT III","UCF",42,38.25,"D",2026,"QB","Big 12","P4",51.7,23,21,12,"57.10%","65.00%",179,8.5,"65.40%",1,1,1,2.72,0,0,1,"4.30%",0,"0.00%",1,81.3,9,"47.60%","47.60%","34.60%",10,"65.20%",19,"15.80%","15.80%","36.80%","10.50%","47.40%",70,20,5,1,2,0,0,4,1,4,1,"50.00%",1,0,"0.00%",5
"BLAZE BERLOWITZ","VANDERBILT",46,38.05,"D",2026,"QB","SEC","P4",54.5,19,16,11,"68.80%","75.00%",149,9.3,"67.80%",0,0,1,2.98,0,1,0,"0.00%",1,"6.30%",1,98.2,7.6,"50.00%","50.00%","32.20%",9,"47.40%",15,"0","13.30%","20.00%","6.70%","66.70%",60.2,35,3.9,1,2,0,0,2,2.1,1.8,2,"22.20%",0.22,1,"0.00%",21
"MASON MCKENZIE","BOSTON COL",77,36.38,"D",2026,"QB","ACC","P4",49.4,54,39,19,"48.70%","57.10%",222,5.7,"48.20%",1,2,4,3.21,0,4,3,"5.60%",1,"2.60%",1,53.6,10.3,"38.50%","51.30%","54.00%",18,"22.20%",32,"18.80%","9.40%","34.40%","21.90%","56.30%",65.6,104,6.1,0,5,0,0,2,1.7,2.5,11,"29.40%",0.12,4,"16.70%",66
"COLTON JOSEPH","WISCONSIN",61,34.3,"D",2026,"QB","Big Ten","P4",61.7,33,30,19,"63.30%","66.70%",217,7.2,"40.60%",1,1,2,2.32,0,5,1,"3.00%",0,"0.00%",1,82.2,7.7,"56.70%","43.30%","60.40%",10,"30.30%",29,"3.50%","24.10%","27.60%","3.50%","48.30%",51.3,15,1.5,0,1,0,0,0,-0.3,1.8,1,"10.00%",0,0,"0.00%",25
"ASHTON DANIELS","FLORIDA ST",69,33.98,"D",2026,"QB","ACC","P4",58.4,32,24,12,"50.00%","59.10%",123,5.1,"44.70%",1,0,3,3.71,1,1,0,"0.00%",0,"0.00%",1,79,12.3,"37.50%","54.20%","55.30%",8,"18.80%",21,"4.80%","23.80%","38.10%","14.30%","38.10%",57.7,82,6.3,1,3,0,0,4,3.7,2.6,5,"23.10%",0.31,2,"0.00%",8
"MATT ZOLLERS","MISSOURI",33,32.58,"D",2026,"QB","SEC","P4",61,15,12,8,"66.70%","66.70%",87,7.3,"70.10%",0,0,1,3.14,0,1,0,"0.00%",0,"0.00%",0,87.8,5.7,"66.70%","33.30%","29.90%",5,"13.30%",10,"0","50.00%","20.00%","20.00%","30.00%",72.3,28,5.6,1,4,0,0,0,3.6,2,2,"80.00%",0,0,"0.00%",62
"HANK BROWN","IOWA",36,30.63,"D",2026,"QB","Big Ten","P4",54.7,23,22,12,"54.50%","59.10%",129,5.9,"45.00%",1,0,0,2.79,0,2,1,"4.30%",0,"0.00%",1,87.1,10.7,"59.10%","40.90%","61.20%",10,"39.10%",0,"0","0","0","0","0",71,12,6,0,2,0,0,0,1,0,1,"100%",0,1,"0.00%",28
