"Name","Team","SNAPS","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"BRADEN SMITH","IOWA STATE",49,63.09,"B",72.1,0.102,82.2,0.074,0,0,0,0,0,0,0
"MATT CRAYCRAFT","DUKE",79,61.04,"B",67.8,0.089,80.1,0.125,0,0,0,0,0,0,0
"ISAIAH KEMA","UTAH",31,60.46,"B",63.3,0.065,74.8,0.042,0,100,0,0,0,0,0
"ANTHONY BOSWELL","HOUSTON",75,60.19,"B",74.7,0.12,79.5,0.051,0,0,0,0,1,0,0
"BROCK RIKER","PENN STATE",56,59.78,"C",73,0.125,75.5,0.069,0,0,0,0,1,0,0
"RILEY ROBELL","UCLA",57,58.76,"C",73.3,0.07,83.6,0.069,0,0,0,0,0,0,0
"TRENT FRALEY","MICH STATE",88,58.71,"C",70.9,0.091,85.6,0.043,0,0,0,0,0,0,0
"KYLE ALTUNER","VA TECH",38,57.13,"C",66.6,0.079,80.1,0.111,0,0,0,0,0,0,0
"MARK NABOU JR.","TEXAS A&M",73,57.04,"C",68.8,0.069,84.4,0.091,0,0,0,0,0,0,0
"WES KING","W VIRGINIA",76,56.52,"C",62.7,0.105,71.8,0.183,0,0,0,0,1,0,0
"TANA ALO-TUPUOLA","ARIZONA ST",45,56.52,"C",74.3,0.089,83,0,0,0,0,0,0,0,0
"BRADYN WELCH-JOINER","FLORIDA ST",69,50.39,"C",63.9,0.087,71.8,0.189,0.031,0,0.031,0,0,1,0
"JAMESON RIGGS","GA TECH",57,50.22,"C",38.3,0,84.3,0.25,0,100,0,0,0,0,0
"BOAZ STANLEY","PURDUE",57,50.11,"C",63.5,0.053,59.7,0.208,0,98.5,0.03,1,1,0,0
"JOSHUA BATES","SMU",69,47.85,"C",56.8,0.029,85.7,0.172,0,0,0,0,0,0,0
"SHERIDAN WILSON","TEXAS TECH",73,47.57,"C",63.3,0.041,84.7,0.088,0,0,0,0,0,0,0
"NOAH BEST","OKLAHOMA",42,46.67,"C",63.7,0.048,80.6,0.077,0,0,0,0,0,0,0
"JOE CRUZ","SYRACUSE",41,46.29,"C",61.9,0.049,64.5,0.222,0.043,0,0.043,0,0,0,1
"COLETON PRICE","KENTUCKY",58,45.72,"C",65.2,0.052,82.9,0.035,0,0,0,0,0,0,0
"DYLAN VILLAROUEL","KANSAS ST",47,43.51,"C",68.5,0.085,66.7,0.087,0.042,0,0.042,0,0,1,0
"JUSTIN EVANS","NEBRASKA",74,43.46,"C",65.6,0.04,83.5,0.026,0,0,0,0,0,0,0
"CONNOR ROBERTSON","TEXAS",55,42.34,"C",53.1,0.018,83.6,0.174,0,0,0,0,0,0,0
"BRAELIN MOORE","LSU",69,40.95,"C",56.9,0.015,84.3,0.125,0,0,0,0,0,0,0
"NIC MOORE","TENNESSEE",62,40.91,"C",61.2,0.032,81.8,0.061,0,0,0,0,0,0,0
"HARRISON MOORE","FLORIDA",58,40.72,"C",57.9,0.035,69.7,0.133,0,0,0,0,0,0,0
"CAEL WINTER","IOWA",53,40.43,"C",70.6,0.075,63,0.1,0,0,0.03,1,0,0,0
"CARSON HINZMAN","OHIO STATE",47,40.12,"C",68,0.064,77.9,0,0,0,0,0,1,0,0
"EVAN WIBBERLEY","LOUISVILLE",70,39.28,"D",59.1,0.029,84.1,0.059,0,0,0,0,0,0,0
"ALEX HARRISON","UTAH",45,39.11,"D",64.3,0.067,46.1,0.087,0,97.7,0.045,1,0,0,0
"BRAY LYNCH","INDIANA",47,38.51,"D",53.2,0.021,81.3,0.133,0,0,0,0,0,0,0
"JAKE GUARNERA","MICHIGAN",52,37.61,"D",58.8,0,78.7,0.12,0,0,0,0,0,0,0
"TYLER MERCER","OKLA STATE",91,36.64,"D",54,0.022,82.4,0.206,0,0,0.018,1,0,0,0
"LYNDON COOPER","VANDERBILT",64,36.14,"D",61.6,0.016,82.7,0.03,0,0,0,0,0,0,0
"ASHTON RIVERA","CAL",35,33.05,"D",54.5,0.029,67.3,0.273,0,0,0.042,1,0,0,0
"AUSTIN KAWECKI","WISCONSIN",61,31.54,"D",67,0.066,48.4,0.143,0,0,0,0,3,0,0
"JACKSON CARSELLO","NWESTERN",34,28.71,"D",63,0.059,56.6,0.071,0,0,0,0,2,0,0
"BRYCEN SANDERS","OLE MISS",81,27.49,"D",54.6,0.025,77.1,0.128,0,0,0.024,1,0,0,0
"TARAN TYO","CINCINNATI",61,27.17,"D",71.8,0.115,26.3,0.071,0,0,0.053,1,0,0,0
"CONNOR MEADOWS","UCF",42,27.09,"D",53.1,0,64.7,0.105,0,97.8,0.043,1,0,0,0
"CHARLIE HOITINK","STANFORD",70,26.71,"D",54.2,0.014,68.9,0.227,0,0,0.021,1,1,0,0
"PAUL BOWLING","FLORIDA ST",33,25.66,"D",61.2,0.061,29.7,0.158,0.071,0,0.071,0,1,0,1
"BASTIAN SWINNEY","CAL",55,24.7,"D",58.7,0.018,70.9,0.12,0,0,0.033,1,0,0,0
"CADEN KITLER","ARKANSAS",88,21.39,"D",55.7,0.011,75.8,0.07,0.022,0,0.022,0,0,1,0
"RYAN CARRETTA","PITTSBURGH",70,20.46,"D",63,0.014,72.4,0,0,0,0,0,2,0,0
"CARTER MILLER","S CAROLINA",43,18.67,"F",55.2,0,75.3,0.118,0,0,0.039,1,0,0,0
"KOLT DIETERICH","WASHINGTON",68,18.65,"F",55.9,0.073,60.5,0.231,0,0,0.048,2,2,0,0
"RACIN DELGATTY","ALABAMA",76,18.09,"F",64.3,0.053,71.1,0.162,0,0,0.077,3,0,0,0
"IAPANI LALOULU","OREGON",64,18.09,"F",56.2,0,77.8,0.043,0,0,0,0,2,0,0
"KOLTIN SIERACKI","BAYLOR",102,14.96,"F",59.6,0.02,55.7,0.163,0.017,0,0.017,0,3,0,1
"TOBIAS RAYMOND","USC",52,13.76,"F",61.7,0.039,55.4,0.16,0,0,0.074,2,0,0,0
"MICHAEL CROUNSE","BOSTON COL",47,13.35,"F",62.6,0.043,56,0.154,0,0,0.059,2,1,0,0
"HARRIS SEWELL","CLEMSON",49,11.4,"F",55.4,0.041,52.6,0.2,0.035,0,0.069,1,1,1,0
"TERRENCE SALAMI","RUTGERS",64,8.79,"F",51.9,0,51.9,0.15,0,95.5,0.068,3,0,0,0
"DJ WILLIAMS","BOSTON COL",31,3.62,"F",64.2,0.032,9.6,0,0.053,0,0.053,0,0,1,0
"COLE BEST","AUBURN",76,0,"F",54.2,0.026,65.7,0.242,0.023,0,0.093,3,1,0,1
