"Name","Team","Season","Position","Conference","Conference_Level","Offensive.Snaps","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Composite_Score","Player_Grade"
"Justin Lamson","MONTANA ST",2026,"QB","Big Sky","FCS",37,81.4,20,20,15,"75.00%","84.20%",239,11.9,"54.80%",2,0,0,2.53,1,0,0,"0.00%",3,"15.00%",1,147.7,9.3,"60.00%","35.00%","45.20%",10,"25.00%",0,"0","0","0","0","0",61.2,3,1.5,1,1,0,0,0,0.5,1,0,"50.00%",0,0,"0.00%",70.37,"B"
"Austyn Modrzewski","S DAKOTA",2026,"QB","Missouri Valley","FCS",57,78.3,24,23,14,"60.90%","60.90%",178,7.7,"30.30%",2,0,1,2.87,0,3,0,"0.00%",3,"13.00%",0,114,12.8,"39.10%","60.90%","71.90%",10,"37.50%",0,"0","0","0","0","0",57.4,-11,-2.8,0,0,0,0,0,-2.8,0,0,"0.00%",0,0,"0.00%",67.91,"B"
"Kaden Anderson","TARLETON",2026,"QB","United Athletic","FCS",59,74.8,31,27,16,"59.30%","72.00%",206,7.6,"45.10%",2,0,1,2.96,1,3,0,"0.00%",3,"11.10%",2,107.9,8.6,"48.10%","44.40%","59.70%",11,"45.20%",0,"0","0","0","0","0",49.3,10,2,0,0,0,0,2,-0.6,1.2,3,"0.00%",0.4,0,"0.00%",66.02,"B"
"Anthony Grigsby Jr.","CAL POLY",2026,"QB","Big Sky","FCS",60,67.4,30,28,16,"57.10%","61.50%",213,7.6,"43.20%",3,0,0,3.24,0,1,0,"0.00%",1,"3.60%",0,117.1,11.4,"46.40%","46.40%","60.60%",12,"26.70%",0,"0","0","0","0","0",64.9,33,4.7,0,3,0,0,2,1,3.7,2,"42.90%",0.29,1,"0.00%",65.92,"B"
"Pat McQuaide","VILLANOVA",2026,"QB","Patriot","FCS",53,92.9,23,20,13,"65.00%","84.20%",218,10.9,"18.40%",2,0,2,3.11,0,0,0,"0.00%",2,"10.00%",3,135,13.8,"25.00%","70.00%","86.20%",10,"21.70%",0,"0","0","0","0","0",61.9,3,0.8,0,0,0,0,0,1,-0.3,1,"0.00%",0,0,"0.00%",65.87,"B"
"Andrew Indorf","TOWSON",2026,"QB","CAA","FCS",39,79.1,23,20,13,"65.00%","76.50%",208,10.4,"26.00%",2,0,2,2.8,0,0,0,"0.00%",2,"10.00%",0,132.9,14.4,"30.00%","55.00%","74.00%",10,"26.10%",16,"12.50%","25.00%","18.80%","25.00%","56.30%",56.7,5,5,0,1,0,0,0,0,0,1,"100%",0,0,"0.00%",65.71,"B"
"Jared Lockhart","JACKSON ST",2026,"QB","SWAC","FCS",NA,NA,28,26,17,"65.40%","69.20%",388,14.9,"64.20%",4,0,0,2.73,0,2,0,"0.00%",0,"0.00%",1,148.2,14.3,"34.60%","65.40%","38.90%",17,"32.10%",0,"0","0","0","0","0",NA,20,4,0,1,1,0,0,0,1.6,2,"20.00%",0,1,"0.00%",65.54,"B"
"Jack O'Connell","STHLSK",2026,"QB","Northeast","FCS",63,78.8,23,19,15,"79.00%","79.00%",203,10.7,"47.30%",2,0,2,2.7,0,1,0,"0.00%",2,"10.50%",0,146.3,9.7,"63.20%","36.80%","54.70%",8,"43.50%",0,"0","0","0","0","0",57.7,43,5.4,0,2,0,0,0,0,2.3,2,"25.00%",0,2,"0.00%",64.36,"B"
"Beau Brungard","YNGTOWN ST",2026,"QB","Missouri Valley","FCS",62,82.2,39,36,24,"66.70%","70.60%",261,7.3,"38.30%",1,0,1,2.86,1,2,0,"0.00%",2,"5.60%",0,97.1,7.9,"47.20%","44.40%","64.80%",14,"15.40%",0,"0","0","0","0","0",62.3,34,3.1,0,4,1,0,5,1.6,1.6,2,"36.40%",0.45,0,"11.10%",63.69,"B"
"Jerry Kaminski","N DAKOTA",2026,"QB","Missouri Valley","FCS",NA,NA,32,29,23,"79.30%","82.10%",233,8,"64.40%",5,1,0,2.5,1,1,1,"3.10%",0,"0.00%",0,125.4,4.2,"72.40%","24.10%","36.50%",15,"31.30%",0,"0","0","0","0","0",NA,23,3.8,0,2,0,0,0,-1.8,5.7,3,"33.30%",0,1,"0.00%",63.32,"B"
"Benjamin Newman","WAGNER",2026,"QB","Northeast","FCS",77,81.5,38,33,23,"69.70%","90.00%",267,8.1,"36.70%",3,0,2,2.67,1,0,0,"0.00%",1,"3.00%",4,124.2,8.1,"54.50%","36.40%","67.00%",16,"28.90%",0,"0","0","0","0","0",67.5,21,4.2,0,1,0,0,1,0.4,1.8,3,"20.00%",0.2,1,"0.00%",62.43,"B"
"Will Burns","SO UTAH",2026,"QB","Big Sky","FCS",72,62,21,20,10,"50.00%","50.00%",146,7.3,"30.10%",2,1,0,2.77,0,3,1,"4.80%",1,"5.00%",0,86.7,11.5,"30.00%","70.00%","71.90%",9,"33.30%",0,"0","0","0","0","0",71.7,145,9.1,2,6,0,0,3,8.1,1,1,"37.50%",0.19,4,"6.70%",62.36,"B"
"Quinn Boyd","STNY BROOK",2026,"QB","CAA","FCS",67,66.2,44,39,28,"71.80%","79.00%",307,7.9,"47.90%",2,1,2,2.54,1,1,2,"4.50%",2,"5.10%",2,101.1,7.9,"61.50%","35.90%","55.00%",17,"34.10%",0,"0","0","0","0","0",69.5,31,7.8,1,3,0,0,1,0.8,3.8,3,"75.00%",0.25,2,"0.00%",61.78,"B"
"Christopher Dietrich","BUCKNELL",2026,"QB","Patriot","FCS",72,87.2,44,40,29,"72.50%","79.50%",244,6.1,"60.30%",2,0,2,2.27,0,1,0,"0.00%",1,"2.50%",2,104.6,5.8,"62.50%","35.00%","46.70%",18,"40.90%",0,"0","0","0","0","0",68.6,26,2.2,0,2,0,0,1,0.6,1.6,2,"16.70%",0.08,0,"10.00%",60.16,"B"
"Gabarri Johnson","SAMFORD",2026,"QB","Southern","FCS",68,76,45,40,24,"60.00%","65.80%",191,4.8,"43.50%",2,1,3,2.44,1,3,1,"2.20%",1,"2.50%",1,78.2,9.6,"47.50%","47.50%","69.60%",12,"28.90%",0,"0","0","0","0","0",68.5,42,8.4,0,2,0,0,2,1,7.4,2,"40.00%",0.4,2,"33.30%",59.66,"C"
"Gabe Downing","PORTLAND",2026,"QB","Big Sky","FCS",84,83,55,54,31,"57.40%","72.90%",280,5.2,"39.30%",1,2,1,2.29,0,2,1,"1.80%",2,"3.70%",4,62.3,8.7,"51.80%","37.00%","60.70%",15,"23.60%",48,"12.50%","14.60%","22.90%","12.50%","62.50%",64.6,0,0,1,1,0,0,0,0,0,0,"50.00%",0,0,"0.00%",57.64,"C"
"Ty'ray Davis","Argonauts",2026,"QB","United Athletic","FCS",NA,NA,18,17,14,"82.30%","87.50%",227,13.3,"41.00%",3,0,0,0.81,1,1,0,"0.00%",0,"0.00%",0,158.3,8.4,"70.60%","23.50%","59.00%",8,"16.70%",0,"0","0","0","0","0",NA,89,8.9,1,3,0,0,0,6.1,1.9,1,"30.00%",0,3,"0.00%",55.2,"C"
"Gavin Rutherford","STF AUSTIN",2026,"QB","Southland","FCS",46,89.9,28,24,16,"66.70%","83.30%",144,6,"66.00%",0,0,2,2.71,0,1,0,"0.00%",2,"8.30%",4,82.6,9.6,"62.50%","37.50%","34.00%",7,"42.90%",0,"0","0","0","0","0",69.1,20,5,2,2,0,0,3,2,2,2,"50.00%",0.75,1,"0.00%",55.04,"C"
"Mason Mims","E TENN ST",2026,"QB","Southern","FCS",52,50.6,23,22,13,"59.10%","63.60%",242,11,"64.50%",3,1,1,2.06,0,2,1,"4.30%",1,"4.50%",1,117.8,13,"45.50%","54.50%","35.50%",10,"30.40%",0,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.81,"C"
"Lex Thomas","W CAROLINA",2026,"QB","Southern","FCS",64,65,50,46,26,"56.50%","71.00%",343,7.5,"54.50%",2,0,3,2.75,3,3,0,"0.00%",1,"2.20%",1,94.7,10.3,"39.10%","43.50%","47.20%",15,"20.00%",0,"0","0","0","0","0",56.6,12,2.4,0,0,0,0,0,0.2,1.4,1,"0.00%",0,0,"0.00%",52.25,"C"
"Cason Carswell","W ILLINOIS",2026,"QB","Big South - OVC Football Association","FCS",25,65.8,20,19,9,"47.40%","52.90%",140,7.4,"39.30%",0,0,0,2.5,1,4,0,"0.00%",3,"15.80%",0,72.3,9.7,"47.40%","42.10%","60.70%",7,"20.00%",0,"0","0","0","0","0",63.7,3,3,1,1,0,0,0,0,0,1,"100%",0,0,"0.00%",51.43,"C"
"Reginald Johnson","GRAMBLING",2026,"QB","SWAC","FCS",56,77.6,25,23,18,"78.30%","82.60%",258,11.2,"59.30%",0,1,1,2.42,0,0,1,"4.00%",1,"4.30%",1,95.3,8.3,"56.50%","43.50%","40.70%",11,"40.00%",0,"0","0","0","0","0",64.3,11,11,0,1,0,0,1,8,3,1,"100%",1,1,"0.00%",50.7,"C"
"Ashten Snelsire","RICHMOND",2026,"QB","Patriot","FCS",69,71,38,33,18,"54.50%","62.50%",246,7.5,"39.40%",2,0,4,2.27,1,2,0,"0.00%",1,"3.00%",2,98.8,12.6,"39.40%","57.60%","60.60%",10,"31.60%",0,"0","0","0","0","0",67.1,1,0.2,0,0,1,1,1,-0.2,0.4,1,"0.00%",0.2,0,"0.00%",49.81,"C"
"Kenny Lueth","N COLORADO",2026,"QB","Big Sky","FCS",65,71.5,40,31,20,"64.50%","80.70%",206,6.7,"61.20%",1,1,3,2.9,0,4,1,"2.50%",2,"6.50%",5,80.8,8,"64.50%","35.50%","38.80%",13,"17.50%",0,"0","0","0","0","0",66,53,4.8,0,4,0,0,0,0.9,2.9,6,"36.40%",0,2,"0.00%",49.76,"C"
"Gage Roy","ILL STATE",2026,"QB","Missouri Valley","FCS",27,65.3,17,14,8,"57.10%","81.80%",125,8.9,"19.20%",1,1,2,3.28,0,0,1,"5.90%",2,"14.30%",1,81,9.3,"50.00%","28.60%","80.80%",8,"41.20%",0,"0","0","0","0","0",63.1,31,10.3,0,2,0,0,0,8,2.3,1,"66.70%",0,2,"0.00%",49,"C"
"Dom Nankil","SAN DIEGO",2026,"QB","Pioneer","FCS",61,73.8,33,32,17,"53.10%","66.70%",194,6.1,"55.70%",1,2,1,2.42,0,3,1,"3.00%",2,"6.30%",3,56,7.2,"56.30%","37.50%","44.30%",10,"24.20%",0,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.14,"C"
"Poochie Snyder","SACR HEART",2026,"QB","CAA","FCS",76,48.2,39,27,14,"51.80%","68.20%",191,7.1,"48.20%",3,0,3,3.69,0,0,2,"5.10%",0,"0.00%",1,111.8,7.6,"48.10%","33.30%","57.10%",15,"2.60%",0,"0","0","0","0","0",60.7,71,5.1,0,4,0,0,3,0.6,4.4,9,"28.60%",0.21,3,"0.00%",47.52,"C"
"Frankie Weaver","MONMOUTH",2026,"QB","CAA","FCS",66,67,42,41,28,"68.30%","79.50%",252,6.2,"60.30%",3,0,1,2.15,1,0,0,"0.00%",0,"0.00%",3,109,7.3,"56.10%","39.00%","39.70%",17,"38.10%",0,"0","0","0","0","0",60,1,1,0,0,0,0,0,1,0,0,"0.00%",0,0,"0.00%",47.44,"C"
"Thomas Von Grote","STETSON",2026,"QB","Pioneer","FCS",11,53.4,29,24,19,"79.20%","86.40%",318,13.3,"62.30%",3,0,1,0,1,0,0,"0.00%",0,"0.00%",0,158.3,6.4,"45.80%","45.80%","37.70%",13,"0.00%",0,"0","0","0","0","0",51.6,19,2.4,0,0,0,0,0,-1.1,3.3,4,"0.00%",0,0,"0.00%",47.34,"C"
"Beckham Pellant","ILL STATE",2026,"QB","Missouri Valley","FCS",44,53.8,23,22,8,"36.40%","47.60%",132,6,"35.60%",1,1,1,2.24,0,1,1,"4.30%",3,"13.60%",2,53.6,14.3,"31.80%","63.60%","64.40%",8,"17.40%",0,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.61,"C"
"Ashton Pannell","CHISTA",2026,"QB","IND (FCS)","FCS",59,66.7,38,34,21,"61.80%","67.70%",169,5,"54.40%",1,0,1,3.06,1,3,1,"2.60%",1,"2.90%",0,84.1,7.6,"52.90%","38.20%","49.10%",8,"21.10%",0,"0","0","0","0","0",58.5,4,0.8,0,0,0,0,1,-2.4,3.2,3,"0.00%",0.2,0,"0.00%",44.6,"C"
"Gabe Passini","BUTLER",2026,"QB","Pioneer","FCS",47,69.3,24,20,14,"70.00%","82.30%",140,7,"50.00%",1,0,1,2.73,2,0,0,"0.00%",1,"5.00%",0,106.3,8.8,"45.00%","40.00%","50.70%",9,"29.20%",0,"0","0","0","0","0",61.2,27,3.9,0,3,0,0,0,2.6,1.3,3,"42.90%",0,1,"0.00%",44.46,"C"
"Ja'Shawn Scroggins","HOWARD",2026,"QB","MEAC","FCS",65,47.4,37,28,10,"35.70%","40.00%",134,4.8,"20.20%",1,1,5,2.88,1,5,2,"5.40%",1,"3.60%",0,48.8,16.1,"32.10%","57.10%","79.80%",9,"21.60%",0,"0","0","0","0","0",82.6,76,9.5,0,3,0,0,2,3.3,2.4,4,"37.50%",0.25,2,"0.00%",43.61,"C"
"Nick Billoups","CITADEL",2026,"QB","Southern","FCS",47,82,13,11,8,"72.70%","90.00%",94,8.6,"13.80%",0,0,1,3.34,0,0,0,"0.00%",0,"0.00%",1,98.3,11.4,"27.30%","63.60%","87.20%",4,"30.80%",10,"10.00%","20.00%","10.00%","10.00%","70.00%",66.1,47,3.9,2,4,0,0,1,1.1,2.5,1,"33.30%",0.08,0,"0.00%",43.5,"C"
"Tyler Budge","RHODE ISLD",2026,"QB","CAA","FCS",61,63.3,37,31,18,"58.10%","66.70%",195,6.3,"38.50%",1,2,2,2.83,0,3,1,"2.70%",0,"0.00%",2,60.6,9.7,"51.60%","45.20%","61.50%",10,"32.40%",28,"14.30%","35.70%","25.00%","10.70%","39.30%",70.2,44,5.5,1,5,0,0,1,0.4,4.8,4,"62.50%",0.13,2,"0.00%",43.4,"C"
"Pops Battle","LNDNWD",2026,"QB","Big South - OVC Football Association","FCS",74,59.6,37,30,19,"63.30%","67.90%",209,7,"44.00%",0,0,4,2.78,1,1,0,"0.00%",1,"3.30%",0,83.9,13.1,"46.70%","46.70%","56.00%",11,"29.70%",0,"0","0","0","0","0",71.3,74,7.4,2,3,0,0,1,3.7,3.1,3,"30.00%",0.1,2,"0.00%",42.96,"C"
"Nate Bell","E WASHGTON",2026,"QB","Big Sky","FCS",77,51.4,43,37,25,"67.60%","71.40%",257,7,"40.90%",2,0,1,0,0,0,0,"0.00%",0,"0.00%",0,105.3,8.3,"51.30%","43.20%","63.80%",18,"0.00%",0,"0","0","0","0","0",40.3,98,4.9,3,8,0,0,0,1.8,2.8,5,"40.00%",0,4,"0.00%",42.61,"C"
"Jack Johnson","GEORGETOWN",2026,"QB","Patriot","FCS",24,68.9,16,11,5,"45.50%","60.00%",53,4.8,"18.90%",1,0,2,2.98,1,1,0,"0.00%",1,"9.10%",1,90.3,12.8,"45.50%","45.50%","98.10%",5,"43.80%",0,"0","0","0","0","0",58.3,58,11.6,0,2,0,0,0,8.6,0,2,"40.00%",0,2,"0.00%",42.58,"C"
"Nick Peipert","STTHOM",2026,"QB","Pioneer","FCS",NA,NA,11,11,6,"54.50%","70.00%",116,10.6,"25.00%",1,0,0,2.7,0,2,0,"0.00%",1,"9.10%",1,121.8,13.3,"45.50%","45.50%","75.00%",4,"27.30%",0,"0","0","0","0","0",NA,4,1.3,0,0,0,0,0,-1,2.3,0,"0.00%",0,0,"33.30%",42.09,"C"
"Sonny Mannino","MARIST",2026,"QB","Pioneer","FCS",NA,NA,28,25,16,"64.00%","73.90%",203,8.1,"64.50%",1,2,0,2.6,1,1,1,"3.60%",0,"0.00%",1,69.3,9.2,"48.00%","44.00%","39.40%",9,"42.90%",0,"0","0","0","0","0",NA,106,9.6,2,5,0,0,0,1.4,8.2,2,"45.50%",0,4,"22.20%",41.85,"C"
"Chris Parson","AUSTINPEAY",2026,"QB","United Athletic","FCS",44,66.3,27,21,12,"57.10%","68.40%",116,5.5,"37.10%",1,0,5,2.81,0,1,0,"0.00%",1,"4.80%",1,88.6,8.1,"52.40%","38.10%","67.20%",5,"37.00%",18,"16.70%","16.70%","22.20%","16.70%","61.10%",54.1,16,3.2,0,3,0,0,1,-0.2,3.4,1,"60.00%",0.2,0,"0.00%",41.43,"C"
"Kai Colon","ALBANY",2026,"QB","CAA","FCS",61,59.3,42,36,15,"41.70%","51.50%",193,5.4,"44.60%",2,1,3,3.07,0,4,0,"0.00%",0,"0.00%",2,66.1,12.2,"38.90%","52.80%","55.40%",11,"21.40%",30,"10.00%","26.70%","36.70%","23.30%","36.70%",52.9,6,3,0,0,0,0,0,0.5,0,2,"0.00%",0,0,"0.00%",41.4,"C"
"Chase Mason","S DAK ST",2026,"QB","Missouri Valley","FCS",93,64.3,60,52,23,"44.20%","55.80%",285,5.5,"16.80%",0,1,2,2.68,0,4,1,"1.70%",1,"1.90%",6,53.8,12.2,"26.90%","73.10%","83.20%",17,"28.30%",48,"12.50%","20.80%","37.50%","8.30%","41.70%",64.7,48,4.4,0,4,1,0,2,0.6,2.5,6,"36.40%",0.18,2,"0.00%",40.68,"C"
"Noah Brannock","DELWARE ST",2026,"QB","MEAC","FCS",21,74.7,17,13,6,"46.20%","63.60%",55,4.2,"74.60%",0,1,1,3.18,1,2,0,"0.00%",0,"0.00%",1,26.1,6.6,"38.50%","46.20%","25.40%",9,"11.80%",0,"0","0","0","0","0",77,47,7.8,2,4,0,0,3,4.5,3.3,3,"66.70%",0.5,3,"0.00%",40.39,"C"
"Keali'i Ah Yat","MONTANA",2026,"QB","Big Sky","FCS",67,54.4,41,40,27,"67.50%","71.00%",287,7.2,"50.90%",2,0,0,0,0,0,0,"0.00%",0,"0.00%",0,104.9,8.8,"60.00%","35.00%","49.80%",14,"0.00%",0,"0","0","0","0","0",51.5,8,2.7,0,0,0,0,0,1,1.7,1,"0.00%",0,0,"0.00%",39.09,"D"
"Nelson Layne","NC CENT",2026,"QB","MEAC","FCS",1,60.4,26,20,13,"65.00%","65.00%",160,8,"66.90%",2,1,2,0,0,0,0,"0.00%",0,"0.00%",0,102.1,6.7,"70.00%","30.00%","33.10%",10,"0.00%",0,"0","0","0","0","0",NA,45,6.4,0,1,0,0,0,-0.6,7,4,"14.30%",0,2,"0.00%",38.38,"D"
"Jordan Cooke","IDAHO ST",2026,"QB","Big Sky","FCS",62,64.9,38,35,18,"51.40%","58.80%",152,4.3,"35.50%",1,0,2,2.47,0,1,0,"0.00%",0,"0.00%",2,72.6,11.9,"48.60%","48.60%","69.70%",11,"5.30%",29,"6.90%","20.70%","31.00%","17.20%","48.30%",59.6,14,1.4,1,2,0,0,1,0.4,1,1,"20.00%",0.1,1,"0.00%",37.52,"D"
"Casey Bullock","DAVIDSON",2026,"QB","Pioneer","FCS",54,60.2,38,34,14,"41.20%","51.50%",181,5.3,"38.70%",0,0,2,2.37,0,3,0,"0.00%",1,"2.90%",3,58.6,10.9,"41.20%","55.90%","61.30%",7,"21.10%",0,"0","0","0","0","0",69.8,24,4,0,2,0,0,3,1.8,0.3,2,"33.30%",0.5,1,"0.00%",37.45,"D"
"Donovyn Omolo","CENT ARK",2026,"QB","United Athletic","FCS",NA,NA,46,32,21,"65.60%","72.40%",197,6.2,"63.40%",1,1,3,0.78,0,2,0,"0.00%",0,"0.00%",0,79.8,5.6,"59.40%","31.30%","36.50%",16,"13.00%",0,"0","0","0","0","0",NA,145,10.4,1,4,1,0,0,1.7,4.8,11,"28.60%",0,6,"0.00%",37.28,"D"
"Eddie Buehler","MAINE",2026,"QB","CAA","FCS",58,63.3,34,33,18,"54.50%","64.50%",198,6,"35.40%",0,2,1,2.6,0,3,2,"5.90%",1,"3.00%",2,47.3,8.6,"48.50%","45.50%","64.60%",11,"41.20%",29,"6.90%","13.80%","31.00%","13.80%","55.20%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.56,"D"
"Elijah Owens","INDIANA ST",2026,"QB","Missouri Valley","FCS",39,61.7,26,20,11,"55.00%","63.20%",122,6.1,"50.80%",0,0,3,3.01,1,2,1,"3.90%",0,"0.00%",1,73.3,8.1,"65.00%","30.00%","49.20%",5,"11.50%",18,"16.70%","16.70%","27.80%","11.10%","55.60%",65.6,72,8,0,4,0,0,5,-0.6,8.1,3,"44.40%",0.56,4,"0.00%",36.51,"D"
