"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Total.Tackles","Assistant","Stops","Run.Tackle.for.Losss.or.No.Gain","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Pass.Plays","Average.Depth.of.Tackle","Missed.Tackles.on.Run.Plays","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Pass.Rush.Productivity","Unblocked.Pass.Rush","Average.Depth.of.Target.per.Coverage","Assist.on.Pass.Plays","Yards.per.Reception.Allowed","Sacks","Pursuit.Pressure","Pass.Break.Up","Hits","Drops...Off.Targets.Receptions.Forced","Beaten.Defender","Plays.of.15..Yards.Allowed","Forced.Fumble","Lined.up.in.Press.Coverage","Pass.Tackle.for.Loss.or.No.Gain","Fumble.Recovery","Interceptions","Dropped.Int","Touchdowns.Allowed","Batted.Passes","Missed.Tackle.Percentage","Run.Stop","Pass.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact"
"MARCELLIUS PULLIAM","COAST CAR",31,76.92,"B",78.8,97.3,57.5,41.1,5,2,3,2,2,1,1.33,0,39.6,0,25,1,12,0,0,0,0,0,0,1,0,0,1,NA,0,0,0,0,0,0,0.167,3,0,2,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,3
"HAYDEN DAWAHARE","KENT STATE",37,76.2,"B",71.6,66,62.1,69.6,4,0,4,2,0,0,1.33,0,39.6,0,0,1,36,0,0,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,1,2,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,3
"JUSTYCE BETTS","W MICHIGAN",44,75.92,"B",80.4,79.2,57.1,72,8,2,3,2,1,0,2,1,56.3,0.35,0,0,3,1,6,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0.111,3,0,2,0,0,2,3,0,1,1,0.5,6,0,1,0,0,0,0,0,0,3,0.5,0.125,0,9,0,4
"ZACH BERGMANN","BUFFALO",65,75.19,"B",81.2,84.8,60,70.5,7,1,5,1,1,0,1.2,0,39.6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,5,0,1,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,3
"EJ SMITH","NEVADA",68,74.96,"B",77.6,84.7,70.3,62.7,10,2,4,1,2,1,5.67,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.091,2,2,1,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,11,0,5
"MICHAEL MOLNAR","OHIO",73,73.25,"B",78.6,92.3,55.5,58.7,9,0,5,2,0,0,1.83,0,95.1,1.58,16.7,0,0.7,0,8.2,0,0,0,0,1,0,1,1,NA,0,0,0,0,0,0,0,4,1,2,2,2,0,2,2,1,5,0.833,41,1,0,0,0,0.039,0,0.167,0,6.8,0,0,0,9,0,7
"MAKAI WILLIAMS","TULANE",44,73.18,"B",78,79.1,70.6,67.8,8,2,4,1,2,0,1,0,91.7,0.26,0,1,4,0,6,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,3,1,0,1,2,0,0,1,1,1,6,0,0,1,0,0,0,0,0,6,0,0,0,8,0,5
"MARCANTHONY PARKER","NAVY",70,71.32,"B",76.2,81.2,71.2,61.1,9,3,3,1,3,1,2.67,0,108.3,0.36,27.8,1,-5,0,10,1,0,0,1,0,1,0,0,NA,0,0,0,0,0,0,0.1,2,1,1,2,4,3,3,1,0,1,1,10,1,0,0,0,0,0,1,0,10,0,0,0.333,10,0,2
"ALEX ROCHA","SACRAMENTO",48,71.19,"B",85.5,76.9,78.1,71.6,5,0,4,1,0,0,2.25,0,NA,NA,5,1,NA,0,NA,0,0,0,1,NA,0,NA,0,NA,1,0,NA,0,NA,0,0,3,1,2,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,0,5
"BRANDON TUCKER","UTSA",49,70.63,"B",75,72.4,55.8,73.6,11,1,7,1,1,0,2.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0.083,5,2,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,12,0,7
"ZAKYE BARKER","N TEXAS",39,70.56,"B",82.3,81,71.4,66.5,6,3,2,0,3,0,4,1,118.8,0.81,33.3,1,11,0,13,1,1,1,2,0,0,0,0,NA,0,1,0,0,0,0,0.143,2,0,0,0,3,3,3,1,1,1,1,13,1,1,0,0,0,0,1,0,13,1,0.167,0,7,0,3
"AVERY JONES","N ILLINOIS",45,70.01,"B",75.2,78.6,66.6,68.2,9,1,5,1,1,1,4.5,0,89.2,1.69,25,1,2.4,0,6.8,1,0,1,0,1,0,1,0,NA,0,0,0,1,0,0,0.1,2,3,1,0,1,1,2,2,2,4,0.8,27,1,1,0,0,0.063,0,0.2,0,5.4,0.2,0,0.2,10,0,8
"XAVIER WHITE","C MICHIGAN",56,69.84,"B",62.9,60.3,52.6,66.7,8,2,4,2,2,0,3,1,56.3,0.23,0,0,5,0,6,0,0,1,0,1,0,0,0,NA,0,0,0,0,0,0,0.111,3,1,2,0,0,2,5,2,2,1,0.5,6,1,1,0,0,0,0,0.5,0,3,0.5,0.143,0,9,0,6
"CANNON LEWIS","MARSHALL",72,69.57,"B",60.6,66.5,67.2,54.7,14,5,5,1,2,1,4.5,0,71.3,0.52,5.6,1,5.2,3,7.7,0,0,0,1,2,1,0,0,NA,0,0,0,0,0,0,0.067,2,3,1,0,1,5,8,5,2,3,0.6,23,1,0,0,0,0,0,0.2,0,4.6,0,0,0.111,15,0,6
"JT HOOTEN","JAMES MAD",30,69.51,"B",87.9,84.1,77.2,69.8,3,1,2,1,1,0,0.5,0,39.6,0,10,1,10.5,0,0,0,0,0,1,2,1,0,0,NA,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
"MICHAEL HARRIS","USF",34,69.39,"B",75.3,68.5,67.1,70.7,6,3,2,1,3,0,-1,1,0,0,25,1,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.143,1,1,1,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,7,0,4
"MAYSON HITCHENS","C MICHIGAN",33,69.37,"B",74.4,69.9,62.8,70.9,10,3,4,0,3,0,3,0,41,0.56,0,1,-0.7,0,3.3,0,0,0,1,0,0,0,0,NA,2,0,1,0,0,0,0,1,3,2,0,1,3,2,1,3,3,1,10,1,0,0,0,0,0,0.333,0.333,3.3,0,0,0,10,0,5
"KOLBE FIELDS","LA TECH",41,69.11,"B",72.4,84.4,55.5,64,5,3,2,1,3,2,-0.5,0,0,0,12.5,2,0,0,0,0,1,0,0,0,2,0,0,NA,0,0,0,0,0,0,0.286,2,0,1,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3
"KOREY SMITH","MIDDLE TN",60,68.14,"B",76.1,85,59.2,63.1,13,5,5,0,2,0,3.29,0,95.8,0.23,0,0,0,3,7,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,5,0,0,0,0,5,1,1,0,1,1,7,0,0,0,0,0,0,0,0,7,0,0,0,13,0,7
"DONOVAN WOOLEN","N DAK ST",57,67.94,"B",76.2,74.2,55,72.5,10,2,2,1,1,0,5.71,0,NA,NA,16.7,1,NA,1,NA,0,0,0,1,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,2,0,1,0,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,0,12
"SIONE HALA","S DIEGO ST",45,67.92,"B",65.6,46.3,69.9,77.5,10,2,5,1,1,0,4.67,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,3,2,2,1,1,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6
"TJ THOMPSON","TROY",26,67.68,"B",84.2,80.4,55.7,76.8,5,2,2,0,2,0,1,0,39.6,0,16.7,0,9,0,0,0,1,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0
"DEAN FORD","SM HOUSTON",52,67.19,"B",77.5,77.5,53.1,74.9,4,0,3,1,0,0,1,0,39.6,0,5.6,1,9,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,1,0,0,0,2,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,2
"DEUCE SPURLOCK","LIBERTY",42,66.53,"B",74.8,87,55.4,64.9,5,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
"IKE ESONWUNE","UAB",64,66.16,"B",63.7,61.6,66.1,61.8,10,4,2,1,1,1,4.8,0,20.8,0.36,10,0,3,3,8,0,0,1,0,1,0,0,0,NA,0,0,1,0,0,0,0.091,2,0,1,1,1,4,7,3,2,1,0.5,8,1,1,0,0,0,0,0.5,0.5,4,0.5,0,0.2,11,0,7
"RASHON MYLES JR.","GA SOUTHRN",75,66.13,"B",67.1,61.2,65.9,67.3,12,1,8,2,0,1,3.25,4,39.6,0,0,0,24,1,0,0,0,0,0,1,1,0,0,NA,0,0,0,0,0,0,0.294,6,2,2,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.2,17,0,10
"PERCY COURTNEY JR.","FIU",36,66.11,"B",72,73.1,67.3,65.6,6,2,3,1,2,0,2,1,56.3,-0.05,25,0,7.5,0,-1,0,0,0,0,1,0,0,0,NA,1,0,0,0,0,0,0.143,2,1,2,1,1,2,2,1,1,1,0.5,-1,0,0,0,0,0,0,0,0,-0.5,0,0.2,0,7,0,1
"DEE CRAYTON","UNLV",44,65.66,"B",62.3,66.7,59.6,57.2,9,2,5,1,2,0,2.8,1,45.1,0.5,33.3,0,4.3,0,11,1,1,0,0,1,0,0,0,NA,1,0,0,0,0,0,0.1,4,1,2,0,1,2,4,1,0,1,0.333,11,0,0,0,0,0,0,0,0,3.7,0,0.125,0,9,0,7
"GARRETT HAWKINS","UTEP",37,65.13,"B",74.5,75.7,58.3,66.8,6,2,3,1,2,0,3.33,1,56.3,0.5,0,0,2,0,6,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0.143,2,1,1,0,0,2,2,1,1,1,0.5,6,0,1,0,0,0,0,0,0,3,0.5,0.167,0,7,0,2
"ISAIAH HUNG","WASH STATE",41,64.91,"B",85.6,78.8,NA,82.1,9,1,5,0,1,0,14,0,83.3,0.89,NA,0,-1.8,0,4,0,0,0,0,0,0,0,0,NA,2,0,0,0,0,0,0,1,4,2,0,0,1,0,0,3,4,1,16,0,0,0,0,0,0,0,0,4,0,0,0,9,0,7
"BARON HOPSON","KENNESAW",52,64.9,"B",66.8,77.2,59.1,53.4,11,5,5,1,2,0,2.2,2,108.3,1.83,50,1,0.3,3,14,0,0,0,0,1,0,2,0,NA,0,0,0,0,0,0,0.154,5,0,1,1,1,5,5,2,0,3,0.75,42,2,0,0,0,0.087,0,0.5,0,10.5,0,0.222,0,13,0,7
"DAX COLLINS","TULSA",55,64.83,"B",75.2,90.7,87.7,52.2,9,4,3,0,3,0,4.25,0,101.7,1.27,0,0,4.8,1,10.5,0,0,0,0,1,0,2,0,NA,0,0,0,0,0,0,0,3,0,0,1,1,4,3,3,2,4,0.8,42,2,0,0,0,0.061,0,0.4,0,8.4,0,0,0,9,0,4
"BLAYNE MYRICK","MIAMI OH",24,64.61,"B",72.2,62.9,NA,72.4,4,0,4,2,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,2,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
"ZACH MOWCHAN","E MICHIGAN",62,64.48,"B",68,76.9,54.2,57.9,8,5,2,0,5,0,3,0,115,1.17,0,0,9.2,0,9.3,0,0,1,0,2,0,1,0,NA,0,0,0,0,1,0,0,1,1,0,0,0,5,2,2,1,3,0.6,28,2,1,0,0,0.042,0,0.4,0,5.6,0.2,0,0,8,0,4
"STEVEN PEREZ","WYOMING",26,63.6,"B",77.8,83.3,NA,65,4,1,4,1,1,0,4,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
"AARON ALEXANDER","N TEXAS",34,63,"B",69.9,77.4,66.5,54.1,4,1,3,1,1,0,2.33,1,0,0,20,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0.2,3,0,1,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,5,0,3
"STEVIE BRACEY","BUFFALO",70,62.73,"B",75.2,87.1,64.2,59.5,11,2,4,0,1,0,4.83,0,117.7,1.58,10,1,9.8,1,12.3,0,1,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,2,2,0,2,2,2,3,3,2,4,1,49,3,1,0,0,0.032,0,0.75,0,12.3,0.25,0,0,11,0,5
"JASHAWN COOPER","MO STATE",18,62.66,"B",81.7,78.5,NA,71.6,4,1,2,1,0,0,0.5,0,0,0,NA,0,14,1,0,0,0,0,0,1,0,0,0,NA,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,2
"MIKE MONTGOMERY","MEMPHIS",73,62.29,"B",67.2,67.6,53.3,65.8,9,5,1,0,5,0,10,1,39.6,0,0,0,6,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0.1,1,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,10,0,6
"DILLON MOORE","W MICHIGAN",62,62,"B",73.7,79.7,56.8,67.3,9,2,4,1,1,0,2.6,0,93.8,0.87,0,0,0.3,1,6.5,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,3,1,1,0,0,2,2,1,1,4,1,26,1,0,0,0,0,0,0.25,0,6.5,0,0,0,9,0,6
"ISAIAH BOGERTY","UTEP",26,59.45,"C",70.1,81.4,60,55.2,6,3,2,1,3,0,1,0,95.8,0.54,0,0,5,0,7,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,0,1,0,0,3,1,1,0,1,1,7,1,0,0,0,0,0,1,0,7,0,0,0,6,0,2
"JOSEPH SIPP JR.","FAU",48,59.29,"C",77.2,82.2,55.7,66,6,1,5,0,1,0,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4
"GAVIN WILLIS","CHARLOTTE",53,58.91,"C",71.1,66,57,71.1,7,1,4,2,1,0,-0.5,1,110.4,1.45,0,0,4.8,0,10.5,0,0,0,0,0,0,1,0,NA,2,0,0,0,0,0,0.125,2,2,4,0,0,1,3,1,2,4,1,42,1,0,0,3,0.035,0.75,0.25,0,10.5,0,0.25,0,8,0,6
"MELVIN SPRIGGS","SO MISS",17,58.65,"C",70.8,70.6,NA,61.8,4,2,2,1,2,0,-0.5,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
"COOPER KING","RICE",35,58.41,"C",76.6,88.2,59.3,58,9,1,4,0,1,1,6.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.1,3,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,10,0,6
"COLEMAN CAULEY","NAVY",73,58.04,"C",76,61.1,53.5,88.8,9,4,2,0,4,1,3,2,91.7,0.21,6.3,1,4,0,6,0,1,0,0,0,1,0,1,NA,0,0,0,0,0,0,0.25,0,2,0,2,2,4,5,1,1,1,1,6,0,0,0,0,0,0,0,0,6,0,0.25,0.25,12,0,7
"JULIAN FOX","TOLEDO",40,57.92,"C",71.4,67.7,64.9,66.3,7,3,4,1,0,0,0.67,1,70.1,0.16,NA,0,6,2,2,0,0,0,0,1,0,0,0,NA,1,0,0,0,0,0,0.125,3,1,2,0,0,2,3,1,2,2,0.667,4,1,0,0,0,0,0,0.333,0,1.3,0,0.25,0,8,0,6
"BRYCE STEELE","TROY",24,57.84,"C",85,66.6,58,84.9,5,2,3,0,2,0,0,0,87.5,0.36,0,0,2,0,5,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,0,3,1,0,0,2,0,0,3,1,1,5,0,0,0,0,0,0,0,0,5,0,0,0,5,0,4
"JOSH ANGLIN","KENNESAW",30,57.83,"C",77.2,79,59.1,63.8,6,0,2,1,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
"DOMANICK MOON","W MICHIGAN",42,57.37,"C",74.3,59.7,71.9,74.3,8,2,2,0,1,0,3,1,77.1,0.52,50,0,0.5,1,3.7,1,2,0,0,1,0,0,1,NA,1,0,0,0,0,0,0.111,0,2,1,1,2,2,2,0,2,3,0.75,11,0,0,0,0,0,0,0,0,2.8,0,0.333,0,9,0,4
"WALKER O'STEEN","JVILLE ST",50,57.36,"C",78.8,73.2,85.6,67,7,3,2,0,2,0,2,1,91.7,0.3,10,0,-2,1,6,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,2,0.125,1,1,0,1,1,3,1,0,0,1,1,6,0,0,0,0,0,0,0,0,6,0,0.167,0,8,0,5
"ETHAN POWELL","S JOSE ST",38,56.48,"C",71.4,69.3,47.6,77.2,6,2,3,1,2,1,1.5,1,118.8,1.38,16.7,2,-2,0,18,0,1,0,0,0,0,1,0,NA,0,0,0,0,0,0,0.25,1,2,1,3,3,2,2,0,2,1,1,18,1,0,0,0,0.077,0,1,0,18,0,0.2,0.333,8,0,7
"TYWON CHRISTOPHER","KENNESAW",66,56.48,"C",58.6,65.7,56.9,52,9,4,4,1,3,0,2.25,1,118.8,0.54,0,0,10,1,14,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.1,3,1,1,0,0,4,5,2,0,1,1,14,1,0,0,0,0,0,1,0,14,0,0.125,0,10,0,9
"CURLY ORDONEZ","TEMPLE",57,56.41,"C",68.9,62.8,54.3,71.9,12,2,7,0,2,0,4.6,1,91.7,0.67,12.5,1,4.3,0,6,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.077,3,3,0,1,1,2,6,2,3,3,1,18,2,0,0,0,0,0,0.667,0,6,0,0.125,0,13,0,9
"ISAAC ZAY","TOLEDO",36,55.98,"C",87.2,68.4,66.1,88.7,4,2,2,0,1,0,4.5,1,16.7,0,0,0,0.5,1,0,0,0,0,0,1,0,0,0,NA,1,0,1,0,0,1,0.2,0,1,1,0,0,2,1,0,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.333,0,5,0,5
"DICKSON AGU","TULANE",65,55.5,"C",57.9,73.2,47.1,52.6,13,7,4,0,5,3,4,1,100,1.06,0,0,1.3,2,11.3,0,1,0,0,1,0,1,0,NA,0,0,0,0,0,0,0.235,4,0,0,1,1,7,9,5,1,3,0.75,34,1,0,0,0,0.031,0,0.25,0,8.5,0,0.091,0.5,17,0,8
"PEDER HAUGO","N DAK ST",22,55.37,"C",68.4,61.9,71.2,64,5,0,3,1,0,0,3,1,NA,NA,100,0,NA,0,NA,1,1,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,0.167,2,1,1,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0,6,0,3
"JASHAWN NELSON","N ILLINOIS",58,55.24,"C",73.7,65.6,75.8,71.2,10,2,2,0,2,0,5.17,0,79.2,0.15,20,0,3,0,3,1,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,1,1,0,0,1,2,3,0,1,1,1,3,0,0,0,0,0,0,0,0,3,0,0,0,10,0,6
"JORDAN THOMPSON","COAST CAR",31,55.19,"C",80.7,82.4,70.4,65.3,4,2,2,0,1,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
"GANNON WEATHERSBY","JAMES MAD",26,55.06,"C",74.1,69.2,64.7,70.2,6,1,5,0,1,1,3,1,58.3,0.44,0,0,2.5,0,7,0,1,0,0,1,0,0,0,NA,2,0,0,0,0,0,0.25,2,3,2,1,1,1,2,1,3,1,0.5,7,0,0,0,0,0,0,0,0,3.5,0,0.25,0.25,8,0,6
"MARCUS ROSS","LA MONROE",49,54.85,"C",57,62.7,53.6,53.1,6,4,0,0,4,0,12,1,0,0,11.1,1,0,0,0,0,1,0,1,0,0,0,0,NA,0,0,0,0,0,0,0.143,0,0,0,1,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,7,0,3
"NAKIAN JACKSON","JAMES MAD",36,54.49,"C",72.1,81.6,52.3,65.8,3,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
