"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Season","Position","Conference","Conference_Level","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","row_id"
"DEUCE BAILEY","COAST CAR",69,67.23,"B",2026,"QB","Sun Belt","G5",74,31,26,13,"50.00%","62.50%",224,8.6,"22.80%",3,0,1,3.83,1,1,1,"3.20%",2,"7.70%",2,118.1,15.3,"26.90%","65.40%","82.60%",11,"22.60%",0,"0","0","0","0","0",65.7,22,7.3,0,2,0,0,3,-4.7,12,3,"66.70%",1,2,"0.00%",60
"MARCUS STOKES","MEMPHIS",60,66.12,"B",2026,"QB","The American","G5",82.1,35,29,17,"58.60%","66.70%",384,13.2,"44.30%",1,1,2,2.6,0,2,1,"2.90%",3,"10.30%",1,100.1,17.8,"51.70%","41.40%","55.70%",15,"40.00%",0,"0","0","0","0","0",58.1,44,4.4,0,2,0,0,1,0.5,3.9,4,"20.00%",0.1,2,"16.70%",41
"BISHOP DAVENPORT","S ALABAMA",82,65.89,"B",2026,"QB","Sun Belt","G5",69.6,43,36,23,"63.90%","71.40%",292,8.1,"47.60%",2,0,2,2.75,0,2,0,"0.00%",2,"5.60%",2,107.6,9.5,"47.20%","50.00%","52.40%",15,"37.20%",0,"0","0","0","0","0",76.1,70,8.8,0,4,0,0,4,2.5,6.3,5,"50.00%",0.5,3,"0.00%",18
"KELDRIC LUSTER","BALL ST",55,64.26,"B",2026,"QB","MAC","G5",76.2,44,33,26,"78.80%","83.90%",258,7.8,"33.00%",3,1,4,2.78,1,1,1,"2.30%",1,"3.00%",0,116.9,9.5,"51.50%","42.40%","73.60%",16,"13.60%",0,"0","0","0","0","0",72.2,91,7.6,0,2,0,0,3,5.2,2.4,5,"16.70%",0.25,1,"0.00%",36
"SKYLER LOCKLEAR","MO STATE",41,63.9,"B",2026,"QB","C-USA","G5",83.7,25,22,18,"81.80%","81.80%",258,11.7,"50.40%",1,0,1,2.88,0,0,0,"0.00%",2,"9.10%",0,130.7,8.4,"72.70%","27.30%","49.60%",11,"24.00%",0,"0","0","0","0","0",59.8,10,3.3,0,2,0,0,1,-1.7,4,1,"66.70%",0.33,0,"0.00%",19
"JJ KOHL","FIU",78,63.76,"B",2026,"QB","C-USA","G5",67,40,37,22,"59.50%","68.80%",410,11.1,"42.90%",3,0,0,2.65,0,4,1,"2.50%",1,"2.70%",0,124.8,11.2,"40.50%","46.00%","57.10%",14,"40.00%",0,"0","0","0","0","0",53.6,19,3.8,0,0,0,0,0,0.8,2.2,3,"0.00%",0,0,"0.00%",34
"MALACHI SINGLETON","APP STATE",52,63.46,"B",2026,"QB","Sun Belt","G5",83.5,34,29,20,"69.00%","78.60%",267,9.2,"42.70%",0,0,2,2.87,0,0,0,"0.00%",1,"3.50%",2,97.9,8.6,"51.70%","44.80%","57.30%",15,"35.30%",0,"0","0","0","0","0",70.8,26,2.2,1,3,0,0,0,0.8,0.8,3,"25.00%",0,1,"11.10%",26
"BROC LOWRY","W MICHIGAN",69,63.11,"B",2026,"QB","MAC","G5",74,23,23,14,"60.90%","66.70%",212,9.2,"28.80%",3,1,0,2.62,0,0,0,"0.00%",2,"8.70%",0,112.7,15.2,"34.80%","56.50%","72.60%",11,"60.90%",0,"0","0","0","0","0",68.6,39,7.8,0,2,0,0,1,5.2,2.6,0,"40.00%",0.2,2,"0.00%",28
"QUINN HENICLE","DOMINION",56,61.39,"B",2026,"QB","Sun Belt","G5",63.7,30,22,13,"59.10%","73.70%",187,8.5,"22.50%",1,0,6,2.74,1,1,2,"6.70%",4,"18.20%",1,101.9,11.7,"40.90%","45.50%","80.80%",6,"46.70%",0,"0","0","0","0","0",90.3,120,10.9,1,4,0,0,1,9.9,0.7,2,"36.40%",0.09,3,"0.00%",53
"RICKIE COLLINS","KENNESAW",58,60.62,"B",2026,"QB","C-USA","G5",64.7,45,36,23,"63.90%","72.70%",263,7.3,"38.00%",1,1,5,2.99,0,4,2,"4.40%",2,"5.60%",1,83.4,10.5,"50.00%","41.70%","67.30%",14,"13.30%",0,"0","0","0","0","0",61.4,50,7.1,1,3,0,0,2,3.1,4,4,"42.90%",0.29,3,"0.00%",27
"CAMERAN BROWN","GA STATE",42,60.56,"B",2026,"QB","Sun Belt","G5",69.6,26,21,14,"66.70%","66.70%",239,11.4,"54.40%",0,1,0,2.9,0,1,1,"3.90%",1,"4.80%",0,85.2,9.2,"47.60%","52.40%","45.60%",12,"30.80%",0,"0","0","0","0","0",72,56,4.7,1,3,0,0,3,-0.9,3.7,5,"25.00%",0.25,2,"0.00%",49
"LUKE WEAVER","S JOSE ST",80,58.93,"C",2026,"QB","MWC","G5",74.7,41,34,22,"64.70%","71.90%",238,7,"36.10%",3,0,0,3.06,0,1,1,"2.40%",2,"5.90%",1,114.6,10.5,"41.20%","52.90%","66.00%",13,"41.50%",0,"0","0","0","0","0",48.7,53,4.8,0,2,1,1,1,2.5,2,7,"18.20%",0.09,1,"0.00%",58
"JOHN ALAN RICHTER","TOLEDO",45,54.31,"C",2026,"QB","MAC","G5",70.4,26,25,15,"60.00%","64.00%",252,10.1,"65.50%",3,0,0,2.38,0,3,1,"3.90%",0,"0.00%",1,133.7,12,"40.00%","60.00%","36.10%",12,"19.20%",0,"0","0","0","0","0",57.3,1,1,0,0,0,0,0,1,0,1,"0.00%",0,0,"0.00%",10
"MITCH GRIFFIS","E CAROLINA",34,53.95,"C",2026,"QB","The American","G5",61,46,38,22,"57.90%","70.60%",241,6.3,"34.40%",2,1,2,2.92,2,5,3,"6.50%",2,"5.30%",2,83.3,12.4,"44.70%","44.70%","67.20%",13,"26.10%",0,"0","0","0","0","0",68.7,82,8.2,0,4,0,0,2,4.6,2.4,6,"40.00%",0.2,5,"0.00%",1
"TOA FA'AVAE","NEW MEXICO",33,51.16,"C",2026,"QB","MWC","G5",54.8,13,11,3,"27.30%","36.40%",96,8.7,"53.10%",1,0,2,2.75,0,2,2,"15.40%",0,"0.00%",1,93.8,23.9,"9.10%","90.90%","46.90%",4,"30.80%",0,"0","0","0","0","0",63,26,26,1,1,0,0,0,26,0,0,"100%",0,1,"0.00%",64
"CARLOS DEL RIO-WILSON","MARSHALL",48,50.4,"C",2026,"QB","Sun Belt","G5",51.2,12,11,7,"63.60%","63.60%",92,8.4,"75.00%",1,0,0,2.16,0,0,0,"0.00%",0,"0.00%",0,120.3,10.4,"54.50%","45.50%","25.00%",4,"33.30%",0,"0","0","0","0","0",77.8,43,4.3,1,6,1,1,2,0.5,2.6,1,"60.00%",0.2,3,"0.00%",6
"GRADY BROSTERHOUS","UTAH ST",26,49.72,"C",2026,"QB","Pac-12","G5",61.5,41,30,17,"56.70%","64.30%",196,6.5,"41.30%",2,3,5,3.05,1,3,3,"7.30%",1,"3.30%",1,59.2,12.1,"43.30%","50.00%","62.80%",13,"31.70%",0,"0","0","0","0","0",68,98,6.1,0,5,0,0,4,1,5.1,6,"31.30%",0.25,5,"40.00%",8
"BRAD JACKSON","TEXAS ST",46,49.61,"C",2026,"QB","Pac-12","G5",59.2,35,32,18,"56.30%","63.30%",206,6.4,"46.10%",1,2,0,2.28,1,0,1,"2.90%",0,"0.00%",1,60.2,10.9,"43.80%","50.00%","56.30%",12,"34.30%",2,"0","0","50.00%","0","50.00%",67.4,44,3.1,1,6,1,0,1,1.1,1.4,3,"42.90%",0.07,1,"0.00%",46
"LANDYN LOCKE","SM HOUSTON",73,49.44,"C",2026,"QB","C-USA","G5",73.1,44,36,24,"66.70%","90.00%",316,8.8,"62.30%",2,0,4,2.75,3,2,2,"4.50%",2,"5.60%",3,112.7,5,"63.90%","19.40%","40.50%",11,"27.30%",0,"0","0","0","0","0",50,22,4.4,0,0,0,0,0,1.6,0.6,4,"0.00%",0,0,"0.00%",63
"BROCK GLENN","W KENTUCKY",4,48.07,"C",2026,"QB","C-USA","G5",53.3,27,24,12,"50.00%","65.20%",84,3.5,"52.40%",1,1,1,2.52,1,1,1,"3.70%",0,"0.00%",3,54.9,6,"75.00%","20.80%","47.60%",7,"33.30%",0,"0","0","0","0","0",72.2,82,5.9,2,4,1,0,3,0.9,4.9,2,"28.60%",0.21,3,"0.00%",22
"TYLER HUGHES","WYOMING",55,47.42,"C",2026,"QB","MWC","G5",68,27,26,18,"69.20%","78.30%",149,5.7,"50.30%",2,0,0,3.19,0,1,1,"3.70%",2,"7.70%",0,109.3,9,"46.20%","42.30%","57.00%",8,"29.60%",0,"0","0","0","0","0",62.9,32,3.2,0,3,0,0,0,1.2,2,1,"30.00%",0,2,"0.00%",15
"KADIN SEMONZA","TULANE",40,46.53,"C",2026,"QB","The American","G5",82.4,25,22,14,"63.60%","75.00%",212,9.6,"30.20%",1,0,1,2.8,1,0,1,"4.00%",2,"9.10%",1,110.4,13.7,"27.30%","63.60%","70.80%",9,"24.00%",0,"0","0","0","0","0",51.5,-2,-0.3,0,0,0,0,0,-1.1,0.9,2,"0.00%",0,0,"0.00%",33
"JASON WRIGHT","BUFFALO",NA,46.11,"C",2026,"QB","MAC","G5",81.4,33,30,14,"46.70%","66.70%",209,7,"25.40%",2,1,2,2.5,1,1,3,"9.10%",5,"16.70%",2,78.3,15.9,"23.30%","56.70%","77.50%",9,"15.20%",0,"0","0","0","0","0",63.8,4,2,0,0,0,0,0,1,1,1,"0.00%",0,0,"0.00%",57
"NOAH KIM","E MICHIGAN",69,46.09,"C",2026,"QB","MAC","G5",57.2,32,27,16,"59.30%","72.70%",118,4.4,"97.50%",0,0,4,2.42,2,2,0,"0.00%",0,"0.00%",0,69.7,4.7,"59.30%","22.20%","2.50%",4,"28.10%",0,"0","0","0","0","0",73.2,25,8.3,1,3,0,0,1,2,6.3,1,"100%",0.33,2,"0.00%",3
"GOOSE CROWDER","TROY",69,45.82,"C",2026,"QB","Sun Belt","G5",67.6,30,28,15,"53.60%","66.70%",213,7.6,"62.90%",1,0,1,2.47,2,3,0,"0.00%",0,"0.00%",1,90.3,8.8,"32.10%","53.60%","37.10%",8,"40.00%",0,"0","0","0","0","0",65.2,9,2.3,0,2,0,0,1,1,1.3,1,"50.00%",0.25,0,"0.00%",4
"CAMDEN COLEMAN","JAMES MAD",15,45.37,"C",2026,"QB","Sun Belt","G5",73.6,20,17,11,"64.70%","76.50%",181,10.7,"48.60%",1,0,1,2.72,0,0,0,"0.00%",0,"0.00%",2,120,10.5,"41.20%","58.80%","53.00%",8,"55.00%",0,"0","0","0","0","0",62.1,16,8,0,0,0,0,0,5.5,2.5,2,"0.00%",0,0,"0.00%",25
"AJ BIANCO","NEVADA",NA,44.06,"C",2026,"QB","MWC","G5",75.6,25,21,12,"57.10%","66.70%",116,5.5,"52.60%",1,1,0,3.42,0,1,0,"0.00%",0,"0.00%",2,68.8,12.2,"57.10%","42.90%","47.40%",8,"36.00%",0,"0","0","0","0","0",64.7,36,7.2,0,2,0,0,0,-3.4,10.6,4,"40.00%",0,2,"0.00%",13
"RYDER BURTON","UAB",82,43.56,"C",2026,"QB","The American","G5",65.9,22,16,8,"50.00%","66.70%",115,7.2,"12.20%",1,1,3,3.18,0,1,1,"4.50%",1,"6.30%",2,68.5,13.8,"25.00%","68.80%","89.60%",7,"36.40%",0,"0","0","0","0","0",73.3,35,3.9,0,6,0,0,0,1.3,2.6,3,"66.70%",0,0,"0.00%",35
"MICAH ALEJADO","HAWAII",77,43.25,"C",2026,"QB","MWC","G5",76.2,48,45,33,"73.30%","81.00%",346,7.7,"44.20%",0,0,1,2.9,0,0,2,"4.20%",0,"0.00%",1,95.2,8.1,"51.10%","42.20%","55.80%",16,"14.60%",0,"0","0","0","0","0",42.9,5,2.5,0,0,1,1,1,-2.5,3.5,2,"0.00%",0.5,0,"0.00%",44
"TREY OWENS","ARK STATE",63,41.21,"C",2026,"QB","Sun Belt","G5",63.3,22,18,13,"72.20%","72.20%",135,7.5,"83.70%",2,0,2,2.51,0,1,1,"4.50%",1,"5.60%",0,130.6,8.8,"61.10%","38.90%","18.50%",7,"36.40%",0,"0","0","0","0","0",63.4,12,6,0,0,0,0,1,1,5,1,"0.00%",0.5,0,"0.00%",47
"ROMAN GAGLIANO","MIDDLE TN",51,39.01,"D",2026,"QB","C-USA","G5",51,53,49,26,"53.10%","69.60%",243,5,"49.40%",2,1,0,2.65,2,3,2,"3.80%",0,"0.00%",6,72.1,8,"51.00%","42.90%","51.80%",17,"18.90%",0,"0","0","0","0","0",61.6,58,7.3,0,2,1,0,2,2,5.3,4,"25.00%",0.25,2,"0.00%",43
"MATT VEZZA","OHIO",8,38.97,"D",2026,"QB","MAC","G5",62.8,22,14,10,"71.40%","83.30%",80,5.7,"68.80%",1,0,1,3.6,1,0,0,"0.00%",0,"0.00%",0,109.2,4,"64.30%","21.40%","31.30%",7,"31.80%",0,"0","0","0","0","0",53.7,69,6.3,0,4,1,0,1,2.1,4.2,7,"36.40%",0.09,2,"0.00%",39
"LIAM SZARKA","AIR FORCE",50,38.23,"D",2026,"QB","MWC","G5",51,17,13,5,"38.50%","38.50%",103,7.9,"25.20%",0,1,1,3.29,0,0,2,"11.80%",2,"15.40%",0,35.1,16.5,"15.40%","84.60%","74.80%",7,"29.40%",0,"0","0","0","0","0",68.1,95,4.8,1,4,0,0,2,2.6,2,3,"20.00%",0.1,2,"11.80%",56
"AUSTIN CARLISLE","LA MONROE",29,38.18,"D",2026,"QB","Sun Belt","G5",54.7,27,20,10,"50.00%","61.10%",56,2.8,"125%",0,1,2,2.66,0,3,1,"3.70%",0,"0.00%",1,35.4,4.1,"60.00%","30.00%","-25.00%",6,"29.60%",0,"0","0","0","0","0",80.7,99,6.2,1,5,0,0,8,2.9,3.3,5,"31.30%",0.5,3,"0.00%",62
"JACKSON ARNOLD","UNLV",65,37.88,"D",2026,"QB","MWC","G5",65.9,35,32,19,"59.40%","72.40%",211,6.6,"23.70%",0,0,3,2.84,0,3,2,"5.70%",1,"3.10%",2,79,12.1,"34.40%","56.30%","76.30%",10,"31.40%",0,"0","0","0","0","0",67.1,24,2.4,0,3,0,0,0,1.1,1.3,0,"30.00%",0,0,"10.00%",31
"TARON DICKENS","N ILLINOIS",30,37.47,"D",2026,"QB","MWC","G5",75.2,35,30,24,"80.00%","89.70%",189,6.3,"74.10%",1,1,4,2.1,0,0,0,"0.00%",1,"3.30%",2,90.1,3.5,"73.30%","23.30%","25.90%",10,"28.60%",0,"0","0","0","0","0",57.3,5,5,0,0,0,0,0,1,4,1,"0.00%",0,0,"0.00%",40
"OWEN MCCOWN","UTSA",52,35.29,"D",2026,"QB","The American","G5",58.7,52,46,30,"65.20%","68.90%",222,4.8,"52.70%",1,0,2,2.54,0,2,1,"1.90%",0,"0.00%",1,83.8,6.8,"60.90%","37.00%","50.00%",14,"17.30%",0,"0","0","0","0","0",53.7,19,3.8,0,1,0,0,0,1.2,0.8,4,"20.00%",0,0,"0.00%",12
"CADEN PINNICK","WASH STATE",58,33.02,"D",2026,"QB","Pac-12","G5",67.8,29,21,10,"47.60%","57.90%",86,4.1,"45.40%",0,0,4,3.62,0,4,0,"0.00%",0,"0.00%",1,58.8,9.3,"38.10%","52.40%","54.60%",6,"24.10%",0,"0","0","0","0","0",67.7,54,6,0,2,1,0,2,-0.3,6.3,4,"22.20%",0.22,3,"0.00%",50
"TREY HEDDEN","NEW MEX ST",55,32.46,"D",2026,"QB","C-USA","G5",56.9,44,40,19,"47.50%","52.60%",256,6.4,"44.50%",1,2,1,2.65,1,4,4,"9.10%",2,"5.00%",1,55.8,12.4,"37.50%","57.50%","55.90%",14,"22.70%",0,"0","0","0","0","0",36.4,17,2.8,0,1,2,1,1,-0.2,3,3,"16.70%",0.17,1,"0.00%",51
"NICK MINICUCCI","DELAWARE",59,32.03,"D",2026,"QB","C-USA","G5",49,38,30,12,"40.00%","50.00%",199,6.6,"79.40%",1,2,5,2.71,0,3,1,"2.60%",1,"3.30%",1,46.4,6.7,"53.30%","33.30%","20.60%",9,"13.20%",0,"0","0","0","0","0",74.9,21,4.2,0,2,1,0,2,0.6,2.2,3,"40.00%",0.4,1,"0.00%",30
"JACURRI BROWN","RICE",53,31.54,"D",2026,"QB","The American","G5",72.5,16,13,9,"69.20%","76.90%",76,5.8,"27.60%",0,0,1,2.4,0,0,0,"0.00%",1,"7.70%",1,84.1,8.2,"53.80%","46.20%","72.40%",5,"56.30%",0,"0","0","0","0","0",44.2,40,2.5,0,3,3,3,2,0.4,1.6,2,"18.80%",0.13,2,"28.60%",7
"MAX JOHNSON","GA SOUTHRN",59,31.27,"D",2026,"QB","Sun Belt","G5",39.6,54,50,27,"54.00%","60.40%",244,4.9,"45.50%",1,0,3,2.36,0,6,4,"7.40%",2,"4.00%",2,74.1,9.1,"56.00%","40.00%","54.50%",12,"14.80%",0,"0","0","0","0","0",60.1,43,10.8,0,1,1,0,2,3.8,2.3,1,"25.00%",0.5,3,"0.00%",2
"ANGEL FLORES","C MICHIGAN",25,29.66,"D",2026,"QB","MAC","G5",44,17,13,7,"53.80%","75.00%",57,4.4,"64.90%",0,1,2,2.54,1,2,1,"5.90%",0,"0.00%",2,33.2,8.9,"61.50%","30.80%","35.10%",3,"35.30%",0,"0","0","0","0","0",69.6,128,6.1,1,6,0,0,1,1.3,4.8,2,"28.60%",0.05,2,"5.30%",20
"COLE GONZALES","CHARLOTTE",76,29.23,"D",2026,"QB","The American","G5",70,25,23,15,"65.20%","65.20%",121,5.3,"45.50%",0,1,0,2.35,0,1,1,"4.00%",0,"0.00%",0,60.2,6.7,"60.90%","39.10%","54.50%",9,"24.00%",20,"10.00%","15.00%","25.00%","15.00%","60.00%",50.6,8,1.3,0,0,0,0,1,-1.2,2.5,2,"0.00%",0.17,0,"0.00%",16
"DESHAWN PURDIE","LIBERTY",67,28.17,"D",2026,"QB","C-USA","G5",56.1,21,16,6,"37.50%","43.80%",122,7.6,"49.20%",1,0,4,3.3,0,5,1,"4.80%",1,"6.30%",1,85.9,13.7,"31.30%","68.80%","50.80%",4,"19.10%",0,"0","0","0","0","0",60.2,3,1,0,0,1,1,0,-4,5,1,"0.00%",0,0,"0.00%",45
"BAYLOR HAYES","TULSA",61,27.65,"D",2026,"QB","The American","G5",62.8,40,33,17,"51.50%","66.70%",174,5.3,"61.50%",0,0,3,2.69,0,4,0,"0.00%",0,"0.00%",3,67,11.3,"54.50%","36.40%","38.50%",11,"35.00%",0,"0","0","0","0","0",55,20,2.2,0,0,0,0,0,1,0.4,4,"0.00%",0,0,"0.00%",55
"ELIJAH HOLMES","BUFFALO",84,26.6,"D",2026,"QB","MAC","G5",71.5,16,14,9,"64.30%","81.80%",64,4.6,"62.50%",0,0,1,2.13,0,0,0,"0.00%",1,"7.10%",0,74.7,2.3,"64.30%","14.30%","37.50%",4,"25.00%",0,"0","0","0","0","0",60.4,11,5.5,0,0,0,0,1,-4.5,10,1,"0.00%",0.5,0,"0.00%",66
"ETHAN HAMPTON","SO MISS",64,22.97,"D",2026,"QB","Sun Belt","G5",57.4,32,29,18,"62.10%","80.00%",146,5,"65.80%",1,2,1,2.37,0,2,1,"3.10%",0,"0.00%",2,57.5,2.9,"72.40%","13.80%","34.30%",8,"6.30%",0,"0","0","0","0","0",53.4,6,2,0,0,0,0,0,-1.3,3.3,2,"0.00%",0,0,"0.00%",5
"JAXON SMOLIK","TEMPLE",30,21.45,"D",2026,"QB","The American","G5",42,23,16,10,"62.50%","66.70%",59,3.7,"88.10%",0,1,1,3.17,0,2,1,"4.30%",0,"0.00%",0,43.5,3.7,"75.00%","18.80%","11.90%",6,"26.10%",0,"0","0","0","0","0",69.6,83,10.4,0,3,0,0,2,2.5,5.4,6,"37.50%",0.25,2,"0.00%",21
"BLAKE BAKER","LA TECH",28,15.43,"F",2026,"QB","Sun Belt","G5",39,35,23,11,"47.80%","60.00%",125,5.4,"64.80%",1,1,8,3.21,0,1,3,"8.60%",1,"4.30%",1,61,9.2,"47.80%","39.10%","35.20%",5,"25.70%",19,"10.50%","10.50%","36.80%","21.10%","52.60%",40.7,18,3,0,0,1,0,1,0.8,2.2,4,"0.00%",0.17,0,"0.00%",24
