"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Knockdown.Percentage","Defeated.Runblock.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Beaten.by.Defender","Hurries.Allowed","Sacks.Allowed","Hits.Allowed"
"BEN GUSTAFSON","N ILLINOIS",53,56.42,"C",65.4,31.8,0.057,0.036,0.24,0,0.107,1,2,1,0
"JARIAN SHELBY","OHIO",69,56.31,"C",68.1,59.6,0.043,0.031,0,0,0.094,0,2,0,1
"TYRIQ POINDEXTER","APP STATE",76,56.14,"C",45.5,62.1,0.013,0.063,0.25,0,0.094,0,1,2,0
"DANTE DEVINE","SO MISS",60,55.31,"C",53.2,54.8,0.017,0,0.167,0,0,3,0,0,0
"GRAYSON JOHNSON","UTEP",52,55.19,"C",62.9,59.5,0.019,0,0.037,0,0.08,0,2,0,0
"AIDAN ANDREWS","GA STATE",66,54.77,"C",52.7,62.1,0,0.039,0.15,0,0.077,0,1,0,1
"ALEX LOPEZ","W KENTUCKY",71,54.06,"C",57.3,60.8,0.028,0.051,0.094,0,0.051,2,0,2,0
"HAYES CREEL","E CAROLINA",73,53.79,"C",56.4,74.7,0,0,0.033,0,0.023,2,1,0,0
"JACK FOSTER","NEVADA",74,53.62,"C",60.5,56.5,0.04,0,0.067,0,0.023,3,1,0,0
"BRAYDEN WALTON","FRESNO ST",62,53.48,"C",56.5,67.8,0,0.031,0,0,0.031,1,0,0,1
"TYLER ROBERTS","UTEP",52,53.13,"C",69.2,30.9,0.077,0.04,0.148,0,0.16,0,3,1,0
"AJ VINSON","LA MONROE",64,52.17,"C",36.2,65.6,0,0,0.27,0,0.074,0,2,0,0
"TORIYAN JOHNSON","COLO STATE",41,52.1,"C",52.4,68.5,0.024,0,0.294,0,0.167,0,4,0,0
"QUINTON HARRIS","COLO STATE",26,51.1,"C",55.2,50.5,0,0.071,0.083,0,0.071,1,0,0,1
"REESE TRIPP","MIDDLE TN",72,50.97,"C",56.4,73.7,0,0,0.053,0,0.075,0,4,0,0
"BRAYDEN THOMPSON","MO STATE",31,50.87,"C",55.1,65.2,0.032,0,0.158,0,0.167,0,2,0,0
"HAYDEN CHRISTMAN","LA TECH",54,50.2,"C",56.7,58.3,0.018,0.083,0.059,0,0.083,1,0,3,0
"CALEB PYFROM","NEW MEX ST",31,49.93,"C",67.5,54.4,0.032,0,0,0,0.1,1,2,0,0
"NOAH ROSAHAC","DELAWARE",72,49.77,"C",55.2,62.3,0.014,0.044,0.074,0,0.089,0,2,2,0
"DANZEL NEWELL","NEW MEXICO",47,49.45,"C",56.4,53.2,0,0,0.042,0,0.043,1,1,0,0
"COLIN ALEXANDER","GA SOUTHRN",70,48.97,"C",53.6,68.4,0,0.018,0.067,0,0.018,3,0,1,0
"BRADEN CAIN","SO MISS",60,48.36,"C",59.4,52.4,0.017,0.024,0.056,0,0.048,2,1,1,0
"SAMUEL ADJIN","E MICHIGAN",53,47.84,"C",53.2,52.9,0,0.065,0.091,0,0.097,0,1,2,0
"JOSEPH BORJON","S DIEGO ST",57,47.06,"C",45.3,54.7,0,0.083,0.182,0,0.083,1,0,0,2
"TROY SMITH III","LA TECH",44,47,"C",65.6,46.1,0.045,0.035,0.133,0,0.172,0,4,1,0
"GABRIEL ARENA","BUFFALO",71,46.81,"C",60.5,46.2,0.028,0.041,0.091,0,0.102,0,3,2,0
"MATTHEW WILLIAMS","GA SOUTHRN",53,45.69,"C",57.1,67.3,0,0,0,0,0.048,2,2,0,0
"AARON KARAS","MEMPHIS",56,44.74,"C",32.7,60.7,0,0,0.364,0,0.118,0,4,0,0
"XAVIER ALLEN","MEMPHIS",43,44.55,"C",64.4,41.4,0.023,0.071,0.067,0,0.143,0,2,1,1
"TRISTAN COOK","BALL ST",73,44.4,"C",60.5,25,0.041,0,0.074,0,0.043,2,2,0,0
"LUKE MILLER","RICE",27,43.68,"C",45.9,10.9,0,0.125,0.211,0,0.125,0,0,0,1
"QUENTIN BUTLER","MIDDLE TN",72,43.54,"C",56.3,62.5,0,0,0.053,0,0.094,0,5,0,0
"JONATHAN GOULD","AKRON",45,42.83,"C",63,50.7,0.022,0,0,0,0.103,1,3,0,0
"ARMOND OWENS","NEW MEX ST",41,42.49,"C",58.6,29.2,0.024,0,0.118,0,0.042,3,1,0,0
"MYLES JOSEPH","SM HOUSTON",65,40.17,"C",46.9,52.5,0,0.023,0.182,0,0.116,0,4,1,0
"DAUGHTRY RICHARDSON","COAST CAR",50,39.4,"D",40.7,57.3,0,0,0.316,0,0.065,4,2,0,0
"RAYKWON GOLDTHWAITE","DOMINION",40,37.98,"D",47.6,37,0.025,0,0.235,0,0.087,3,2,0,0
"DENNIS JONES","S DIEGO ST",57,37.19,"D",46.8,20.8,0.035,0.042,0.182,0,0.083,2,1,0,1
"GABE FUNK","BOWL GREEN",52,36.54,"D",59.3,42,0.019,0,0.035,0,0.13,1,3,0,0
"JAYLIN CALDWELL","WASH STATE",32,35.17,"D",65.3,11.9,0.031,0,0,0,0.105,1,2,0,0
"TYRONE DAVIS","BUFFALO",39,34.19,"D",48.5,31.8,0,0.042,0.267,0,0.125,2,2,0,1
"JACK LAIRD","MARSHALL",62,33.09,"D",53.3,48.3,0,0,0.125,0,0.167,0,5,0,0
"JEREMY SMITH","FIU",77,32.62,"D",50.1,49.7,0.026,0.024,0.056,0,0.122,1,4,0,1
"BOOGIE HENDERSON","HAWAII",58,32.36,"D",42.4,34.5,0,0,0.263,0,0.051,4,2,0,0
"ISAAC SOHN","SM HOUSTON",66,31.15,"D",66.5,28.6,0.03,0.068,0,0,0.114,2,2,2,1
"MARLEO NEOLIEN","E CAROLINA",71,30.87,"D",54.7,45,0,0,0.069,0,0.143,0,6,0,0
"ALEKAI AFOA","UNLV",73,26.48,"D",60.2,12,0.027,0.049,0.125,0,0.146,1,4,1,1
"ASHTON TRIPP","WASH STATE",51,25.76,"D",60.4,1.9,0.039,0.035,0.045,0,0.172,0,4,1,0
"JAYLEN GARTH","UTSA",47,24.39,"D",53.9,26.7,0,0,0,0,0.097,2,3,0,0
"A'MARION BRELAND","UTSA",74,24.23,"D",55.4,16.6,0,0,0.042,0,0.06,3,3,0,0
"BARRETT MADDOX","UAB",69,22.61,"D",36.9,28.7,0,0.048,0.333,0,0.238,0,4,0,1
"NIKOLA MILOVAC","KENNESAW",59,18.38,"F",60.1,28.2,0.017,0.044,0.143,0,0.222,0,8,1,1
"KENDRICK HALL","DOMINION",43,0,"F",43.5,0,0,0.192,0.176,0,0.231,4,1,3,2
