"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Passer.Rating.Allowed","Pass.Break.Up","Drops...Off.Targets.Receptions.Forced","Receiving.Yards.Allowed.per.Snap","Yards.per.Reception.Allowed","Average.Depth.of.Target.per.Coverage","Interceptions","Pass.Stop","Average.Depth.of.Tackle","Assist.Tackles.on.Run.Plays","Plays.of.15..Yards.Allowed","Pass.Tackle.for.Loss.or.No.Gain","Missed.Tackles.on.Pass.Plays","Touchdowns.Allowed","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Pass.Rush.Productivity","Run.Tackle.for.Losss.or.No.Gain","Dropped.Int","Unblocked.Pass.Rush","Forced.Fumble","Beaten.Defender","Sacks","Fumble.Recovery","Pursuit.Pressure","Hits","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact","Batted.Passes","Interception"
"IFY OBIDEGWU","OREGON",46,82.21,"A",75.3,73.2,72.3,NA,2,1,1,39.6,1,0,0,0,19,0,0,2,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0
"KENNY WORTHY","CINCINNATI",65,80.54,"A",70.7,71.2,63.2,59.1,1,0,0,0,1,1,0,0,10.3,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0.25,0,0,1,0,1,0,0.25,0,0.25,0,0.25,0,0,1,0,1,0,1
"ZABIEN BROWN","ALABAMA",31,80.15,"A",70.9,67.5,73.2,NA,3,2,1,39.6,0,1,0,0,11,0,1,0,2,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"MICHEAL GRAHAM JR.","KANSAS ST",15,80.13,"A",75.3,60,80.4,NA,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
"BYRON BALDWIN JR.","INDIANA",34,79.8,"B",69.4,68.9,68.1,54.6,7,2,3,85.4,0,0,0.64,4.5,-2,0,2,11.5,2,0,1,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,2,1,9,0,0,0,2,0,1,0,0,4.5,0,0,0,7,0,5,0,0
"ELLIOT WASHINGTON II","CLEMSON",79,79.43,"B",71.1,73.8,52.6,NA,5,1,2,59.9,2,2,0.74,7.8,12.4,0,2,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,4,0.5,31,1,2,0,2,0,0.25,0.125,0,3.9,0.25,0,0,5,0,4,0,0
"DYLAN FLOWERS","DUKE",53,79.1,"B",75.1,73.6,70.4,NA,2,0,1,39.6,1,1,0,0,20,0,0,3,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,2,0,2,0,0
"NEHEMIAH CHANDLER","FLORIDA ST",26,78.48,"B",74,73.9,61.2,NA,NA,0,0,0,0,1,0,0,9,1,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,0,0,0,1
"JOHN NESTOR","MINNESOTA",25,78.44,"B",73.7,71.1,69.6,NA,2,0,2,0,0,0,0,0,0,0,1,-2,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"NICK TAYLOR","W VIRGINIA",53,77.78,"B",71.8,70.3,69.6,NA,3,1,0,39.6,1,2,0,0,18.3,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0.333,0,0,3,0,2,0,0
"JONTEZ WILLIAMS","USC",24,77.58,"B",77.7,75.1,70,NA,2,1,0,39.6,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0
"JACOB WALLACE","IOWA",28,76.84,"B",70,64.7,76.3,NA,2,1,1,39.6,1,2,0,0,6.7,0,0,2,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.333,0,0,2,0,1,0,0
"JUICE CLARKE","ILLINOIS",70,76.41,"B",73.8,73,69.2,NA,2,1,0,39.6,1,0,0,0,14,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0
"JORDAN THOMAS","OHIO STATE",15,76.16,"B",72.8,72.5,61.9,NA,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"JETT JEFFERSON","MISS STATE",16,75.92,"B",73.7,71.6,65.4,NA,2,0,2,39.6,0,0,0,0,24,0,1,4,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0
"RODRICK PLEASANT","UCLA",73,75.54,"B",60.6,60.2,60.8,NA,6,2,2,49.3,2,3,0.8,6.6,10.3,0,1,-4,1,0,0,0,0,1,1,NA,1,0,0,0,0,0,0,0,0,0.143,1,1,0,0,2,8,6,4,5,0.417,33,2,2,0,5,0,0.417,0.167,0,2.8,0.167,0.333,0,7,0,6,0,0
"SMITH SNOWDEN","MICHIGAN",58,75.27,"B",72.5,76,67.2,NA,5,2,3,77.1,0,1,0.42,3.7,2.5,0,3,0,1,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,3,0.75,11,0,0,0,2,0,0.5,0,0,2.8,0,0,0,5,0,3,0,0
"THERRIAN ALEXANDER III","BYU",17,75.08,"B",68.1,67.7,60.3,NA,NA,0,0,0,0,2,0,0,12.5,1,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,NA,NA,NA,0,0,0,1
"JALEN MAYO","HOUSTON",73,75.05,"B",72.5,69.7,70.5,71.8,6,1,1,42.4,1,1,0.06,3,5.7,0,0,1,0,0,0,1,0,0,1,NA,0,0,0,0,1,0,0,0,0,0.143,1,0,0,0,1,2,2,1,1,0.333,3,0,1,0,1,0,0.333,0,0,1,0.333,0,0.2,6,0,2,0,0
"JOSIAH ZAYAS","PENN STATE",34,74.83,"B",65.2,61.5,72.4,59.2,3,0,2,64.6,1,1,0.47,3,7.4,0,1,-5,0,0,1,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,0,1,2,1,1,0,2,2,2,3,0.6,9,1,1,0,2,0,0.4,0.2,0,1.8,0.2,0,0,3,0,3,0,0
"CHRIS PEAL","SYRACUSE",40,74.66,"B",75.4,78.7,67.3,NA,4,0,4,79.2,0,1,0.54,4.7,8.5,0,3,4,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,3,0.75,14,0,0,0,1,0,0.25,0,0,3.5,0,0,0,4,0,4,0,0
"JOJO SCOTT","KANSAS ST",25,74.59,"B",76.6,75.1,70.3,NA,1,0,1,39.6,0,2,0,0,18.5,0,0,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"JAMROC GRIMSLEY","MISS STATE",21,74.36,"B",74.2,81.1,45.3,NA,2,0,1,39.6,1,0,0,0,2,0,1,0,0,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0.333,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,0,2,0,0
"TRE POTEAT III","TENNESSEE",21,74.25,"B",64.1,76.5,33,NA,2,1,1,39.6,1,0,0,0,4,0,1,0,1,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0.333,0,1,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5,0,3,0,1,0,0
"JACOBE JOHNSON","OKLAHOMA",15,74.17,"B",76,75.2,61.4,NA,NA,0,0,39.6,1,0,0,0,38,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0
"SOMAD EADDY","WAKE",22,73.93,"B",73.7,72.3,67.1,NA,3,2,0,39.6,0,1,0,0,5,0,0,0,2,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"JERMAINE MATHEWS JR.","OHIO STATE",36,73.07,"B",83,83.1,62.2,NA,4,1,2,70.1,1,0,0.69,4.5,4.3,0,2,0,0,0,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1,1,1,5,4,0.667,18,1,1,0,4,0,0.667,0.167,0,3,0.167,0,0.2,5,0,4,0,0
"JULIO HUMPHREY","TEXAS A&M",19,72.17,"B",75.2,74.4,64.5,NA,1,0,0,39.6,1,0,0,0,6,0,0,7,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"DAVID COFFEY","IOWA STATE",35,71.37,"B",69.7,72.9,57.7,59.4,2,0,1,39.6,1,0,0,0,20,0,0,3,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0.333,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333,0,3,0,1,0,0
"VICTOR EVANS III","NEBRASKA",33,70.92,"B",74.9,74.7,60.5,NA,NA,0,0,42.4,2,0,0.35,9,14.7,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,1,1,2,1,0.333,9,0,2,0,1,0,0.333,0,0,3,0.667,NA,NA,NA,0,0,0,0
"KELLEY JONES","MISS STATE",16,70.52,"B",76.2,75.1,60.9,NA,NA,0,0,39.6,1,0,0,0,5,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0
"KYON LOUD","DUKE",56,70.48,"B",75.5,74.3,69.9,NA,3,2,0,50.4,1,1,0.5,9,10,0,0,0,1,0,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,2,2,2,4,2,0.4,18,1,2,0,3,0,0.6,0.2,0,3.6,0.4,0,0.333,4,0,1,0,0
"KANYE CLARK","FLORIDA",69,70.45,"B",68.2,65.5,70.4,65.6,9,3,1,100.3,1,1,1.71,13,12.9,0,1,11,1,2,0,0,0,0,2,NA,0,0,1,0,0,0,0,0,1,0,0,0,1,2,3,3,3,4,5,0.714,65,3,1,0,4,0.053,0.571,0.429,0,9.3,0.143,0,0,9,0,3,0,0
"SIONE LAULEA","MISSOURI",29,69.15,"B",77.9,78,61.5,NA,2,0,0,42.4,0,4,0.95,9,17.3,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,0.333,18,0,0,0,2,0,0.333,0,0,3,0,0,0,2,0,2,0,0
"JAQUEZ WHITE","VA TECH",15,69.09,"B",67.2,62,69.5,NA,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"WILL JAMES","HOUSTON",75,68.66,"B",67.4,65.8,72.4,58.1,5,0,3,75,1,1,0.45,6.3,9.7,0,2,1,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,3,4,0.667,25,1,1,0,2,0,0.333,0.167,0,4.2,0.167,0,0,5,0,5,0,0
"RAYSHAWN PLEASANT","AUBURN",95,68.2,"B",65.1,62.8,72,NA,6,2,0,46.9,2,2,0.86,12.3,13,0,0,7,2,2,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,2,6,6,4,4,0.333,49,3,4,0,6,0.035,0.5,0.25,0,4.1,0.333,0,0.333,7,0,3,0,0
"JAYDEN BELLAMY","UCF",25,67.93,"B",67.2,65.9,64.5,NA,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"TYRAN CHAPPELL","MICH STATE",30,67.76,"B",58.7,57,64.7,NA,2,1,1,43.8,2,0,0.56,10,13.3,0,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0.333,10,0,2,0,1,0,0.333,0,0,3.3,0.667,0,0,2,0,1,0,0
"SHAMARI EARLS","MICHIGAN",16,67.02,"B",68.4,63.6,69.4,NA,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RICKEY GIBSON III","TEXAS A&M",18,66.92,"B",68.6,62.9,70.7,NA,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"JAMARI SHARPE","INDIANA",16,66.87,"B",66.6,65,63.8,NA,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"NAIIM PARRISH","MINNESOTA",16,66.75,"B",65.7,65.3,60.4,NA,2,0,1,39.6,0,0,0,0,10,0,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"DEVON JORDAN","BAYLOR",67,66.24,"B",72.1,71.6,66.9,NA,3,0,1,65.3,0,1,0.89,17,4.7,1,1,25,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0.667,34,1,0,0,1,0.026,0.333,0.333,0.333,11.3,0,0,0,3,0,2,0,1
"ETHAN O'CONNOR","MIAMI FL",26,65.89,"B",71.3,71,61.6,NA,NA,0,0,39.6,0,1,0,0,38,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0
"MARCELLUS BARNES JR.","SMU",62,65.83,"B",69.1,67.9,67.6,NA,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"NA'EEM OFFORD","OREGON",27,65.51,"B",60.2,57.5,66.5,NA,NA,0,0,8.3,1,0,0.81,13,20.7,1,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,2,2,1,1,0.333,13,1,1,0,1,0,0.333,0.333,0.333,4.3,0.333,NA,NA,NA,0,1,0,1
"JALYN CRAWFORD","OLE MISS",65,65.48,"B",67.8,66.8,67.1,NA,4,0,0,39.6,0,3,0.21,7,16.3,0,0,6,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.25,7,0,0,0,0,0,0,0,0,1.8,0,0,0,4,0,1,0,0
"SHELTON LEWIS","ARKANSAS",36,65.47,"B",69.1,69,61.7,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"DEZZ RICKS","TEXAS A&M",19,65.28,"B",69.1,68.6,60,NA,NA,0,0,39.6,0,3,0,0,21.7,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0
"AMARI JACKSON","MARYLAND",22,64.6,"B",67.5,66.2,63.5,NA,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"BRAYLON CONLEY","GEORGIA",25,64.09,"B",73.4,71.1,67.5,NA,1,0,1,42.4,0,0,0.33,5,7.7,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.333,5,0,1,0,1,0,0.333,0,0,1.7,0.333,0,0,1,0,1,0,0
"DEVIN SANCHEZ","OHIO STATE",37,63.87,"B",74.5,79.6,45.9,NA,2,0,1,42.4,1,0,0.59,8,6.8,0,1,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,2,1,4,2,0.333,16,1,2,0,1,0,0.167,0.167,0,2.7,0.333,1,0,3,0,3,0,0
"JAY TIMMONS","OHIO STATE",33,63.77,"B",72,69.8,69.4,60,1,0,0,47.9,2,0,0.52,5.5,4.8,0,0,8,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2,2,3,2,0.4,11,1,3,0,2,0,0.4,0.2,0,2.2,0.6,0,0.5,2,0,2,0,0
"KAYLIB SINGLETON","MISS STATE",42,63.09,"B",68.8,68.6,62.6,NA,1,0,0,39.6,0,2,0,0,8.5,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CHASEN JOHNSON","USC",16,62.97,"B",75.2,75.2,60.6,NA,0,0,0,42.4,1,1,0.78,7,19.3,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.333,7,0,1,0,1,0,0.333,0,0,2.3,0.333,0,0,1,0,0,0,0
"BENI NGOYI","IOWA STATE",32,62.9,"B",84.6,82.9,72.1,NA,3,2,0,70.1,0,0,2.8,28,19,1,0,0,2,2,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,2,2,2,1,2,0.667,56,2,0,0,1,0.1,0.333,0.667,0.333,18.7,0,0,0.5,4,0,2,0,1
"ASHTON STAMPS","ARIZONA ST",26,62.87,"B",66.2,65.7,61.1,NA,2,1,1,42.4,0,1,0.57,8,9.3,0,1,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.333,8,0,1,0,2,0,0.667,0,0,2.7,0.333,0,0,2,0,1,0,0
"JOSH FUSSELL","NWESTERN",74,62.85,"B",66.3,65,68.4,60,5,0,1,72.9,1,3,1.78,17.4,14.5,0,1,6,1,4,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,5,4,5,0.455,87,3,3,0,3,0.082,0.273,0.273,0,7.9,0.273,0,0,5,0,3,0,0
"DAMARCUS LEACH","S CAROLINA",17,62.85,"B",66.3,66,60.3,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"OSIRIS GILBERT","UCLA",16,62.77,"B",68.5,67.9,60,NA,1,0,0,42.4,1,1,0.46,6,7.7,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.333,6,0,1,0,1,0,0.333,0,0,2,0.333,0,0,1,0,1,0,0
"JORDAN MATTHEWS","VANDERBILT",39,62.42,"B",66.8,63.1,62.6,73.8,2,0,0,42.4,0,2,0.39,9,7.7,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0.333,9,0,0,1,1,0,0.333,0,0,3,0,0,0,2,0,1,0,0
