"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Total.Tackles","Assistant","Stops","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Average.Depth.of.Tackle","Pursuit.Pressure","Run.Tackle.for.Losss.or.No.Gain","Pass.Rush.Productivity","Passer.Rating.Allowed","Average.Depth.of.Target.per.Coverage","Yards.per.Reception.Allowed","Receiving.Yards.Allowed.per.Snap","Assist.on.Pass.Plays","Unblocked.Pass.Rush","Drops...Off.Targets.Receptions.Forced","Sacks","Missed.Tackles.on.Pass.Plays","Beaten.Defender","Plays.of.15..Yards.Allowed","Hits","Pass.Tackle.for.Loss.or.No.Gain","Lined.up.in.Press.Coverage","Batted.Passes","Pass.Break.Up","Forced.Fumble","Interceptions","Touchdowns.Allowed","Fumble.Recovery","Dropped.Int","Missed.Tackle.Percentage","Run.Stop","Pass.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact"
"JAMES KREUTZ","ILLINOIS",37,68.78,"B",84.1,86.3,55.2,74.2,7,2,4,2,0,1,0,1,0,39.6,5,0,0,0,0,1,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,4,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,7,0,3
"TREY LATHAN","KANSAS",65,68.76,"B",79.4,77,NA,74.4,9,2,4,2,1,4.5,1,0,NA,56.3,0,-1,-0.04,0,0,1,0,0,0,0,0,2,NA,0,0,0,0,0,0,0,0.1,2,2,2,1,1,2,2,1,3,1,0.5,-1,0,0,0,0,0,0,0,0,-0.5,0,0.143,0,10,0,4
"OWEN CHAMBLISS","NEBRASKA",44,68.58,"B",76.1,75.9,66.6,66.3,8,1,5,1,0,2.75,1,0,25,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,3,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5
"CHARLES CORREA","PURDUE",83,68.34,"B",71.4,60.5,80.6,75.3,8,3,3,2,1,4,1,0,16.7,97.2,0,7.3,0.79,1,0,0,0,0,0,0,1,0,NA,1,1,0,0,0,0,0,0.111,2,1,0,3,4,3,4,0,1,3,1,22,2,1,0,0,0,0,0.667,0,7.3,0.333,0.167,0,9,0,7
"ELIJAH MELENDEZ","AUBURN",74,68.06,"B",74.3,85,72.3,52.4,12,2,6,2,1,0.25,1,2,10,99.2,6.8,9.8,1.86,0,1,1,1,1,0,0,1,0,NA,0,0,0,0,0,0,0,0.143,3,3,2,0,2,2,6,4,3,4,0.8,39,2,0,0,5,0,1,0.4,0,7.8,0,0.143,0.143,14,0,9
"JORDAN HALL","MICH STATE",68,68.02,"B",75.2,73.3,55.2,71.9,14,3,8,2,1,0.86,0,5,0,98.6,2.2,7.7,1.84,1,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0.067,5,3,5,0,0,3,6,1,2,6,1,46,1,0,0,0,0.04,0,0.167,0,7.7,0,0.1,0,14,0,11
"SAM MATTINGLY","STANFORD",56,66.13,"B",62.8,75.7,57,52.2,12,3,7,2,1,2.88,3,2,25,89.6,10.8,22,2.59,1,0,2,0,0,0,2,1,0,NA,0,0,0,0,0,0,0,0.077,6,1,2,2,3,3,9,3,0,2,0.5,44,2,0,0,1,0.118,0.25,0.5,0,11,0,0.1,0,13,0,8
"JACOB MANU","WASHINGTON",57,65.19,"B",72.8,73.9,78.3,57.3,9,1,4,1,0,3.43,1,1,40,85.4,11.5,20,0.95,0,1,1,1,0,1,1,1,0,NA,0,0,0,0,0,0,0,0,3,1,1,1,3,1,3,1,1,1,0.5,20,1,0,0,0,0.048,0,0.5,0,10,0,0,0,9,0,8
"KEON WYLIE","VA TECH",53,64.96,"B",78.9,87,57.6,69,9,4,4,2,0,0.75,0,2,0,90.2,3.7,9.6,1.33,2,0,0,0,0,0,1,0,0,NA,0,1,0,0,0,0,0,0,4,0,2,0,0,4,2,2,2,5,0.714,48,3,2,0,0,0.028,0,0.429,0,6.9,0.286,0,0,9,0,6
"JADEN YATES","HOUSTON",63,64.88,"B",70.8,73.6,63.8,64.6,12,3,3,1,0,3.2,1,2,18.2,112.5,5,11,0.52,2,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,1,2,2,3,3,4,1,0,1,1,11,1,0,0,0,0,0,1,0,11,0,0,0,12,0,5
"T.J. CAPERS","LOUISVILLE",56,64.14,"B",66.8,56.4,72.7,66.9,9,3,3,2,0,4,1,1,12.5,70.1,7,3.5,0.23,1,0,0,0,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,1,2,2,2,2,3,6,2,3,2,0.667,7,1,0,0,0,0,0,0.333,0,2.3,0,0,0,9,0,5
"LUKE FERRELLI","OLE MISS",46,63.77,"B",58.7,61.8,52.5,60.3,9,4,5,2,1,3.5,3,0,12.5,70.1,-1.7,4.5,0.75,2,0,0,0,1,0,0,0,1,NA,1,0,0,0,0,0,0,0.182,2,3,1,3,3,4,5,2,4,2,0.667,9,1,0,0,2,0,0.667,0.333,0,3,0,0.2,0.167,11,0,8
"MARTELL HUGHES","ARIZONA ST",71,62.78,"B",70.9,67.6,67.8,73.6,12,3,6,2,1,2.57,0,2,25,118.8,17,26,0.84,1,0,0,0,0,0,1,0,1,NA,0,0,0,0,0,0,0,0.077,5,1,3,1,1,3,7,2,3,1,1,26,1,0,0,0,0.032,0,1,0,26,0,0.1,0,13,0,6
"RILEY PETTIJOHN","OHIO STATE",27,62.65,"B",91.6,75.9,60,91.3,4,2,1,2,0,4.5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1
"CAEL BREZINA","PENN STATE",33,62.52,"B",83.7,86.4,66.5,62.3,4,1,3,1,0,2,0,1,10,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
"TACKETT CURTIS","UCF",60,62.34,"B",90.6,74.4,52,92,10,2,5,1,0,2.33,0,0,5.6,39.6,-2,3,0.14,1,1,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,3,2,0,1,1,2,1,0,2,1,1,3,1,0,0,1,0,1,1,1,3,0,0,0,10,0,5
"ZAYDRIUS RAINEY-SALE","WASHINGTON",56,61.65,"B",70.4,73.6,64.8,60.9,8,1,5,1,0,1.6,0,2,7.1,77.1,2.3,7,0.78,0,0,1,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,3,2,2,1,1,1,3,2,2,2,0.667,14,0,1,0,0,0,0,0,0,4.7,0.333,0,0,8,0,6
"TONY ROJAS","PENN STATE",31,59.73,"C",85.8,87.1,54.5,76.1,4,2,2,2,0,2,0,0,0,56.3,9,1,0.11,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,1,0.5,1,0,1,0,1,0,0.5,0,0,0.5,0.5,0,0,4,0,2
"DASH FIFITA","ARIZONA",16,59.48,"C",90.7,70.6,80.4,72.7,2,1,1,1,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ISAIAH GLASKER","BYU",38,59.43,"C",83.9,72.7,80.7,72.8,5,2,2,1,0,1,0,0,10,100,5,8,0.36,1,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,1,1,0,1,2,2,0,0,1,1,1,8,0,0,0,1,0,1,0,0,8,0,0,0,5,0,1
"TAH'J BUTLER","OLE MISS",43,59.33,"C",67.9,80.5,54.6,53.6,9,2,2,2,0,3.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6
"ANTHONY PALANO","BOSTON COL",69,58.27,"C",72.7,82.1,54.8,61.6,12,2,9,1,0,2.2,0,2,0,83.3,0.5,6,0.56,1,0,1,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0.077,9,0,2,0,0,2,2,1,0,3,0.75,18,1,0,0,3,0,0.75,0.25,0,4.5,0,0,0.5,13,0,10
"GRANT GODFREY","KENTUCKY",79,57.63,"C",65.3,53.9,69.3,68.4,10,3,4,2,0,2.5,0,0,0,39.6,1.3,7,0.14,1,0,3,0,1,0,0,0,0,NA,1,0,0,0,0,0,0,0.091,3,1,0,0,0,3,6,1,2,1,0.25,7,0,0,0,3,0,0.75,0,0,1.8,0,0,0.2,11,0,9
"ELIJAH ELLISS","UTAH",25,57.52,"C",71.6,71.8,63.7,61.9,3,2,1,2,0,16,1,0,4.5,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
"MADDOX MARCELLUS","VIRGINIA",47,57.42,"C",66.5,66.1,NA,64.2,8,3,4,3,2,3,1,0,NA,39.6,4,0,0,0,0,1,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0.273,2,2,0,1,1,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.25,10,0,4
"DESMAN STEPHENS II","USC",72,57.35,"C",56.5,39.8,70.6,63.1,7,1,2,1,0,4.67,1,0,14.3,39.6,8,0,0,0,2,1,1,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,2,0,2,3,1,7,1,3,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,7,0,5
"CARSON WILLICH","IOWA STATE",23,57.25,"C",79,80.9,66.8,64.4,5,0,4,0,0,1.25,0,1,25,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
"TRAVION BARNES","BAYLOR",49,57.2,"C",73.9,81.2,75.9,58.6,7,2,3,1,0,1,1,1,0,120.1,2.8,8.3,1.27,1,0,1,0,0,1,1,0,0,NA,0,1,0,0,1,0,0,0,3,0,1,1,1,2,2,2,2,4,0.667,33,2,1,0,0,0.039,0,0.333,0,5.5,0.167,0,0,7,0,5
"MYRON ROBINSON","ARIZONA",27,57.19,"C",68.5,78.6,63.6,55.8,4,4,0,3,0,0,0,0,8.3,71.5,2.3,5,0.91,1,1,1,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,2,0.667,10,0,0,0,0,0,0,0,0,3.3,0,0,0,4,0,1
"ROLIJAH HARDY","INDIANA",58,56.66,"C",73.7,82.4,66.5,61.4,9,2,4,1,1,2,0,3,25,113.9,8,11.3,1.1,1,1,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0.1,3,1,3,1,1,2,3,2,1,3,1,34,2,0,0,0,0.032,0,0.667,0,11.3,0,0.143,0,10,0,5
"CHASE TAYLOR","MICHIGAN",21,56.63,"C",75.7,74.8,70.4,62.9,4,0,3,0,0,5,0,1,33.3,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
"CHRISTIAN ALLIEGRO","OHIO STATE",22,56.56,"C",83.3,71.7,77.7,71.1,3,1,1,1,0,9,0,0,12.5,79.2,1,1,0.14,0,1,0,0,0,1,0,1,0,NA,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1
"WHIT WEEKS","LSU",73,56.38,"C",74.3,67.7,72.7,70.5,8,1,4,1,0,7.67,1,1,5.6,95.3,3.4,9.8,1.34,0,1,1,0,0,1,2,0,1,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,1,3,2,4,6,0.75,59,2,0,0,7,0.045,0.875,0.25,0,7.4,0,0,0,8,0,5
"CHRIS JONES","FLORIDA ST",47,55.68,"C",63.8,63.6,78.8,53.4,7,0,4,0,1,6.5,1,3,21.4,83.3,-2,4,0.25,0,0,0,0,0,0,0,2,0,NA,0,0,0,0,0,0,0,0.125,3,1,3,1,3,0,5,1,0,1,1,4,0,0,0,0,0,0,0,0,4,0,0.143,0,8,0,6
"COOPER CATALANO","WISCONSIN",39,55.58,"C",75.7,62.2,59.5,78.9,6,3,3,2,0,2.67,0,0,0,70.1,-1,0,0,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,3,0,0,0,0,3,2,0,2,2,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4
"RASHEEM BILES","TEXAS",47,55.27,"C",76.1,57.9,70.7,77.5,5,1,2,0,0,0,0,0,12.5,0,0,0,0,1,1,0,0,0,0,0,1,0,NA,0,0,0,1,0,0,0,0,0,2,0,1,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
"KOBIE MCKINZIE","NWESTERN",64,54.87,"C",70.2,66.5,81.2,64.5,7,1,2,1,1,6,0,1,100,87.5,4,5,0.16,0,0,0,1,0,1,0,0,0,NA,0,0,0,0,0,0,0,0.125,1,1,1,0,1,1,4,1,1,1,1,5,0,0,0,0,0,0,0,0,5,0,0.25,0,8,0,6
"LEWIS CARTER","UCF",75,54.63,"C",67.6,72.8,49.6,66.2,12,4,3,3,2,4.5,0,1,3.6,92.4,3.3,7.4,1.19,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.143,2,1,1,1,1,4,5,2,2,5,0.833,37,3,1,0,1,0,0.167,0.5,0,6.2,0.167,0.222,0,14,0,11
"NOAH CHAMBERS","VA TECH",45,54.58,"C",71.4,79.6,57.6,63.2,7,4,1,3,0,2.5,0,1,0,100,1,8,0.57,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,4,1,1,0,2,1,16,1,0,0,0,0,0,0.5,0,8,0,0,0,7,0,3
"JADEN ROBINSON","FLORIDA",26,54.48,"C",74.8,72.3,75.6,63,3,1,2,1,0,1,1,0,40,118.8,-1,19,1.19,0,1,0,1,0,0,1,1,0,NA,0,1,0,0,0,0,0,0,1,1,0,1,3,1,1,1,1,1,1,19,1,1,0,1,0.063,1,1,0,19,1,0,0,3,0,2
"CAM BUFFINGTON","IOWA",23,54.43,"C",78.9,90.7,58,62.6,6,1,3,1,0,2.25,1,2,0,112.5,1,11,0.92,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,1,2,1,1,1,1,1,1,1,1,11,1,0,0,0,0,0,1,0,11,0,0,0,6,0,3
"KALEB SPENCER","VA TECH",51,54.1,"C",77.3,67.8,65.8,76.3,8,1,2,0,0,3,1,0,0,79.9,8.3,8,0.55,1,0,1,1,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,2,0,0,1,1,2,1,3,2,0.667,16,1,0,0,0,0,0,0.333,0,5.3,0,0,0,8,0,6
"TATE ROMNEY","OKLA STATE",22,53.72,"C",83.8,76.2,59.8,77.3,4,2,2,1,0,0,0,1,0,79.2,-3,-1,-0.07,1,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,0,2,1,1,-1,0,0,0,1,0,1,0,0,-1,0,0,0,4,0,2
"DEREK MCDONALD","N CAROLINA",72,53.33,"C",68,62.4,71.4,67.3,9,3,3,3,1,8.67,0,0,0,112.5,6,11,0.61,0,0,0,0,0,0,1,0,0,NA,1,0,0,0,0,0,0,0.1,1,2,0,0,0,3,5,1,2,2,1,22,1,0,0,2,0.028,1,0.5,0,11,0,0.143,0,10,0,5
"KYLAND REED","BAYLOR",47,52.83,"C",59.1,48.5,65.9,71.6,6,2,4,2,1,4,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.143,1,3,0,0,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,7,0,3
"MILES HALL","BYU",31,52.77,"C",70.3,74.3,55.8,63.9,4,2,1,2,0,2.5,0,0,16.7,68.8,6,6.7,1.33,0,2,1,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,1,0,0,2,2,2,3,2,2,3,0.6,20,1,1,0,3,0,0.6,0.2,0,4,0.2,0,0,4,0,2
"TYLER MARTINEZ","COLORADO",63,52.38,"C",58.3,51,66.7,64.6,7,3,3,2,2,0,0,1,25,0,0,0,0,1,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.222,2,1,1,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0,9,0,8
"BRYAN LONGWELL","VANDERBILT",74,52.35,"C",80.2,90.3,58.1,64.7,8,2,5,1,1,1.8,0,1,4.5,102.1,5,8.5,0.61,1,1,0,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,0.2,4,1,1,1,1,2,2,1,1,2,1,17,1,0,0,1,0,0.5,0.5,0,8.5,0,0.143,0.333,10,0,7
"JULIAN MANSON","IOWA",19,52.16,"C",75.9,75.9,49.5,71.8,4,2,2,2,0,3,2,0,NA,83.3,4,4,0.4,0,0,0,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,0.2,1,1,0,1,2,2,1,1,1,1,1,4,0,0,0,0,0,0,0,0,4,0,0,0.5,5,0,2
"RAYLEN WILSON","GEORGIA",31,51.74,"C",68.8,56.1,63.4,70.1,2,0,2,0,0,0,1,0,25,0,0,0,0,0,2,0,1,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,2,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"BRADY PRETZLAFF","MICH STATE",28,51.71,"C",76.4,72.7,60,71.6,6,2,2,2,0,4.33,0,0,0,83.3,4,4,0.33,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,1,1,4,0,0,0,0,0,0,0,0,4,0,0,0,6,0,2
"DEXTER FOSTER","NEBRASKA",28,51.67,"C",73.9,72.9,66.2,62.4,3,1,1,1,0,1.5,1,0,12.5,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
"STANQUAN CLARK","LOUISVILLE",77,51.45,"C",65.5,73,63.5,56.5,9,4,3,2,0,2,1,0,14.3,102.1,5.8,8.5,1.42,2,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0.1,2,0,0,2,2,4,6,4,2,6,1,51,3,0,0,0,0,0,0.5,0,8.5,0,0,0.2,10,0,8
"KOOPER EBEL","PENN STATE",31,51.31,"C",70.8,63.1,77.5,63.2,5,1,3,1,1,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0.167,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0,6,0,5
"AIDEN HALL","WAKE",59,50.95,"C",76.1,64.6,54.9,81.2,9,2,3,2,0,7.67,0,0,0,79.2,-2,1.3,0.19,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,2,0,0,0,2,3,0,3,4,1,5,0,0,0,4,0,1,0,0,1.3,0,0,0,9,0,3
"MATT ROSE","STANFORD",58,50.76,"C",72.9,67.9,60,72.4,8,3,3,2,2,2.75,0,1,0,95.8,4,7,0.33,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.2,2,1,1,0,0,3,5,0,1,1,1,7,0,0,0,0,0,0,0,0,7,0,0.25,0,10,0,9
"JEREMIAH BEASLEY","MISSOURI",17,50.71,"C",78.6,69.2,NA,73.1,4,1,2,1,0,5,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
"XAVIER ATKINS","AUBURN",72,50.69,"C",59,53.2,71.2,59.3,11,2,8,2,3,1.83,2,2,22.2,118.8,3.8,14.3,3,0,2,0,1,2,1,2,2,0,NA,0,0,0,0,0,0,0,0.313,5,3,2,1,4,2,11,3,1,4,1,57,2,0,0,3,0.105,0.75,0.5,0,14.3,0,0.273,0.4,15,0,10
"OWEN HEINECKE","OKLAHOMA",62,50.49,"C",58.9,63.7,56.5,56.5,7,1,5,1,1,-0.5,0,1,10,39.6,-4,0,0,0,0,1,1,1,0,0,0,1,NA,0,0,0,0,0,0,0,0.222,2,3,2,1,2,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.2,8,0,8
"TAYE BROWN","ARIZONA",46,50.01,"C",73.8,68,64.6,71.5,3,0,2,0,0,0,0,1,4.5,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
"MEKHI MASON","KANSAS ST",43,49.88,"C",56,72.7,70.1,48.9,5,1,3,1,0,13,0,0,25,117.5,4.4,10.3,1.48,0,0,2,1,0,0,1,0,0,NA,0,0,0,0,1,0,0,0,0,3,0,1,2,1,3,2,1,3,0.6,31,1,0,0,0,0.048,0,0.2,0,6.2,0,0,0,5,0,3
"TRISTAN EXLINE","IOWA STATE",15,49.48,"C",79.9,80.9,NA,60.9,3,1,2,1,0,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
