"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","Lined.up.in.Press.Coverage","row_id"
"PRINCEWILL UMANMIELEN","LSU",59,67.3,"B","ED",2026,"SEC",73.2,65.3,68.5,71.3,0,1,3,1,0,2,2,5,0,0,0,0,0,0,0,0,2,3,1,32,0.094,0.156,9.4,16,0,0.063,0.125,1,11,1,1,9,9,0,0,0,0,104.2,0.82,0,0.545,0,1,0,0,1,0,1,0,0,9,9,0,1,4,0,1,0,0,0,0,1,0,3,0,0,4,4,0,2,0,"P4",71,NA,71
"TOBI OSUNSANMI","INDIANA",31,67.02,"B","ED",2026,"Big Ten",88.8,58,93.2,61.4,0,0,1,1,0,1,2,4,0,0,0,1,0,0,0,0,1,4,3,13,0.231,0.308,19.2,13,0,0.154,0.154,2,5,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0.75,0,0,0,1,0,0,2,1,0,0.5,4,4,0,0,1,"P4",36,NA,36
"NNANNA ANYANWU","VIRGINIA",26,66.01,"B","ED",2026,"ACC",74.8,61.5,80.4,60,0,0,2,1,0,0,5,6,0,0,0,0,0,0,0,1,1,2,1,11,0.364,0.545,31.8,14,2,0.071,0.071,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0,0,1,0,0,1,0,0,1,0,0,2,2,0,0,0,"P4",102,NA,102
"DAMON WILSON II","MIAMI FL",41,65.62,"B","ED",2026,"ACC",61,61.5,65.1,60.8,0,0,1,1,0,1,8,10,0,0,0,0,0,0,0,4,0,2,1,32,0.188,0.313,17.2,6,0,0,0,0,3,1,0.5,3,3,0,0,0,0,56.3,1,0,0.667,0,1,1,0,0,0,0.5,0,0,1.5,2,0,10,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"P4",96,NA,96
"LORENZO COWAN","KENTUCKY",22,65.43,"B","ED",2026,"SEC",90.4,66.7,90.8,NA,1,0,1,0,0,0,5,5,1,0,0,0,0,0,0,1,1,0,1,12,0.333,0.417,20.8,10,6,0,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,"P4",145,NA,145
"COOPER BLOMSTROM","ARIZONA",44,64.89,"B","ED",2026,"Big 12",63.2,65.3,62.8,55.4,1,0,3,1,0,0,2,3,1,0,0,0,0,0,0,0,3,4,2,30,0.033,0.1,6.7,9,7,0.111,0.111,1,5,1,1,13,13,0,1,0,0,118.8,2.6,0,0.2,0,0,0,1,0,0,0,1,0,13,11,0,48,8,0,0,1,0,0,4,0,0,2,0,0,8,8,0,3,0,"P4",79,NA,79
"ANTHONY ADDISON","S CAROLINA",38,64.17,"B","ED",2026,"SEC",70.1,58.6,70.4,60,0,1,4,2,0,0,1,3,1,0,0,1,0,0,0,0,0,8,4,20,0.2,0.15,12.5,18,3.5,0.222,0.278,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,5,0.444,1,2,0,0.571,2,1,4,2,0,0,8,9,0,0,0,"P4",224,NA,224
"PAUL OYEWALE","TCU",45,62.55,"B","ED",2026,"Big 12",86.9,75.4,83.6,NA,0,1,2,1,0,0,1,2,2,0,0,0,0,0,0,2,0,2,0,24,0.083,0.083,6.3,21,3,0,0.143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,3,0.25,1,1,0,0.333,1,1,1,1,0,0,4,4,0,0,0,"P4",28,NA,28
"NOAH CARTER","GA TECH",21,61.22,"B","ED",2026,"ACC",79.5,48.6,92.9,60.9,0,1,1,1,0,0,1,2,1,0,0,1,0,0,0,0,1,2,2,8,0.25,0.25,18.8,12,0,0.167,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0.25,1,0,0,0.5,0,1,1,1,0,0,4,4,0,1,0,"P4",193,NA,193
"JOHN HENRY DALEY","MICHIGAN",19,61.08,"B","ED",2026,"Big Ten",76.6,68.6,74.6,60,0,2,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,8,0.25,0.375,25,10,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3,0,2,0,0,0,0,2,0,1,0,0,3,3,0,0,0,"P4",120,NA,120
"LANGDEN KITCHEN","MISSOURI",51,60.21,"B","ED",2026,"SEC",68.9,62.9,68.7,NA,1,0,1,2,0,0,1,3,1,0,0,1,0,0,0,1,1,2,0,28,0.071,0.107,8.9,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,"P4",215,NA,215
"ADEPOJU ADEBAWORE","OKLAHOMA",30,59.76,"C","ED",2026,"SEC",75.1,63.9,80.2,62.3,0,0,3,2,0,0,1,3,0,0,0,0,0,0,0,0,0,2,1,10,0.3,0.3,25,16,4.5,0.063,0.063,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,4,0,0,1,0,0,2,0,0,2,0,0,4,4,0,0,0,"P4",98,NA,98
"DREW CAMPBELL","IOWA",22,59.12,"C","ED",2026,"Big Ten",65.2,69,67.5,NA,0,1,2,1,0,1,0,2,2,0,0,0,0,0,0,1,1,2,1,15,0.133,0.133,10,7,1,0,0.143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,3,0,1,1,0,0,1,1,0,1,0,0,3,3,0,0,0,"P4",185,NA,185
"DAVID SANTIAGO","KANSAS",52,59.01,"C","ED",2026,"Big 12",74,67.9,71.4,63.7,0,3,3,1,0,0,3,4,1,0,0,0,0,0,0,2,0,4,2,19,0.158,0.211,13.2,32,3.5,0.063,0.188,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,7,0,3,1,0,0,2,2,0,2,0,0,7,7,1,1,0,"P4",169,NA,169
"DAEDEN HOPKINS","MISSOURI",54,58.88,"C","ED",2026,"SEC",73.6,71.4,74,60,0,2,4,1,0,0,1,2,2,0,0,1,0,3,0,1,0,4,3,29,0.103,0.069,5.2,25,1,0.12,0.16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,0,2,3,3,0,5,2,0,0,0,0,8,8,0,0,0,"P4",216,NA,216
"DARIEN WHITAKER JR.","KANSAS ST",43,58.79,"C","ED",2026,"Big 12",79.5,62.1,85.7,61,1,1,2,1,0,0,3,4,0,0,0,0,0,0,0,1,0,4,1,21,0.143,0.191,11.9,19,2.33,0.053,0.105,1,3,0,0,0,0,0,0,0,0,39.6,0,0,0.333,0,0,1,0,0,0,0,0,0,0,0,0,6,5,0,1,1,0,0,3,1,0,1,0,0,5,5,0,0,0,"P4",211,NA,211
"TYSHON REED JR.","DUKE",28,58.68,"C","ED",2026,"ACC",60.6,56.6,62.2,NA,0,0,2,2,0,1,1,4,0,0,0,0,0,0,0,2,1,1,2,20,0.05,0.2,15,8,0,0.125,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,0.333,0,0,0,0,0,0,0,2,0,0.333,2,3,0,0,1,"P4",180,NA,180
"KARTER MENZ","MINNESOTA",33,58.24,"C","ED",2026,"Big Ten",63,56.2,64.7,NA,0,0,1,1,0,0,3,4,2,0,0,0,0,0,0,2,1,3,1,25,0.12,0.16,10,8,0,0.125,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,0.5,0,0,0,1,0,0,1,1,0,0,2,2,0,0,0,"P4",94,NA,94
"MARQUISE LIGHTFOOT","MIAMI FL",51,57.96,"C","ED",2026,"ACC",58.8,62.1,66.2,39.5,0,0,2,1,0,0,7,8,3,0,0,0,0,0,0,2,1,4,4,37,0.216,0.216,12.2,8,1.5,0.125,0.125,1,6,1,1,17,17,0,0,0,0,118.8,2.83,1,0.667,0,1,0,2,0,0.167,1,0,0,17,15,0,8,3,0.5,0,1,0,0,2,0,0,1,0,0.75,6,6,0,0,3,"P4",139,NA,139
"BLAKE PURCHASE","OLE MISS",47,56.95,"C","ED",2026,"SEC",71.4,67.8,68.3,62.2,0,1,1,1,0,0,3,4,2,0,0,0,0,0,0,2,0,4,0,27,0.148,0.148,9.3,16,5.5,0,0.063,0,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,0,0,0,1,1,0,1,0,0,5,5,0,2,0,"P4",131,NA,131
"SINCERE EDWARDS","UCF",33,56.85,"C","ED",2026,"Big 12",73.7,67,70.6,62.2,1,0,3,1,0,0,2,3,1,0,0,0,0,0,0,0,1,3,0,20,0.15,0.15,10,11,2,0,0.091,0,2,1,1,4,4,0,0,0,0,83.3,2,0,0.5,0,1,0,0,0,0,1,0,0,4,-5,0,10,3,0,0,1,0,0,1,0,0,2,0,0,3,3,0,1,0,"P4",141,NA,141
"DEMETRIUS BALLARD","BOSTON COL",32,56.66,"C","ED",2026,"ACC",73,60.8,76.1,NA,0,1,3,2,0,0,0,2,2,0,0,1,0,1,0,0,0,3,1,19,0.211,0.105,10.5,13,-2,0.077,0.077,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4,0,1,1,1,0,1,1,0,2,0,0,4,4,0,0,0,"P4",172,NA,172
"KORON HAYWARD","TCU",22,56.1,"C","ED",2026,"Big 12",80.1,66.7,78.3,NA,0,0,2,1,0,1,2,4,0,0,0,0,0,0,0,1,0,3,1,11,0.273,0.273,18.2,11,4,0,0.091,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2,0.333,0,0,0,0,0,0,0,2,0,0.333,3,3,0,1,1,"P4",95,NA,95
"BRYCE DAVIS","DUKE",33,56.03,"C","ED",2026,"ACC",76.9,57.6,79.7,60.5,1,0,1,1,0,1,2,4,0,0,0,0,0,1,0,0,0,2,2,24,0.167,0.167,10.4,7,0,0.286,0.286,2,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0.333,0,1,1,0.5,1,0,1,0,0,0,3,3,0,0,0,"P4",208,NA,208
"JALEN THOMPSON","ARIZONA ST",51,55.97,"C","ED",2026,"Big 12",80,79.7,74.3,60,0,0,4,0,0,0,2,2,7,0,0,0,0,1,0,1,0,6,1,25,0.32,0.08,4,26,-0.5,0,0.192,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,0.2,0,4,1,0,4,0,0,0,0,1,5,5,0,0,1,"P4",121,NA,121
"AYCEN STEVENS","VA TECH",45,55.49,"C","ED",2026,"ACC",76.8,69.3,68.4,65.6,0,0,2,1,0,1,1,3,3,0,0,0,0,0,0,1,0,3,0,33,0.152,0.091,6.1,12,0,0,0.167,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,0,"P4",116,NA,116
"KEVIN O'CONNOR","DUKE",24,54.36,"C","ED",2026,"ACC",85.3,55.1,89.2,NA,0,0,2,2,0,0,1,3,0,0,0,1,0,0,0,0,1,2,2,19,0.105,0.158,13.2,5,0,0.4,0.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,"P4",67,NA,67
"E'LLA BOYKIN","BOSTON COL",38,54.23,"C","ED",2026,"ACC",75.9,69.2,73.2,NA,0,3,1,0,0,1,0,1,3,0,0,0,0,0,0,0,1,1,0,20,0.15,0.05,2.5,18,1,0,0.056,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,4,0,3,1,0,0,1,3,0,0,0,0,4,4,0,0,0,"P4",237,NA,237
"ISAIAH NIXON","UCF",58,53.95,"C","ED",2026,"Big 12",70.7,67,68.6,62.6,0,1,2,1,0,0,2,3,2,0,0,0,0,0,0,2,0,2,1,28,0.107,0.107,7.1,21,3,0.048,0.143,1,9,1,1,4,4,0,0,0,0,83.3,0.44,0,0.333,0,1,0,0,0,0,1,0,0,4,-2,0,6,3,0,1,1,0,0,1,1,0,1,0,0,3,3,0,0,0,"P4",109,NA,109
"TUNMISE ADELEYE","SYRACUSE",53,53.76,"C","ED",2026,"ACC",61.8,56.4,65.2,60.3,0,0,1,1,0,1,3,5,1,0,0,0,0,0,0,2,0,3,4,26,0.154,0.192,11.5,25,3,0.16,0.24,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0.25,0,0,0,0.333,2,0,1,1,0,0,4,4,0,0,0,"P4",13,NA,13
"JALEN WOODS","UCLA",58,53.73,"C","ED",2026,"Big Ten",68.4,73.5,70.3,58.6,0,1,2,0,0,0,3,3,0,0,0,0,0,0,0,0,1,5,3,10,0.2,0.3,15,22,4.67,0.045,0.045,1,26,3,0.75,62,20.7,0,2,0,0,116.7,2.38,2,0.577,0,0,1,2,0,0.077,0,0.5,0,15.5,12,0,9,8,0,1,2,0,0,3,1,0,0,0,0,8,8,0,4,0,"P4",49,NA,49
"LEROY HARRIS III","KANSAS",55,53.16,"C","ED",2026,"Big 12",80.1,77.5,79.7,52.1,0,2,4,1,0,0,1,2,1,0,0,1,0,1,0,1,0,6,3,17,0.118,0.118,8.8,35,1.4,0.029,0.2,1,3,1,1,8,8,0,0,0,0,100,2.67,0,0.667,0,0,0,1,0,0,0,0,0,8,6,0,33,8,0.111,2,3,1,0,5,1,0,1,0,0.333,9,9,1,0,1,"P4",198,NA,198
"STEVEN SOLES JR.","ARKANSAS",42,53.06,"C","ED",2026,"SEC",69.1,73.7,65.7,51.3,0,0,1,0,0,1,3,4,1,0,0,0,0,1,0,1,1,3,2,16,0.188,0.25,12.5,22,0,0,0.182,0,4,1,1,4,4,0,1,0,0,83.3,1,0,0,0,1,0,1,0,0,1,1,0,4,-6,0,35,3,0,0,1,1,0,2,0,0,0,0,0,3,3,0,1,0,"P4",162,NA,162
"AYMERIC KOUMBA","UCF",29,53.04,"C","ED",2026,"Big 12",64.4,72.4,61,52.8,0,3,1,0,0,1,2,3,1,0,0,0,0,0,0,1,1,1,3,13,0.154,0.231,11.5,10,2,0.1,0.4,1,6,1,1,14,14,0,1,0,0,118.8,2.33,0,0.333,0,1,0,1,0,0,1,1,0,14,4,0,12,4,0,3,1,0,0,1,2,0,0,0,0,4,4,1,0,0,"P4",129,NA,129
"JAYLEN HARVEY","N CAROLINA",47,51.53,"C","ED",2026,"ACC",65.2,65.2,60,62.3,0,2,2,0,0,1,2,3,0,0,0,0,1,1,0,1,1,5,2,22,0.045,0.136,6.8,22,1,0.091,0.182,2,3,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0.333,2,2,1,0.333,2,2,2,0,0,0,6,6,0,0,0,"P4",144,NA,144
"AMAREE WILLIAMS","MISS STATE",58,51.33,"C","ED",2026,"SEC",75.1,70.7,69.4,69.9,0,0,5,1,0,1,0,2,0,0,1,0,0,1,0,1,0,9,2,16,0.063,0.063,3.1,21,6.4,0.048,0.095,1,21,1,0.5,6,6,0,0,1,0,16.7,0.29,0,0.571,1,0,1,1,2,0,0,0,0.5,3,11.5,0,4,10,0.091,0,2,1,0,5,0,0,3,0,0.167,11,11,0,4,1,"P4",192,NA,192
"DESMOND UMEOZULU","ALABAMA",30,51.28,"C","ED",2026,"SEC",81.3,76.3,75,62.2,0,1,2,0,0,0,4,4,1,0,0,0,0,0,0,1,0,1,1,12,0.333,0.333,16.7,15,3,0,0.267,0,3,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0.25,1,1,0,0,1,1,0,1,0,0.5,4,4,0,1,1,"P4",108,NA,108
"YHONZAE PIERRE","ALABAMA",34,50.75,"C","ED",2026,"SEC",58.3,58.5,65.4,48.4,1,0,2,0,0,0,6,6,1,0,0,0,0,1,0,3,1,5,3,18,0.167,0.278,13.9,13,2.33,0.077,0.077,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0,2,1,0,3,0,0,0,0,1,5,5,0,0,2,"P4",122,NA,122
"MATTHEW FOBBS-WHITE","VIRGINIA",53,49.65,"C","ED",2026,"ACC",60.2,61.8,55.8,60.8,0,4,1,0,0,0,3,3,0,0,0,0,0,0,0,1,1,2,2,18,0.056,0.167,8.3,32,3.5,0.063,0.125,2,3,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0.25,4,1,0,0.25,2,4,2,0,0,0,8,8,0,0,0,"P4",65,NA,65
"BLAKE HAWKINS","IOWA STATE",16,49.47,"C","ED",2026,"Big 12",89.6,72.1,82.4,66.5,0,2,1,0,0,0,2,2,1,0,0,0,0,1,0,0,1,1,1,6,0.333,0.333,16.7,10,0,0.1,0.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,3,0,2,1,1,0,1,1,0,0,0,0,3,3,1,0,0,"P4",241,NA,241
"TYREE WEATHERSBY","TENNESSEE",32,49.34,"C","ED",2026,"SEC",87.8,75.9,83.6,NA,0,1,1,0,0,0,4,4,0,0,0,0,1,1,0,0,1,1,0,15,0.2,0.267,13.3,17,0,0,0.176,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,0,1,1,1,0,1,1,0,0,0,0,2,2,0,0,0,"P4",114,NA,114
